experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSA25TA,15586,PRABBX8W,1,,Unknown,2020-07-21 13:18:43.286000-04:00,2020-07-21 13:19:00.905000-04:00,1,17.619,17.614,Got it!!,True,1.0,True,1,0,0,0,0,True,False,False,31874412
PSA25TA,15586,PRABBYKG,1,,Control,2020-07-21 13:19:05.875000-04:00,2020-07-21 13:19:44.201000-04:00,1,38.326,35.43,3,False,0.666666666666667,False,1,1,0,0,0,False,False,False,31874425
PSA25TA,15586,PRABBYKH,1,,Control,2020-07-21 13:19:46.922000-04:00,2020-07-21 13:20:22.351000-04:00,1,35.429,35.425,4,True,1.0,True,1,1,0,0,0,False,False,False,31874439
PSA25TA,15586,PRABBYKK,1,,Control,2020-07-21 13:20:24.231000-04:00,2020-07-21 13:20:49.407000-04:00,1,25.176,25.172,7,True,1.0,True,1,1,0,0,0,False,False,False,31874451
PSA25TA,15586,PRABBYKM,1,,Control,2020-07-21 13:20:51.257000-04:00,2020-07-21 13:21:22.142000-04:00,1,30.885,30.881,6,True,1.0,True,1,1,0,0,0,False,False,False,31874470
PSA25TA,15586,PRA8S2F,1,,Nonexperimental,2020-07-21 13:21:27.681000-04:00,2020-07-21 13:21:36.461000-04:00,1,8.78,8.777,OK.,True,1.0,True,1,0,0,0,0,False,False,False,31874482
PSA25TA,15586,PRABB6AN,1,,Posttest,2020-07-21 13:21:40.540000-04:00,2020-07-21 13:23:06.610000-04:00,1,86.07,47.071,16,False,0.0,False,3,1,0,0,0,False,False,True,31874492
PSA25TA,15586,PRABB6AP,1,,Posttest,2020-07-21 13:23:08.906000-04:00,2020-07-21 13:23:33.544000-04:00,1,24.638,24.635,11,True,1.0,True,1,1,0,0,0,False,False,False,31874518
PSA25TA,47201,PRABBX8W,1,,Unknown,2020-05-27 11:08:14.286000-04:00,2020-05-27 11:08:38.070000-04:00,1,23.784,23.777,Got it!!,True,1.0,True,1,0,0,0,0,True,False,False,29042486
PSA25TA,47201,PRABBXGH,1,,Treatment 2,2020-05-27 11:08:39.824000-04:00,2020-05-27 11:08:55.433000-04:00,1,15.609,15.605,3,True,1.0,True,1,1,0,0,0,False,False,False,29042726
PSA25TA,47201,PRABBXGJ,1,,Treatment 2,2020-05-27 11:08:56.532000-04:00,2020-05-27 11:09:04.503000-04:00,1,7.971,7.968,4,True,1.0,True,1,1,0,0,0,False,False,False,29042886
PSA25TA,47201,PRABBXGN,1,,Treatment 2,2020-05-27 11:09:05.500000-04:00,2020-05-27 11:09:11.576000-04:00,1,6.076,6.068,7,True,1.0,True,1,1,0,0,0,False,False,False,29042981
PSA25TA,47201,PRABB6AF,1,,Nonexperimental,2020-05-27 11:09:12.699000-04:00,2020-05-27 11:09:17.346000-04:00,1,4.647,4.645,OK.,True,1.0,True,1,0,0,0,0,False,False,False,29043040
PSA25TA,47201,PRABB6AN,1,,Posttest,2020-05-27 11:09:18.397000-04:00,2020-05-27 11:10:13.853000-04:00,1,55.456,55.444,6,True,1.0,True,1,1,0,0,0,False,False,False,29043102
PSA25TA,47201,PRABB6AP,1,,Posttest,2020-05-27 11:10:14.849000-04:00,2020-05-27 11:10:49.700000-04:00,1,34.851,34.843,11,True,1.0,True,1,1,0,0,0,False,False,False,29043630
PSA25TA,50080,PRABBX8W,1,,Unknown,2020-05-27 09:42:18.756000-04:00,2020-05-27 09:43:18.914000-04:00,1,60.158,60.155,Got it!!,True,1.0,True,1,0,0,0,0,True,False,False,28995677
PSA25TA,50080,PRABB6BD,1,,Treatment 1,2020-05-27 09:43:23.469000-04:00,2020-05-27 09:43:46.078000-04:00,1,22.609,22.607,3,True,1.0,True,1,1,0,0,0,False,False,False,28996169
PSA25TA,50080,PRABB6BE,1,,Treatment 1,2020-05-27 09:43:46.637000-04:00,2020-05-27 09:43:56.079000-04:00,1,9.442,9.44,4,True,1.0,True,1,1,0,0,0,False,False,False,28996365
PSA25TA,50080,PRABB6BG,1,,Treatment 1,2020-05-27 09:43:56.649000-04:00,2020-05-27 09:44:37.135000-04:00,1,40.486,40.484,7,True,1.0,True,1,1,0,0,0,False,False,False,28996439
PSA25TA,50080,PRABB6AG,1,,Nonexperimental,2020-05-27 09:44:37.752000-04:00,2020-05-27 09:44:44.885000-04:00,1,7.133,7.132,OK.,True,1.0,True,1,0,0,0,0,False,False,False,28996757
PSA25TA,50080,PRABB6AP,1,,Posttest,2020-05-27 09:44:46.229000-04:00,2020-05-27 09:45:34.453000-04:00,1,48.224,48.223,11,True,1.0,True,1,1,0,0,0,False,False,False,28996823
PSA25TA,50080,PRABB6AN,1,,Posttest,2020-05-27 09:45:34.799000-04:00,2020-05-27 09:48:58.709000-04:00,1,203.91,90.597,4,False,0.0,True,11,1,0,0,0,False,False,True,28997236
PSA25TA,50110,PRABBX8W,1,,Unknown,2020-05-27 10:52:09.938000-04:00,2020-05-27 10:52:30.718000-04:00,1,20.78,20.777,Got it!!,True,1.0,True,1,0,0,0,0,True,False,False,29033661
PSA25TA,50110,PRABBXGH,1,,Treatment 2,2020-05-27 10:52:33.288000-04:00,2020-05-27 10:52:57.363000-04:00,1,24.075,24.073,3,True,1.0,True,1,1,0,0,0,False,False,False,29033878
PSA25TA,50110,PRABBXGJ,1,,Treatment 2,2020-05-27 10:52:57.979000-04:00,2020-05-27 10:53:39.066000-04:00,1,41.087,41.086,4,True,1.0,True,1,1,0,0,0,False,False,False,29034097
PSA25TA,50110,PRABBXGN,1,,Treatment 2,2020-05-27 10:53:40.295000-04:00,2020-05-27 10:54:30.159000-04:00,1,49.864,49.862,7,True,1.0,True,1,1,0,0,0,False,False,False,29034475
PSA25TA,50110,PRABB6AF,1,,Nonexperimental,2020-05-27 10:54:31.526000-04:00,2020-05-27 10:54:40.583000-04:00,1,9.057,9.055,OK.,True,1.0,True,1,0,0,0,0,False,False,False,29034923
PSA25TA,50110,PRABB6AP,1,,Posttest,2020-05-27 10:54:41.848000-04:00,2020-05-27 10:55:11.696000-04:00,1,29.848,29.846,11,True,1.0,True,1,1,0,0,0,False,False,False,29035011
PSA25TA,50110,PRABB6AN,1,,Posttest,2020-05-27 10:55:12.799000-04:00,2020-05-27 10:58:30.147000-04:00,1,197.348,197.346,6,True,1.0,True,1,1,0,0,0,False,False,False,29035301
PSA25TA,50111,PRABBX8W,1,,Unknown,2020-05-29 15:06:56.231000-04:00,2020-05-29 15:07:00.750000-04:00,1,4.519,4.509,Got it!!,True,1.0,True,1,0,0,0,0,True,False,False,29676385
PSA25TA,50111,PRABB6BU,1,,Treatment 3,2020-05-29 15:07:03.100000-04:00,2020-05-30 08:56:47.492000-04:00,2,64184.392,64184.382,3,True,1.0,True,1,1,0,0,0,False,False,False,29676419
PSA25TA,50111,PRABB6BV,1,,Treatment 3,2020-05-30 08:56:48.197000-04:00,2020-05-30 08:57:21.713000-04:00,1,33.516,33.508,4,True,1.0,True,1,1,0,0,0,False,False,False,29737621
PSA25TA,50111,PRABB6BX,1,,Treatment 3,2020-05-30 08:57:22.336000-04:00,2020-05-30 08:57:42.672000-04:00,1,20.336,20.331,7,True,1.0,True,1,1,0,0,0,False,False,False,29737632
PSA25TA,50111,PRABB6AG,1,,Nonexperimental,2020-05-30 08:57:43.490000-04:00,2020-05-30 08:58:05.918000-04:00,1,22.428,22.423,OK.,True,1.0,True,1,0,0,0,0,False,False,False,29737638
PSA25TA,50111,PRABB6AP,1,,Posttest,2020-05-30 08:58:09.026000-04:00,2020-05-30 08:58:28.526000-04:00,1,19.5,19.495,11,True,1.0,True,1,1,0,0,0,False,False,False,29737643
