experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSA29FC,7809,,,,,assignment_started,2020-05-29 11:50:39.481000-04:00,171906905
PSA29FC,7809,PRABBX8W,1.0,,Counting Methods 7.SP.C.8 EX/Introduction,problem_started,2020-05-29 11:50:39.996000-04:00,171906908
PSA29FC,7809,,,,,assignment_resumed,2020-05-29 13:23:05.788000-04:00,172109751
PSA29FC,7809,PRABBX8W,1.0,,Counting Methods 7.SP.C.8 EX/Introduction,correct_response,2020-05-29 13:23:36.956000-04:00,172110807
PSA29FC,7809,PRABBX8W,1.0,,Counting Methods 7.SP.C.8 EX/Introduction,problem_finished,2020-05-29 13:23:36.962000-04:00,172110904
PSA29FC,7809,,,,Counting Methods 7.SP.C.8 EX,continue_selected,2020-05-29 13:23:38.614000-04:00,172110906
PSA29FC,7809,PRABB6MM,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_started,2020-05-29 13:23:39.075000-04:00,172110910
PSA29FC,7809,PRABB6MM,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,correct_response,2020-05-29 13:25:30.816000-04:00,172114562
PSA29FC,7809,PRABB6MM,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_finished,2020-05-29 13:25:30.821000-04:00,172114609
PSA29FC,7809,,,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,continue_selected,2020-05-29 13:25:32.841000-04:00,172114610
PSA29FC,7809,PRABB6MQ,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_started,2020-05-29 13:25:32.916000-04:00,172114611
PSA29FC,7809,PRABB6MQ,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,correct_response,2020-05-29 13:27:41.220000-04:00,172118935
PSA29FC,7809,PRABB6MQ,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_finished,2020-05-29 13:27:41.223000-04:00,172119033
PSA29FC,7809,,,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,continue_selected,2020-05-29 13:27:43.351000-04:00,172119034
PSA29FC,7809,PRABB6MS,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_started,2020-05-29 13:27:43.425000-04:00,172119035
PSA29FC,7809,PRABB6MS,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,correct_response,2020-05-29 13:28:28.836000-04:00,172120680
PSA29FC,7809,PRABB6MS,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_finished,2020-05-29 13:28:28.839000-04:00,172120767
PSA29FC,7809,,,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2],continue_selected,2020-05-29 13:28:30.662000-04:00,172120769
PSA29FC,7809,PRA8S2F,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - Congratulations [ignore],problem_started,2020-05-29 13:28:30.836000-04:00,172120771
PSA29FC,7809,PRA8S2F,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - Congratulations [ignore],correct_response,2020-05-29 13:28:34.660000-04:00,172120874
PSA29FC,7809,PRA8S2F,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - Congratulations [ignore],problem_finished,2020-05-29 13:28:34.663000-04:00,172120875
PSA29FC,7809,,,,Counting Methods 7.SP.C.8 EX,continue_selected,2020-05-29 13:28:37.128000-04:00,172120968
PSA29FC,7809,PRABCCDW,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],problem_started,2020-05-29 13:28:37.298000-04:00,172120970
PSA29FC,7809,PRABCCDW,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],correct_response,2020-05-29 13:29:31.891000-04:00,172122999
PSA29FC,7809,PRABCCDW,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],problem_finished,2020-05-29 13:29:31.894000-04:00,172123020
PSA29FC,7809,,,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],continue_selected,2020-05-29 13:29:32.219000-04:00,172123021
PSA29FC,7809,PRABCCDX,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],problem_started,2020-05-29 13:29:32.278000-04:00,172123022
PSA29FC,7809,PRABCCDX,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],correct_response,2020-05-29 13:30:14.897000-04:00,172124564
PSA29FC,7809,PRABCCDX,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],problem_finished,2020-05-29 13:30:14.899000-04:00,172124566
PSA29FC,7809,,,,,assignment_finished,2020-05-29 13:30:14.966000-04:00,172124569
PSA29FC,13219,,,,,assignment_started,2020-05-13 12:56:18.493000-04:00,149090329
PSA29FC,13219,PRABBX8W,1.0,,Counting Methods 7.SP.C.8 EX/Introduction,problem_started,2020-05-13 12:56:19.281000-04:00,149090334
PSA29FC,13219,PRABBX8W,1.0,,Counting Methods 7.SP.C.8 EX/Introduction,correct_response,2020-05-13 12:56:24.476000-04:00,149090760
PSA29FC,13219,PRABBX8W,1.0,,Counting Methods 7.SP.C.8 EX/Introduction,problem_finished,2020-05-13 12:56:24.485000-04:00,149091138
PSA29FC,13219,,,,Counting Methods 7.SP.C.8 EX,continue_selected,2020-05-13 12:56:27.690000-04:00,149091140
PSA29FC,13219,PRABB6MM,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_started,2020-05-13 12:56:28.607000-04:00,149091144
PSA29FC,13219,PRABB6MM,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,correct_response,2020-05-13 12:56:42.577000-04:00,149092306
PSA29FC,13219,PRABB6MM,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_finished,2020-05-13 12:56:42.586000-04:00,149092358
PSA29FC,13219,,,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,continue_selected,2020-05-13 12:56:43.205000-04:00,149092359
PSA29FC,13219,PRABB6MQ,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_started,2020-05-13 12:56:43.352000-04:00,149092360
PSA29FC,13219,PRABB6MQ,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,correct_response,2020-05-13 12:57:02.970000-04:00,149093983
PSA29FC,13219,PRABB6MQ,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_finished,2020-05-13 12:57:02.977000-04:00,149094053
PSA29FC,13219,,,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,continue_selected,2020-05-13 12:57:03.409000-04:00,149094054
PSA29FC,13219,PRABB6MS,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_started,2020-05-13 12:57:03.562000-04:00,149094055
PSA29FC,13219,PRABB6MS,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,correct_response,2020-05-13 12:57:33.659000-04:00,149096545
PSA29FC,13219,PRABB6MS,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - First 5,problem_finished,2020-05-13 12:57:33.665000-04:00,149096653
PSA29FC,13219,,,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2],continue_selected,2020-05-13 12:57:34.255000-04:00,149096655
PSA29FC,13219,PRA8S2F,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - Congratulations [ignore],problem_started,2020-05-13 12:57:34.732000-04:00,149096657
PSA29FC,13219,PRA8S2F,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - Congratulations [ignore],correct_response,2020-05-13 12:57:39.792000-04:00,149097124
PSA29FC,13219,PRA8S2F,1.0,,Counting Methods 7.SP.C.8 EX/Study/Treatment 2 [treatment 2]/T2 - Congratulations [ignore],problem_finished,2020-05-13 12:57:39.798000-04:00,149097279
PSA29FC,13219,,,,Counting Methods 7.SP.C.8 EX,continue_selected,2020-05-13 12:57:41.106000-04:00,149097283
PSA29FC,13219,PRABCCDW,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],problem_started,2020-05-13 12:57:41.614000-04:00,149097285
PSA29FC,13219,PRABCCDW,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],correct_response,2020-05-13 12:57:57.343000-04:00,149098607
PSA29FC,13219,PRABCCDW,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],problem_finished,2020-05-13 12:57:57.348000-04:00,149098659
PSA29FC,13219,,,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],continue_selected,2020-05-13 12:57:57.850000-04:00,149098660
PSA29FC,13219,PRABCCDX,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],problem_started,2020-05-13 12:57:57.989000-04:00,149098661
PSA29FC,13219,PRABCCDX,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],correct_response,2020-05-13 12:58:08.541000-04:00,149099542
PSA29FC,13219,PRABCCDX,1.0,,Counting Methods 7.SP.C.8 EX/Posttest [posttest],problem_finished,2020-05-13 12:58:08.546000-04:00,149099563
PSA29FC,13219,,,,,assignment_finished,2020-05-13 12:58:08.825000-04:00,149099678
PSA29FC,13284,,,,,assignment_started,2020-05-20 01:33:27.697000-04:00,160353966
PSA29FC,13284,PRABBX8W,1.0,,Counting Methods 7.SP.C.8 EX/Introduction,problem_started,2020-05-20 01:33:28.457000-04:00,160353969
PSA29FC,13284,PRABBX8W,1.0,,Counting Methods 7.SP.C.8 EX/Introduction,correct_response,2020-05-20 01:33:33.631000-04:00,160353978
PSA29FC,13284,PRABBX8W,1.0,,Counting Methods 7.SP.C.8 EX/Introduction,problem_finished,2020-05-20 01:33:33.639000-04:00,160353990
PSA29FC,13284,,,,Counting Methods 7.SP.C.8 EX,continue_selected,2020-05-20 01:33:34.576000-04:00,160353992
PSA29FC,13284,PRABB6NA,1.0,,Counting Methods 7.SP.C.8 EX/Study/Control [control]/C - First 5,problem_started,2020-05-20 01:33:35.231000-04:00,160353996
PSA29FC,13284,PRABB6NA,1.0,,Counting Methods 7.SP.C.8 EX/Study/Control [control]/C - First 5,correct_response,2020-05-20 01:34:16.637000-04:00,160354140
PSA29FC,13284,PRABB6NA,1.0,,Counting Methods 7.SP.C.8 EX/Study/Control [control]/C - First 5,problem_finished,2020-05-20 01:34:16.663000-04:00,160354150
PSA29FC,13284,,,,Counting Methods 7.SP.C.8 EX/Study/Control [control]/C - First 5,continue_selected,2020-05-20 01:34:17.867000-04:00,160354151
PSA29FC,13284,PRABB6NC,1.0,,Counting Methods 7.SP.C.8 EX/Study/Control [control]/C - First 5,problem_started,2020-05-20 01:34:18.069000-04:00,160354152
