experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSA2KKV,354,9,6,45,26,311,13.422,16.949,0.5582329317269076,1.3729903536977492,56,2019-01-03 12:21:06.231000-05:00,6,3,31,16.6666666666667,33.3333333333333,13.9784946236559,50.0,165,14.561,10.787,0.4796747967479675,1.3818181818181818,353,2019-01-03 11:51:16.769000-05:00,763.0,Massachusetts,Yes,None
PSA2KKV,119641,16,13,0,0,114,64.8025,86.415,0.6140350877192983,1.8333333333333333,8789,2020-03-13 12:05:37.268000-04:00,13,17,0,80.9954751131222,88.8268156424581,0.0,0.0,1026,66.423,45.1915,0.6578947368421053,1.665692007797271,112229,2020-03-12 05:06:50.511000-04:00,2251.0,Virginia,Yes,None
PSA2KKV,119642,15,12,0,0,57,39.847,60.29,0.8245614035087719,1.3508771929824561,8789,2020-03-13 12:05:37.268000-04:00,13,17,0,80.9954751131222,88.8268156424581,0.0,0.0,1026,66.423,45.1915,0.6578947368421053,1.665692007797271,112229,2020-03-12 05:06:50.511000-04:00,2251.0,Virginia,Yes,None
PSA2KKV,119644,14,10,0,0,99,37.836,66.045,0.43434343434343436,1.7474747474747474,8789,2020-03-13 12:05:37.268000-04:00,13,17,0,80.9954751131222,88.8268156424581,0.0,0.0,1026,66.423,45.1915,0.6578947368421053,1.665692007797271,112229,2020-03-12 05:06:50.511000-04:00,2251.0,Virginia,Yes,None
PSA2KKV,141322,15,9,0,0,66,64.9055,99.8915,0.5909090909090909,1.7727272727272727,8789,2020-03-13 12:05:37.268000-04:00,13,17,0,80.9954751131222,88.8268156424581,0.0,0.0,1026,66.423,45.1915,0.6578947368421053,1.665692007797271,112229,2020-03-12 05:06:50.511000-04:00,2251.0,Virginia,Yes,None
PSA2KKV,141453,15,14,0,0,71,64.238,75.787,0.7323943661971831,1.352112676056338,8789,2020-03-13 12:05:37.268000-04:00,13,17,0,80.9954751131222,88.8268156424581,0.0,0.0,1026,66.423,45.1915,0.6578947368421053,1.665692007797271,112229,2020-03-12 05:06:50.511000-04:00,2251.0,Virginia,Yes,None
PSA2KKV,119645,15,15,0,0,76,22.2405,26.906,0.7763157894736842,1.381578947368421,8789,2020-03-13 12:05:37.268000-04:00,13,17,0,80.9954751131222,88.8268156424581,0.0,0.0,1026,66.423,45.1915,0.6578947368421053,1.665692007797271,112229,2020-03-12 05:06:50.511000-04:00,2251.0,Virginia,Yes,None
PSA2KKV,119646,15,15,0,0,88,40.049,44.756,0.7045454545454546,1.4659090909090908,8789,2020-03-13 12:05:37.268000-04:00,13,17,0,80.9954751131222,88.8268156424581,0.0,0.0,1026,66.423,45.1915,0.6578947368421053,1.665692007797271,112229,2020-03-12 05:06:50.511000-04:00,2251.0,Virginia,Yes,None
PSA2KKV,119647,16,16,0,0,84,50.6575,76.499,0.7261904761904762,1.4761904761904763,8789,2020-03-13 12:05:37.268000-04:00,13,17,0,80.9954751131222,88.8268156424581,0.0,0.0,1026,66.423,45.1915,0.6578947368421053,1.665692007797271,112229,2020-03-12 05:06:50.511000-04:00,2251.0,Virginia,Yes,None
PSA2KKV,119648,16,16,0,0,87,66.397,79.735,0.7011494252873564,1.6666666666666667,8789,2020-03-13 12:05:37.268000-04:00,13,17,0,80.9954751131222,88.8268156424581,0.0,0.0,1026,66.423,45.1915,0.6578947368421053,1.665692007797271,112229,2020-03-12 05:06:50.511000-04:00,2251.0,Virginia,Yes,None
