experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA2KMP,9310,2021-02-26 11:00:00-05:00,2021-03-01 11:00:00-05:00,2021-03-01 16:15:20.751000-05:00,2021-03-01 16:21:56.398000-05:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,0.0,21.747,1.8205,1.0,14074159
PSA2KMP,15821,2020-07-22 15:00:00-04:00,,2020-07-22 15:45:32.043000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,1.0,,,,1.0,3967780
PSA2KMP,16240,2020-07-22 15:00:00-04:00,,2020-07-22 15:54:30.616000-04:00,,1,,,,,,Treatment,342.242,171.1125,2.0,1.0,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,3967799
PSA2KMP,16245,2020-07-22 15:00:00-04:00,,2020-07-23 16:06:19.538000-04:00,2020-07-23 16:13:48.633000-04:00,1,,,,,,Treatment,179.699,59.8906666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,202.854,73.181,1.0,3969371
PSA2KMP,16353,2020-07-22 15:00:00-04:00,,2020-07-22 22:34:33.984000-04:00,,1,,,,,,Treatment,219.193,42.0002,5.0,4.0,1.0,,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,3968157
PSA2KMP,16809,2021-03-09 06:07:00-05:00,2021-03-10 22:09:00-05:00,2021-03-10 14:20:20.278000-05:00,2021-03-17 02:16:09.408000-04:00,2,,,,,,Control,362.479,35.4812857142857,7.0,5.0,2.0,1.0,7.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,169.857,66.855,1.0,14499339
PSA2KMP,52817,2021-03-01 14:22:40.603000-05:00,,2021-03-11 10:37:56.452000-05:00,2021-03-22 10:28:26.132000-04:00,5,,,,,,Treatment,946032.197,236499.306,4.0,3.0,1.0,1.0,3.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,168.075,29.8415,2.0,14531111
PSA2KMP,54831,2021-02-22 08:00:00-05:00,2021-03-12 15:00:00-05:00,2021-03-02 12:10:33.710000-05:00,2021-03-02 12:29:14.189000-05:00,1,,,,,,Control,861.314,70.6825,10.0,8.0,2.0,,10.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,132.64,58.309,1.0,14115042
PSA2KMP,82977,2021-02-23 08:00:00-05:00,,2021-02-23 13:38:59.552000-05:00,,1,,,,,,Treatment,1127.685,63.5805833333333,12.0,2.0,2.0,2.0,4.0,15.0,12.0,10.0,0.0,0.0,0.0,0.0,10.0,1.0,,,,,,13808258
PSA2KMP,82981,2021-02-23 08:00:00-05:00,,2021-02-23 14:22:20.932000-05:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,13814499
PSA2KMP,82983,2021-02-23 08:00:00-05:00,,2021-02-23 14:08:27.230000-05:00,,1,,,,,,Control,128.301,27.4365,2.0,0.0,0.0,0.0,2.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,13812589
PSA2KMP,82988,2021-02-23 08:00:00-05:00,,2021-03-05 21:19:41.963000-05:00,,1,,,,,,Treatment,642.042,19.6243076923077,13.0,2.0,2.0,1.0,4.0,17.0,13.0,9.0,0.0,0.0,0.0,0.0,10.0,1.0,,,,,,14321287
PSA2KMP,82999,2021-02-23 08:00:00-05:00,,2021-02-23 14:11:40.127000-05:00,2021-02-24 13:39:35.625000-05:00,2,,,,,,Treatment,484.034,38.2176666666667,9.0,5.0,1.0,0.0,7.0,12.0,8.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,202.518,74.8155,1.0,13813044
PSA2KMP,83095,2021-02-23 08:00:00-05:00,,2021-02-23 13:07:01.599000-05:00,,1,,,,,,Treatment,170.888,107.258,2.0,0.0,,,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,13803555
PSA2KMP,83096,2021-02-23 08:00:00-05:00,,2021-03-09 08:41:51.463000-05:00,,1,,,,,,Treatment,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14396589
PSA2KMP,83512,2021-02-23 08:00:00-05:00,,2021-02-23 14:09:31.117000-05:00,2021-02-23 14:34:15.494000-05:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,0.0,204.707,58.9585,1.0,13812721
