experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSA2KNM,14574,,,,,assignment_started,2021-04-13 13:41:22.783000-04:00,692427922
PSA2KNM,14574,PRABBX8W,1.0,,Discount and Sales Tax 7.RP.A.3 EX,problem_started,2021-04-13 13:41:23.310000-04:00,692427924
PSA2KNM,14574,PRABBX8W,1.0,,Discount and Sales Tax 7.RP.A.3 EX,correct_response,2021-04-13 13:41:26.805000-04:00,692428192
PSA2KNM,14574,PRABBX8W,1.0,,Discount and Sales Tax 7.RP.A.3 EX,problem_finished,2021-04-13 13:41:26.810000-04:00,692428322
PSA2KNM,14574,,,,Discount and Sales Tax 7.RP.A.3 EX,continue_selected,2021-04-13 13:41:27.970000-04:00,692428323
PSA2KNM,14574,PRABAWMQ,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check,problem_started,2021-04-13 13:41:28.200000-04:00,692428325
PSA2KNM,14574,PRABAWMQ,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check,wrong_response,2021-04-13 13:41:41.244000-04:00,692429541
PSA2KNM,14574,PRABAWMQ,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check,problem_finished,2021-04-13 13:41:41.247000-04:00,692429623
PSA2KNM,14574,,,,Discount and Sales Tax 7.RP.A.3 EX/Video Check,continue_selected,2021-04-13 13:41:41.974000-04:00,692429624
PSA2KNM,14574,PRARKK2,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check/Skill Builder,problem_started,2021-04-13 13:41:42.351000-04:00,692429626
PSA2KNM,14574,PRARKK2,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check/Skill Builder,correct_response,2021-04-13 13:42:02.086000-04:00,692431355
PSA2KNM,14574,PRARKK2,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check/Skill Builder,problem_finished,2021-04-13 13:42:02.088000-04:00,692431369
PSA2KNM,14574,,,,Discount and Sales Tax 7.RP.A.3 EX/Video Check/Skill Builder,continue_selected,2021-04-13 13:42:02.442000-04:00,692431370
PSA2KNM,14574,PRARKNF,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check/Skill Builder,problem_started,2021-04-13 13:42:02.495000-04:00,692431371
PSA2KNM,14574,PRARKNF,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check/Skill Builder,correct_response,2021-04-13 13:42:12.921000-04:00,692432278
PSA2KNM,14574,PRARKNF,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check/Skill Builder,problem_finished,2021-04-13 13:42:12.924000-04:00,692432313
PSA2KNM,14574,,,,Discount and Sales Tax 7.RP.A.3 EX/Video Check/Skill Builder,continue_selected,2021-04-13 13:42:13.312000-04:00,692432314
PSA2KNM,14574,PRARKME,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check/Skill Builder,problem_started,2021-04-13 13:42:13.375000-04:00,692432315
PSA2KNM,14574,PRARKME,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check/Skill Builder,correct_response,2021-04-13 13:42:29.521000-04:00,692433631
PSA2KNM,14574,PRARKME,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Video Check/Skill Builder,problem_finished,2021-04-13 13:42:29.523000-04:00,692433656
PSA2KNM,14574,,,,Discount and Sales Tax 7.RP.A.3 EX,continue_selected,2021-04-13 13:42:29.908000-04:00,692433659
PSA2KNM,14574,PRA8S2F,1.0,,Discount and Sales Tax 7.RP.A.3 EX,problem_started,2021-04-13 13:42:29.958000-04:00,692433660
PSA2KNM,14574,PRA8S2F,1.0,,Discount and Sales Tax 7.RP.A.3 EX,correct_response,2021-04-13 13:42:35.902000-04:00,692434162
PSA2KNM,14574,PRA8S2F,1.0,,Discount and Sales Tax 7.RP.A.3 EX,problem_finished,2021-04-13 13:42:35.904000-04:00,692434280
PSA2KNM,14574,,,,Discount and Sales Tax 7.RP.A.3 EX,continue_selected,2021-04-13 13:42:37.002000-04:00,692434281
PSA2KNM,14574,PRA7BBN,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Posttest [posttest],problem_started,2021-04-13 13:42:37.216000-04:00,692434283
PSA2KNM,14574,PRA7BBN,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Posttest [posttest],wrong_response,2021-04-13 13:43:09.524000-04:00,692436938
PSA2KNM,14574,PRA7BBN,1.0,,Discount and Sales Tax 7.RP.A.3 EX/Posttest [posttest],correct_response,2021-04-13 13:43:44.958000-04:00,692440050
