experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA2KNW,9310,2021-05-11 11:00:00-04:00,2021-05-12 11:00:00-04:00,2021-05-12 18:43:31.719000-04:00,2021-05-17 18:37:53.073000-04:00,6,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,0.0,21.572,2.8265,1.0,16360666
PSA2KNW,37827,2020-06-01 12:00:00-04:00,2020-06-01 23:59:00-04:00,2020-06-01 17:19:49.819000-04:00,2020-06-01 20:24:00.066000-04:00,2,,,,,,Treatment,384.48,38.261,7.0,5.0,1.0,1.0,7.0,13.0,6.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,76.396,38.193,1.0,3740441
PSA2KNW,37828,2020-06-01 12:00:00-04:00,2020-06-01 23:59:00-04:00,2020-06-01 16:40:16.311000-04:00,,4,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3739623
PSA2KNW,37829,2020-06-01 12:00:00-04:00,2020-06-01 23:59:00-04:00,2020-06-01 19:45:03.898000-04:00,,1,,,,,,Treatment,307.373,21.33,9.0,4.0,1.0,1.0,5.0,11.0,9.0,8.0,0.0,0.0,0.0,0.0,5.0,1.0,,,,,,3742637
PSA2KNW,37830,2020-06-01 12:00:00-04:00,2020-06-01 23:59:00-04:00,2020-06-01 17:49:29.679000-04:00,,2,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3740991
PSA2KNW,37831,2020-06-01 12:00:00-04:00,2020-06-01 23:59:00-04:00,2020-06-07 17:27:17.033000-04:00,2020-06-07 17:35:41.253000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,69.946,34.9705,1.0,3836720
PSA2KNW,37832,2020-06-01 12:00:00-04:00,2020-06-01 23:59:00-04:00,2020-06-01 13:21:42.397000-04:00,2020-06-01 13:26:49.509000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,81.936,40.9645,1.0,3733293
PSA2KNW,37838,2020-06-01 12:00:00-04:00,2020-06-01 23:59:00-04:00,2020-06-01 15:12:37.167000-04:00,2020-06-01 15:26:03.513000-04:00,1,,,,,,Control,265.999,35.1362857142857,7.0,5.0,1.0,,7.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,270.372,135.181,1.0,3737582
PSA2KNW,37839,2020-06-01 12:00:00-04:00,2020-06-01 23:59:00-04:00,2020-06-01 12:42:16.532000-04:00,2020-06-01 13:25:41.689000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,132.948,66.471,1.0,3731301
PSA2KNW,37841,2020-06-01 12:00:00-04:00,2020-06-01 23:59:00-04:00,2020-06-12 12:23:56.611000-04:00,2020-06-12 12:36:27.195000-04:00,1,,,,,,Treatment,317.325,63.4598,5.0,5.0,,,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,111.043,55.5165,1.0,3908091
PSA2KNW,37904,2020-06-01 12:00:00-04:00,2020-06-01 23:59:00-04:00,2020-06-01 19:31:09.298000-04:00,2020-06-01 19:47:39.641000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,167.307,83.6495,1.0,3742447
PSA2KNW,54831,2021-02-22 08:00:00-05:00,2021-03-12 15:00:00-05:00,2021-02-25 12:38:20.090000-05:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,13929278
