experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSA2KNW,9310,PRABAWMQ,1,,Unknown,2021-05-12 18:43:32.630000-04:00,2021-05-12 18:43:35.374000-04:00,1,2.744,2.732,ok,False,0.0,True,1,0,0,0,0,False,False,False,124716517
PSA2KNW,9310,PRACZKQ,1,,Unknown,2021-05-12 18:43:36.647000-04:00,2021-05-14 12:01:08.983000-04:00,2,148652.336,148601.748,729y 6 x 15,False,0.0,True,4,1,2,0,0,False,False,True,124716523
PSA2KNW,9310,PRACZK2,1,,Unknown,2021-05-14 12:01:10.317000-04:00,2021-05-14 12:04:21.864000-04:00,1,191.547,141.971,−8x18y3,False,0.0,True,4,1,2,0,0,False,False,True,125098313
PSA2KNW,9310,PRACZM9,1,,Unknown,2021-05-14 12:04:22.496000-04:00,2021-05-17 00:46:15.981000-04:00,2,218513.485,218490.502,6m8n,False,0.0,True,3,1,2,0,0,False,False,True,125100139
PSA2KNW,9310,PRACZNS,1,,Unknown,2021-05-17 00:46:16.641000-04:00,2021-05-17 00:52:25.301000-04:00,1,368.66,317.609,9*x7+7*y1+1,False,0.0,False,3,1,2,0,0,False,False,True,125254835
PSA2KNW,9310,PRACZMR,1,,Unknown,2021-05-17 00:52:25.987000-04:00,2021-05-17 00:53:10.275000-04:00,1,44.288,28.014,(d^8),False,0.0,True,2,1,1,0,0,False,False,True,125272908
PSA2KNW,9310,PRACZM8,1,,Unknown,2021-05-17 00:53:10.884000-04:00,2021-05-17 00:54:32.559000-04:00,1,81.675,57.294,2m^4n,False,0.0,True,4,1,2,0,0,False,False,True,125273157
PSA2KNW,9310,PRACZMW,1,,Unknown,2021-05-17 00:54:33.254000-04:00,2021-05-17 00:54:50.160000-04:00,1,16.906,16.902,m^18,True,1.0,True,1,1,0,0,0,False,False,False,125281133
PSA2KNW,9310,PRACZNT,1,,Unknown,2021-05-17 00:54:51.059000-04:00,2021-05-17 00:56:05.230000-04:00,1,74.171,47.077,2(x^16),False,0.0,True,2,1,2,0,0,False,False,True,125281269
PSA2KNW,9310,PRACZJS,1,,Unknown,2021-05-17 00:56:05.879000-04:00,2021-05-17 03:00:09.718000-04:00,1,7443.839,7427.16,2m^24,False,0.0,True,2,1,2,0,0,False,False,True,125281809
PSA2KNW,9310,PRACZJ7,1,,Unknown,2021-05-17 03:00:10.460000-04:00,2021-05-17 18:11:00.374000-04:00,2,54649.914,54649.882,9(a^12)(b^2),True,1.0,True,1,1,0,0,0,False,False,False,125435134
PSA2KNW,9310,PRACZKX,1,,Unknown,2021-05-17 18:11:03.973000-04:00,2021-05-17 18:14:21.379000-04:00,1,197.406,197.399,-64(x^15)(y^3),True,1.0,True,1,1,0,0,0,False,False,False,125484837
PSA2KNW,9310,PRACZK3,1,,Unknown,2021-05-17 18:14:22.877000-04:00,2021-05-17 18:15:58.282000-04:00,1,95.405,95.39,-8(a^6)(b^3),True,1.0,True,1,1,0,0,0,False,False,False,125485275
PSA2KNW,9310,PRA8S2F,1,,Unknown,2021-05-17 18:15:59.798000-04:00,2021-05-17 18:37:28.375000-04:00,1,1288.577,1288.547,OK.,True,1.0,True,1,0,0,0,0,False,False,False,125485511
PSA2KNW,9310,PRABAZRT,1,,Posttest,2021-05-17 18:37:30.366000-04:00,2021-05-17 18:37:40.516000-04:00,1,10.15,2.517,3(w^10)(x^6),False,0.0,False,1,1,0,0,0,False,False,True,125488155
PSA2KNW,9310,PRABAZRS,1,,Posttest,2021-05-17 18:37:41.473000-04:00,2021-05-17 18:37:52.895000-04:00,1,11.422,3.136,49(z^6)(m^10),False,0.0,False,1,1,0,0,0,False,False,True,125488171
PSA2KNW,37827,PRABAWMQ,1,,Unknown,2020-06-01 17:20:18.005000-04:00,2020-06-01 20:08:19.558000-04:00,2,10081.553,10081.532,wpi,True,1.0,True,1,0,0,0,0,False,False,False,29967362
PSA2KNW,37827,PRACZJN,1,,Unknown,2020-06-01 20:08:21.069000-04:00,2020-06-01 20:12:31.690000-04:00,1,250.621,196.221,27x^27 Y^9,False,0.0,True,2,1,2,0,0,False,False,True,29989880
PSA2KNW,37827,PRACZKB,1,,Unknown,2020-06-01 20:12:32.802000-04:00,2020-06-01 20:13:14.844000-04:00,1,42.042,42.032,(a^20)(b^24),True,1.0,True,1,1,0,0,0,False,False,False,29990295
PSA2KNW,37827,PRACZKD,1,,Unknown,2020-06-01 20:13:15.799000-04:00,2020-06-01 20:16:07.445000-04:00,1,171.646,144.346,(m^5x4y)(n^5x4),False,0.0,True,3,1,1,0,0,False,False,True,29990362
PSA2KNW,37827,PRABAZRN,1,,Treatment,2020-06-01 20:16:09.569000-04:00,2020-06-01 20:17:31.122000-04:00,1,81.553,81.547,"Yes, I have watched the video an ready to continue!",True,1.0,True,1,1,0,0,0,False,False,False,29990627
PSA2KNW,37827,PRACZNA,1,,Treatment,2020-06-01 20:17:32.938000-04:00,2020-06-01 20:18:36.626000-04:00,1,63.688,57.311,(4a^10)(b^2),False,0.666666666666667,True,2,1,0,0,0,False,False,False,29990792
PSA2KNW,37827,PRACZJS,1,,Treatment,2020-06-01 20:18:37.816000-04:00,2020-06-01 20:21:06.052000-04:00,1,148.236,37.987,8(m^6)(n^24),False,0.0,True,6,1,2,0,0,False,False,True,29990921
