experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA2KNX,12871,2020-09-15 12:43:02.931000-04:00,2020-09-16 00:44:00-04:00,2020-09-15 14:40:38.048000-04:00,2020-09-15 14:47:45.553000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,343.486,171.7315,1.0,5471163
PSA2KNX,12872,2020-09-15 12:43:02.931000-04:00,2020-09-16 00:44:00-04:00,2020-09-15 18:51:34.810000-04:00,2020-09-15 18:55:52.254000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,0.0,212.047,64.8585,1.0,5500141
PSA2KNX,12873,2020-09-15 12:43:02.931000-04:00,2020-09-16 00:44:00-04:00,2020-09-15 14:45:51.515000-04:00,2020-09-15 14:49:51.746000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,1.0,127.63,49.818,1.0,5472226
PSA2KNX,12874,2020-09-15 12:43:02.931000-04:00,2020-09-16 00:44:00-04:00,2020-09-15 17:30:24.363000-04:00,2020-09-15 17:34:53.748000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,199.786,99.891,1.0,5495240
PSA2KNX,12876,2020-09-15 12:43:02.931000-04:00,2020-09-16 00:44:00-04:00,2020-09-15 15:56:16.981000-04:00,2020-09-15 16:15:01.457000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,1.0,1050.544,516.5445,1.0,5485323
PSA2KNX,12879,2020-09-15 12:43:02.931000-04:00,2020-09-16 00:44:00-04:00,2020-09-19 14:20:23.169000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,5857540
PSA2KNX,12881,2020-09-15 12:43:02.931000-04:00,2020-09-16 00:44:00-04:00,2020-09-15 16:48:51.301000-04:00,2020-09-15 16:54:16.092000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,1.0,231.581,113.523,1.0,5491840
PSA2KNX,12886,2020-09-15 12:43:02.931000-04:00,2020-09-16 00:44:00-04:00,2020-09-15 20:45:20.855000-04:00,2020-09-15 20:54:51.219000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,1.0,388.76,152.2445,1.0,5505796
PSA2KNX,14574,2021-04-13 09:40:07.458000-04:00,2021-04-14 09:42:00-04:00,2021-04-13 14:23:09.088000-04:00,2021-04-13 14:25:30.428000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,97.659,48.827,1.0,15504482
PSA2KNX,14579,2021-04-13 09:40:07.458000-04:00,2021-04-14 09:42:00-04:00,2021-04-13 14:23:09.474000-04:00,2021-04-13 14:25:32.487000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,1.0,100.508,46.0485,1.0,15504485
