experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSA2KNX,12871,PRA84EX,1,,Nonexperimental,2020-09-15 14:40:40.434000-04:00,2020-09-15 14:41:00.841000-04:00,1,20.407,20.365,No,True,1.0,True,1,0,0,0,0,False,False,False,42924064
PSA2KNX,12871,PRA84EV,1,,Nonexperimental,2020-09-15 14:41:02.391000-04:00,2020-09-15 14:41:36.375000-04:00,1,33.984,33.975,No,True,1.0,True,1,0,0,0,0,False,False,False,42924722
PSA2KNX,12871,PRA84E6,1,,Nonexperimental,2020-09-15 14:41:37.753000-04:00,2020-09-15 14:41:44.060000-04:00,1,6.307,6.301,No,True,1.0,True,1,0,0,0,0,False,False,False,42925776
PSA2KNX,12871,PRA8S2F,1,,Nonexperimental,2020-09-15 14:41:45.809000-04:00,2020-09-15 14:41:58.431000-04:00,1,12.622,12.609,OK.,True,1.0,True,1,0,0,0,0,False,False,False,42925974
PSA2KNX,12871,PRAQWYY,1,,Posttest,2020-09-15 14:42:00.024000-04:00,2020-09-15 14:42:28.672000-04:00,1,28.648,28.637,"1, 3, 4",True,1.0,True,1,1,0,0,0,False,False,False,42926377
PSA2KNX,12871,PRA7AD9,1,,Posttest,2020-09-15 14:42:29.892000-04:00,2020-09-15 14:47:44.730000-04:00,1,314.838,314.826,"6 m and 2 m , 11.25 m and 3.75 m",True,1.0,True,1,1,0,0,0,False,False,False,42927185
PSA2KNX,12872,PRA84E6,1,,Nonexperimental,2020-09-15 18:51:35.701000-04:00,2020-09-15 18:51:47.941000-04:00,1,12.24,12.233,No,True,1.0,True,1,0,0,0,0,False,False,False,43169797
PSA2KNX,12872,PRA84EF,1,,Nonexperimental,2020-09-15 18:51:49.279000-04:00,2020-09-15 18:51:58.734000-04:00,1,9.455,9.451,Yes,True,1.0,True,1,0,0,0,0,False,False,False,43169900
PSA2KNX,12872,PRA84EX,1,,Nonexperimental,2020-09-15 18:52:00.067000-04:00,2020-09-15 18:52:06.576000-04:00,1,6.509,6.505,No,True,1.0,True,1,0,0,0,0,False,False,False,43170001
PSA2KNX,12872,PRA8S2F,1,,Nonexperimental,2020-09-15 18:52:08.286000-04:00,2020-09-15 18:52:15.399000-04:00,1,7.113,7.11,OK.,True,1.0,True,1,0,0,0,0,False,False,False,43170078
PSA2KNX,12872,PRA7AD9,1,,Posttest,2020-09-15 18:52:18.456000-04:00,2020-09-15 18:53:58.720000-04:00,1,100.264,80.499,"6 m and 2 m , 10 m and 2.5 m",False,0.333333333333333,True,3,1,0,0,0,False,False,False,43170152
PSA2KNX,12872,PRAQWYY,1,,Posttest,2020-09-15 18:54:00.287000-04:00,2020-09-15 18:55:52.070000-04:00,1,111.783,49.218,"1, 2, 4",False,0.0,True,4,1,0,0,0,False,False,False,43171047
PSA2KNX,12873,PRA84EF,1,,Nonexperimental,2020-09-15 14:45:52.453000-04:00,2020-09-15 14:46:03.558000-04:00,1,11.105,11.098,Yes,True,1.0,True,1,0,0,0,0,False,False,False,42932738
PSA2KNX,12873,PRA84E6,1,,Nonexperimental,2020-09-15 14:46:06.527000-04:00,2020-09-15 14:46:23.097000-04:00,1,16.57,16.564,No,True,1.0,True,1,0,0,0,0,False,False,False,42933083
PSA2KNX,12873,PRA84EV,1,,Nonexperimental,2020-09-15 14:46:24.709000-04:00,2020-09-15 14:47:26.165000-04:00,1,61.456,61.449,No,True,1.0,True,1,0,0,0,0,False,False,False,42933604
PSA2KNX,12873,PRA8S2F,1,,Nonexperimental,2020-09-15 14:47:32.697000-04:00,2020-09-15 14:47:38.921000-04:00,1,6.224,6.22,OK.,True,1.0,True,1,0,0,0,0,False,False,False,42935360
PSA2KNX,12873,PRA7AD9,1,,Posttest,2020-09-15 14:47:42.583000-04:00,2020-09-15 14:49:06.445000-04:00,1,83.862,55.872,"8 m and 5 m , 11.25 m and 3.75 m",False,0.0,True,4,1,0,0,0,False,False,True,42935630
PSA2KNX,12873,PRAQWYY,1,,Posttest,2020-09-15 14:49:07.785000-04:00,2020-09-15 14:49:51.553000-04:00,1,43.768,43.764,"1, 3, 4",True,1.0,True,1,1,0,0,0,False,False,False,42937825
PSA2KNX,12874,PRA84E6,1,,Nonexperimental,2020-09-15 17:30:24.950000-04:00,2020-09-15 17:30:41.343000-04:00,1,16.393,16.387,No,True,1.0,True,1,0,0,0,0,False,False,False,43122563
PSA2KNX,12874,PRA84DY,1,,Nonexperimental,2020-09-15 17:30:42.246000-04:00,2020-09-15 17:30:56.500000-04:00,1,14.254,14.251,Yes,True,1.0,True,1,0,0,0,0,False,False,False,43122757
PSA2KNX,12874,PRA84EV,1,,Nonexperimental,2020-09-15 17:30:57.204000-04:00,2020-09-15 17:31:18.062000-04:00,1,20.858,20.855,No,True,1.0,True,1,0,0,0,0,False,False,False,43122924
PSA2KNX,12874,PRA8S2F,1,,Nonexperimental,2020-09-15 17:31:19.310000-04:00,2020-09-15 17:31:30.589000-04:00,1,11.279,11.276,OK.,True,1.0,True,1,0,0,0,0,False,False,False,43123211
PSA2KNX,12874,PRAQWYY,1,,Posttest,2020-09-15 17:31:32.202000-04:00,2020-09-15 17:32:14.460000-04:00,1,42.258,42.256,"1, 3, 4",True,1.0,True,1,1,0,0,0,False,False,False,43123367
PSA2KNX,12874,PRA7AD9,1,,Posttest,2020-09-15 17:32:16.158000-04:00,2020-09-15 17:34:53.686000-04:00,1,157.528,157.526,"6 m and 2 m , 11.25 m and 3.75 m",True,1.0,True,1,1,0,0,0,False,False,False,43123870
PSA2KNX,12876,PRA84E6,1,,Nonexperimental,2020-09-15 15:56:17.580000-04:00,2020-09-15 15:56:48.068000-04:00,1,30.488,30.483,No,True,1.0,True,1,0,0,0,0,False,False,False,43031834
PSA2KNX,12876,PRA84EV,1,,Nonexperimental,2020-09-15 15:56:50.505000-04:00,2020-09-15 15:57:08.883000-04:00,1,18.378,18.374,No,True,1.0,True,1,0,0,0,0,False,False,False,43032453
PSA2KNX,12876,PRA84EF,1,,Nonexperimental,2020-09-15 15:57:09.785000-04:00,2020-09-15 15:57:19.508000-04:00,1,9.723,9.72,Yes,True,1.0,True,1,0,0,0,0,False,False,False,43032832
PSA2KNX,12876,PRA8S2F,1,,Nonexperimental,2020-09-15 15:57:20.947000-04:00,2020-09-15 15:57:27.266000-04:00,1,6.319,6.316,OK.,True,1.0,True,1,0,0,0,0,False,False,False,43033041
PSA2KNX,12876,PRAQWYY,1,,Posttest,2020-09-15 15:57:29.745000-04:00,2020-09-15 16:06:02.389000-04:00,1,512.644,512.641,"1, 3, 4",True,1.0,True,1,1,0,0,0,False,False,False,43033217
PSA2KNX,12876,PRA7AD9,1,,Posttest,2020-09-15 16:06:03.457000-04:00,2020-09-15 16:15:01.357000-04:00,1,537.9,520.448,7 m and 3.5 m,False,0.0,True,3,1,0,0,0,False,False,True,43043262
PSA2KNX,12879,PRA84DY,1,,Nonexperimental,2020-09-19 14:20:23.831000-04:00,,1,,,,,,,0,0,0,0,0,False,False,False,45852323
PSA2KNX,12881,PRA84EF,1,,Nonexperimental,2020-09-15 16:48:52.158000-04:00,2020-09-15 16:49:22.788000-04:00,1,30.63,30.623,Yes,True,1.0,True,1,0,0,0,0,False,False,False,43088935
PSA2KNX,12881,PRA84EV,1,,Nonexperimental,2020-09-15 16:49:23.731000-04:00,2020-09-15 16:49:44.311000-04:00,1,20.58,20.575,No,True,1.0,True,1,0,0,0,0,False,False,False,43089427
PSA2KNX,12881,PRA84DY,1,,Nonexperimental,2020-09-15 16:49:45.697000-04:00,2020-09-15 16:50:06.196000-04:00,1,20.499,20.495,Yes,True,1.0,True,1,0,0,0,0,False,False,False,43089771
PSA2KNX,12881,PRA8S2F,1,,Nonexperimental,2020-09-15 16:50:08.041000-04:00,2020-09-15 16:50:21.446000-04:00,1,13.405,13.402,OK.,True,1.0,True,1,0,0,0,0,False,False,False,43090122
PSA2KNX,12881,PRA7AD9,1,,Posttest,2020-09-15 16:50:23.512000-04:00,2020-09-15 16:52:37.524000-04:00,1,134.012,134.007,"6 m and 2 m , 11.25 m and 3.75 m",True,1.0,True,1,1,0,0,0,False,False,False,43090384
PSA2KNX,12881,PRAQWYY,1,,Posttest,2020-09-15 16:52:38.410000-04:00,2020-09-15 16:54:15.979000-04:00,1,97.569,93.039,"1, 2, 3",False,0.0,True,2,1,0,0,0,False,False,False,43092569
PSA2KNX,12886,PRA84EX,1,,Nonexperimental,2020-09-15 20:45:25.273000-04:00,2020-09-15 20:45:58.526000-04:00,1,33.253,33.249,No,True,1.0,True,1,0,0,0,0,False,False,False,43224379
PSA2KNX,12886,PRA84EF,1,,Nonexperimental,2020-09-15 20:46:00.370000-04:00,2020-09-15 20:46:39.360000-04:00,1,38.99,38.987,Yes,True,1.0,True,1,0,0,0,0,False,False,False,43224660
PSA2KNX,12886,PRA84EV,1,,Nonexperimental,2020-09-15 20:46:40.793000-04:00,2020-09-15 20:48:06.228000-04:00,1,85.435,85.433,No,True,1.0,True,1,0,0,0,0,False,False,False,43224981
PSA2KNX,12886,PRA8S2F,1,,Nonexperimental,2020-09-15 20:48:08.846000-04:00,2020-09-15 20:48:16.661000-04:00,1,7.815,7.814,OK.,True,1.0,True,1,0,0,0,0,False,False,False,43225637
PSA2KNX,12886,PRA7AD9,1,,Posttest,2020-09-15 20:48:18.489000-04:00,2020-09-15 20:51:33.284000-04:00,1,194.795,110.526,6 m and 2 m,False,0.666666666666667,True,2,1,0,0,0,False,False,False,43225711
PSA2KNX,12886,PRAQWYY,1,,Posttest,2020-09-15 20:51:37.187000-04:00,2020-09-15 20:54:51.152000-04:00,1,193.965,193.963,"1, 3, 4",True,1.0,True,1,1,0,0,0,False,False,False,43227090
PSA2KNX,14574,PRA84EV,1,,Nonexperimental,2021-04-13 14:23:09.586000-04:00,2021-04-13 14:23:31.937000-04:00,1,22.351,22.346,No,True,1.0,True,1,0,0,0,0,False,False,False,117923147
