experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA2KP9,28951,2021-02-23 09:38:55.903000-05:00,,2021-02-23 13:04:38.893000-05:00,2021-02-23 13:28:36.142000-05:00,1,,,,,,Control,1138.422,65.8108181818182,11.0,6.0,3.0,2.0,10.0,19.0,11.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,110.368,55.1805,1.0,13803201
PSA2KP9,29344,2021-02-23 09:38:55.903000-05:00,,2021-02-23 13:31:10.350000-05:00,2021-02-23 13:46:13.083000-05:00,1,,,,,,Treatment,465.082,50.727375,8.0,6.0,2.0,2.0,8.0,10.0,8.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,128.673,62.6305,1.0,13806990
PSA2KP9,29346,2021-02-23 09:38:55.903000-05:00,,2021-02-23 10:08:05.004000-05:00,2021-02-23 10:21:50.343000-05:00,1,,,,,,Treatment,111.12,27.7725,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,162.88,79.1515,1.0,13776924
PSA2KP9,29348,2021-02-23 09:38:55.903000-05:00,,2021-02-23 12:55:36.092000-05:00,2021-02-23 13:02:05.474000-05:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,1.0,50.316,20.887,1.0,13801780
PSA2KP9,29351,2021-02-23 09:38:55.903000-05:00,,2021-02-23 10:02:18.319000-05:00,2021-02-23 10:12:06.491000-05:00,1,,,,,,Control,270.83,135.409,2.0,2.0,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,51.145,25.5685,1.0,13776033
PSA2KP9,29695,2021-02-23 09:38:55.903000-05:00,,2021-02-23 10:18:58.396000-05:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,13778626
PSA2KP9,32902,2021-02-23 09:38:55.903000-05:00,,2021-02-23 10:18:49.375000-05:00,,2,,,,,,Treatment,1173.816,130.4825,8.0,1.0,0.0,0.0,7.0,15.0,8.0,7.0,0.0,0.0,0.0,0.0,7.0,2.0,,,,,,13778599
PSA2KP9,32916,2021-02-23 09:38:55.903000-05:00,,2021-02-23 10:31:18.521000-05:00,,2,,,,,,Control,283.751,141.869,2.0,2.0,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,49.12,29.804,1.0,13780394
PSA2KP9,32924,2021-02-23 09:38:55.903000-05:00,,2021-02-23 13:03:29.112000-05:00,,1,,,,,,Treatment,1658.338,75.6476666666667,10.0,6.0,2.0,,9.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,13803044
PSA2KP9,32928,2021-02-23 09:38:55.903000-05:00,,2021-02-23 09:45:15.230000-05:00,2021-02-23 10:33:21.109000-05:00,2,,,,,,Control,36.078,18.034,2.0,2.0,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,216.601,108.2955,1.0,13773927
PSA2KP9,32935,2021-02-23 09:38:55.903000-05:00,,2021-02-23 12:55:27.493000-05:00,2021-02-23 12:59:15.041000-05:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,1.0,108.082,49.2185,1.0,13801747
PSA2KP9,32955,2021-02-23 09:38:55.903000-05:00,,2021-02-23 10:17:46.985000-05:00,2021-02-23 10:26:53.019000-05:00,1,,,,,,Control,316.803,16.8302,5.0,3.0,1.0,0.0,4.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,103.665,47.1805,1.0,13778442
PSA2KP9,32962,2021-02-23 09:38:55.903000-05:00,,2021-02-23 12:59:12.760000-05:00,2021-02-23 13:21:08.152000-05:00,1,,,,,,Control,750.222,117.779166666667,6.0,4.0,1.0,1.0,6.0,9.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,164.108,75.6465,1.0,13802371
PSA2KP9,32972,2021-02-23 09:38:55.903000-05:00,,2021-02-23 10:16:32.717000-05:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,13778271
PSA2KP9,32975,2021-02-23 09:38:55.903000-05:00,,2021-02-23 12:55:22.161000-05:00,2021-02-23 13:08:44.812000-05:00,1,,,,,,Treatment,300.887,75.2175,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,212.131,101.713,1.0,13801730
PSA2KP9,39850,2021-02-23 09:38:55.903000-05:00,,2021-02-23 12:59:49.797000-05:00,2021-02-23 13:12:36.672000-05:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,376.933,188.4605,1.0,13802447
PSA2KP9,39855,2021-02-23 09:38:55.903000-05:00,,2021-02-23 10:40:49.815000-05:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,13781684
PSA2KP9,39860,2021-02-23 09:38:55.903000-05:00,,2021-02-23 12:57:54.957000-05:00,2021-02-23 13:13:17.977000-05:00,2,,,,,,Treatment,599.13,58.8288571428571,7.0,5.0,2.0,,7.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,189.069,82.051,1.0,13802179
PSA2KP9,39861,2021-02-23 09:38:55.903000-05:00,,2021-02-23 13:07:09.675000-05:00,2021-02-23 13:26:05.471000-05:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,124.535,62.264,1.0,13803581
PSA2KP9,39864,2021-02-23 09:38:55.903000-05:00,,2021-02-23 13:14:43.935000-05:00,2021-02-23 13:37:41.948000-05:00,1,,,,,,Control,258.12,56.74325,4.0,3.0,1.0,1.0,4.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,656.73,318.6795,1.0,13804611
PSA2KP9,39866,2021-02-23 09:38:55.903000-05:00,,2021-02-23 13:05:03.596000-05:00,2021-02-23 13:26:53.809000-05:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,1.0,201.718,97.817,1.0,13803266
PSA2KP9,39874,2021-02-23 09:38:55.903000-05:00,,2021-02-23 10:06:51.196000-05:00,2021-02-23 10:43:14.353000-05:00,1,,,,,,Treatment,1002.809,24.9773636363636,11.0,7.0,3.0,1.0,11.0,19.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,869.767,434.8635,1.0,13776733
PSA2KP9,39876,2021-02-23 09:38:55.903000-05:00,,2021-02-23 13:04:01.541000-05:00,2021-02-23 13:18:45.356000-05:00,2,,,,,,Control,345.029,46.276,6.0,4.0,1.0,,6.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,363.11,181.551,1.0,13803128
PSA2KP9,39886,2021-02-23 09:38:55.903000-05:00,,2021-02-23 13:38:38.041000-05:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,13808209
PSA2KP9,98159,2020-10-27 16:56:20.185000-04:00,,2020-12-21 02:56:56.856000-05:00,2020-12-21 03:02:51.951000-05:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,0.0,295.408,134.109,1.0,11468191
PSA2KP9,160129,2020-05-11 09:15:31.697000-04:00,,2020-05-15 10:01:48.488000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3318160
PSA2KP9,183062,2020-05-12 08:25:44.996000-04:00,2020-05-17 08:27:00-04:00,2020-05-12 11:55:16.292000-04:00,2020-05-13 11:57:11.422000-04:00,2,,,,,,Control,6489.684,396.537333333333,15.0,6.0,3.0,1.0,14.0,26.0,15.0,6.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,670.507,256.617,1.0,3159747
PSA2KP9,184443,2020-05-12 08:25:44.996000-04:00,2020-05-17 08:27:00-04:00,2020-05-13 15:52:39.954000-04:00,2020-05-13 16:00:19.018000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,279.167,139.5635,1.0,3242302
PSA2KP9,205151,2020-05-14 08:00:00-04:00,,2020-05-14 13:55:34.014000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3291177
PSA2KP9,221182,2020-05-12 08:25:44.996000-04:00,2020-05-17 08:27:00-04:00,2020-05-12 20:15:51.635000-04:00,,4,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3194593
