experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA2KPT,9310,2021-05-11 11:00:00-04:00,2021-05-12 11:00:00-04:00,2021-05-11 16:10:40.293000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,16324413
PSA2KPT,37828,2020-05-27 12:00:00-04:00,2020-05-27 23:59:00-04:00,2020-05-27 14:48:50.656000-04:00,2020-06-09 14:07:33.139000-04:00,3,,,,,,Treatment 1,823.074,32.7612222222222,18.0,11.0,6.0,5.0,18.0,32.0,18.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,249.856,119.004,1.0,3645266
PSA2KPT,37829,2020-05-27 12:00:00-04:00,2020-05-27 23:59:00-04:00,2020-05-27 17:07:40.807000-04:00,2020-05-27 17:40:58.424000-04:00,1,,,,,,Treatment 2,1168.69,185.006,6.0,3.0,1.0,1.0,6.0,10.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,760.143,365.4245,1.0,3649343
PSA2KPT,37830,2020-05-27 12:00:00-04:00,2020-05-27 23:59:00-04:00,2020-06-01 17:10:28.461000-04:00,2020-06-01 17:29:51.257000-04:00,1,,,,,,Control,558.228,40.4991666666667,6.0,4.0,2.0,1.0,6.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,559.3,271.2825,1.0,3740250
PSA2KPT,37831,2020-05-27 12:00:00-04:00,2020-05-27 23:59:00-04:00,2020-06-10 19:17:32.256000-04:00,2020-06-10 19:25:25.523000-04:00,2,,,,,,Control,231.244,77.0743333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,174.408,5.648,1.0,3888772
PSA2KPT,37832,2020-05-27 12:00:00-04:00,2020-05-27 23:59:00-04:00,2020-05-27 13:16:18.229000-04:00,2020-05-27 14:19:23.056000-04:00,1,,,,,,Treatment 1,441.929,147.306,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3149.92,1555.27,1.0,3640681
PSA2KPT,37838,2020-05-27 12:00:00-04:00,2020-05-27 23:59:00-04:00,2020-05-27 14:58:28.289000-04:00,2020-05-27 15:11:54.787000-04:00,1,,,,,,Control,576.107,45.7525714285714,7.0,4.0,2.0,2.0,7.0,13.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,165.897,70.302,1.0,3645627
PSA2KPT,37839,2020-05-27 12:00:00-04:00,2020-05-27 23:59:00-04:00,2020-05-27 14:59:32.220000-04:00,,1,,,,,,Treatment 1,599.576,29.5467,10.0,5.0,3.0,2.0,10.0,22.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,3645666
PSA2KPT,37841,2020-05-27 12:00:00-04:00,2020-05-27 23:59:00-04:00,2020-06-12 11:19:01.071000-04:00,2020-06-12 11:27:53.715000-04:00,1,,,,,,Treatment 2,162.177,22.635,4.0,3.0,1.0,1.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,225.039,87.5465,1.0,3907239
PSA2KPT,37842,2020-05-27 12:00:00-04:00,2020-05-27 23:59:00-04:00,2020-05-27 21:17:44.906000-04:00,2020-05-27 21:23:42.842000-04:00,1,,,,,,Control,227.839,34.4716666666667,6.0,5.0,1.0,,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,79.014,32.5175,1.0,3653343
