experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA2KPV,97889,2021-05-07 11:25:16.613000-04:00,2021-05-10 11:25:00-04:00,2021-05-09 19:43:15.552000-04:00,2021-05-09 20:14:07.438000-04:00,1,,,,,,Control,139.269,46.4183333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1695.425,688.976,1.0,16252708
PSA2KPV,100590,2021-05-07 11:25:16.613000-04:00,2021-05-10 11:25:00-04:00,2021-05-07 13:31:57.243000-04:00,,1,,,,,,Control,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,16240122
PSA2KPV,101223,2021-05-07 11:25:16.613000-04:00,2021-05-10 11:25:00-04:00,2021-05-07 13:36:03.212000-04:00,,1,,,,,,Control,141.832,33.6975,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,16240389
PSA2KPV,102958,2021-05-07 11:25:16.613000-04:00,2021-05-10 11:25:00-04:00,2021-05-07 13:27:48.215000-04:00,,1,,,,,,Treatment 2,700.948,8.234,2.0,0.0,,,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,16239872
PSA2KPV,104607,2021-05-07 11:25:16.613000-04:00,2021-05-10 11:25:00-04:00,2021-05-07 13:20:11.807000-04:00,2021-05-07 13:28:43.365000-04:00,1,,,,,,Control,153.135,51.037,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,342.541,135.4635,1.0,16239397
PSA2KPV,128930,2020-05-17 17:12:41.335000-04:00,2020-05-22 23:59:00-04:00,2020-05-20 09:51:50.086000-04:00,,1,,,,,,Control,359.816,44.7364,5.0,3.0,1.0,1.0,5.0,8.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,31.27,15.415,1.0,3466109
PSA2KPV,128939,2020-05-17 17:12:41.334000-04:00,2020-05-22 23:59:00-04:00,2020-05-18 11:26:35.385000-04:00,2020-05-18 11:36:17.621000-04:00,1,,,,,,Treatment 1,25.826,12.9035,2.0,2.0,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,499.081,239.291,1.0,3372237
PSA2KPV,128962,2020-05-17 17:12:41.334000-04:00,2020-05-22 23:59:00-04:00,2020-06-01 15:13:32.657000-04:00,2020-06-01 15:24:19.722000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,0.0,502.777,230.434,1.0,3737612
PSA2KPV,128973,2020-05-17 17:12:41.333000-04:00,2020-05-22 23:59:00-04:00,2020-05-21 08:18:29.733000-04:00,2020-05-21 08:23:28.589000-04:00,1,,,,,,Control,53.723,17.9046666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,235.97,109.803,1.0,3504298
PSA2KPV,128995,2020-05-17 17:12:41.331000-04:00,2020-05-22 23:59:00-04:00,2020-05-19 11:27:11.205000-04:00,2020-05-19 12:26:46.301000-04:00,2,,,,,,Treatment 1,87.807,43.898,2.0,2.0,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,231.461,95.925,1.0,3426974
PSA2KPV,129130,2020-05-17 17:12:41.333000-04:00,2020-05-22 23:59:00-04:00,2020-05-18 15:47:07.960000-04:00,2020-05-18 15:51:34.581000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,1.0,202.288,74.235,1.0,3396136
PSA2KPV,129132,2020-05-17 17:12:41.335000-04:00,2020-05-22 23:59:00-04:00,2020-05-18 09:44:09.712000-04:00,2020-05-18 09:56:06.059000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,0.0,265.569,122.7515,1.0,3361637
PSA2KPV,129133,2020-05-17 17:12:41.331000-04:00,2020-05-22 23:59:00-04:00,2020-05-21 14:25:33.598000-04:00,2020-05-21 15:43:36.614000-04:00,3,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,466.216,233.103,1.0,3531743
PSA2KPV,129367,2020-05-17 17:12:41.334000-04:00,2020-05-22 23:59:00-04:00,2020-05-18 01:18:40.588000-04:00,2020-05-18 01:26:01.297000-04:00,1,,,,,,Control,122.927,40.9686666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,301.117,74.938,1.0,3354805
PSA2KPV,129536,2020-05-17 17:12:41.335000-04:00,2020-05-22 23:59:00-04:00,2020-05-20 09:43:25.565000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,3465568
PSA2KPV,129562,2020-05-17 17:12:41.332000-04:00,2020-05-22 23:59:00-04:00,2020-05-18 08:29:27.420000-04:00,2020-05-18 08:34:37.018000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,200.733,100.3635,1.0,3356966
PSA2KPV,129586,2020-05-17 17:12:41.334000-04:00,2020-05-22 23:59:00-04:00,2020-05-24 20:47:29.189000-04:00,2020-05-24 21:20:04.919000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,0.0,1205.976,582.224,1.0,3577896
PSA2KPV,129607,2020-05-17 17:12:41.333000-04:00,2020-05-22 23:59:00-04:00,2020-05-18 10:43:12.276000-04:00,2020-05-18 10:56:10.810000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,660.535,330.263,1.0,3367633
PSA2KPV,129805,2020-05-17 17:12:41.331000-04:00,2020-05-22 23:59:00-04:00,2020-05-18 13:25:38.318000-04:00,2020-05-18 13:40:28.710000-04:00,1,,,,,,Control,169.004,56.326,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,705.879,344.472,1.0,3384912
PSA2KPV,129914,2020-05-17 17:12:41.333000-04:00,2020-05-22 23:59:00-04:00,2020-05-22 11:09:40.971000-04:00,2020-05-22 11:40:05.840000-04:00,1,,,,,,Control,1609.797,224.429285714286,7.0,5.0,2.0,,7.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,197.914,91.7965,1.0,3554826
PSA2KPV,130029,2020-05-17 17:12:41.335000-04:00,2020-05-22 23:59:00-04:00,2020-06-01 02:46:46.520000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,1.0,,,,1.0,3717638
PSA2KPV,130109,2020-05-17 17:12:41.331000-04:00,2020-05-22 23:59:00-04:00,2020-05-18 10:48:31.548000-04:00,2020-05-18 10:50:44.471000-04:00,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,2.0,2.0,66.473,33.2345,1.0,3368219
