experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSA2KPV,97889,PRABYTK,1,,Control,2021-05-09 19:43:25.884000-04:00,2021-05-09 19:44:07.701000-04:00,1,41.817,41.81,78.5,True,1.0,True,1,1,0,0,0,False,False,False,123847581
PSA2KPV,97889,PRABYVY,1,,Control,2021-05-09 19:44:08.405000-04:00,2021-05-09 19:44:24.787000-04:00,1,16.382,16.38,28.26,True,1.0,True,1,1,0,0,0,False,False,False,123847608
PSA2KPV,97889,PRABYVA,1,,Control,2021-05-09 19:44:25.479000-04:00,2021-05-09 19:45:46.549000-04:00,1,81.07,81.065,530.66,True,1.0,True,1,1,0,0,0,False,False,False,123847612
PSA2KPV,97889,PRA8S2F,1,,Unknown,2021-05-09 19:45:47.577000-04:00,2021-05-09 19:45:49.668000-04:00,1,2.091,2.089,OK.,True,1.0,True,1,0,0,0,0,False,False,False,123847661
PSA2KPV,97889,PRABAZRP,1,,Posttest,2021-05-09 19:45:51.123000-04:00,2021-05-09 19:52:20.622000-04:00,1,389.499,72.039,3.651263742951032pi,False,0.0,True,5,1,0,0,0,False,False,True,123847663
PSA2KPV,97889,PRABAZRQ,1,,Posttest,2021-05-09 19:52:21.408000-04:00,2021-05-09 20:14:07.334000-04:00,1,1305.926,1305.913,17.5,True,1.0,True,1,0,0,0,0,False,False,False,123847905
PSA2KPV,100590,PRABYTH,1,,Control,2021-05-07 13:31:57.809000-04:00,,1,,,,,,,0,1,0,0,0,False,False,False,123732518
PSA2KPV,101223,PRABYUB,1,,Control,2021-05-07 13:36:09.054000-04:00,2021-05-07 13:36:48.107000-04:00,1,39.053,32.032,907.64,False,0.666666666666667,True,2,1,0,0,0,False,False,False,123734616
PSA2KPV,101223,PRABYT2,1,,Control,2021-05-07 13:36:48.945000-04:00,2021-05-07 13:37:22.959000-04:00,1,34.014,34.007,254.34,True,1.0,True,1,1,0,0,0,False,False,False,123734923
PSA2KPV,101223,PRABYTN,1,,Control,2021-05-07 13:37:23.406000-04:00,2021-05-07 13:37:48.429000-04:00,1,25.023,25.016,113.04,True,1.0,True,1,1,0,0,0,False,False,False,123735258
PSA2KPV,101223,PRABYUT,1,,Control,2021-05-07 13:37:49.001000-04:00,2021-05-07 13:38:32.743000-04:00,1,43.742,43.735,452.16,True,1.0,True,1,1,0,0,0,False,False,False,123735468
PSA2KPV,101223,PRA8S2F,1,,Unknown,2021-05-07 13:38:33.234000-04:00,2021-05-07 13:38:41.914000-04:00,1,8.68,8.673,OK.,True,1.0,True,1,0,0,0,0,False,False,False,123735827
PSA2KPV,101223,PRABAZRQ,1,,Posttest,2021-05-07 13:38:43.704000-04:00,,1,,,,,,,0,0,0,0,0,False,False,False,123735834
PSA2KPV,102958,PRABYVU,1,,Unknown,2021-05-07 13:27:49.773000-04:00,2021-05-07 13:29:47.909000-04:00,1,118.136,9.424,254.34,False,0.0,False,1,1,2,0,0,False,False,True,123730543
PSA2KPV,102958,PRABAZRG,1,,Unknown,2021-05-07 13:29:53.066000-04:00,2021-05-07 13:30:00.998000-04:00,1,7.932,7.923,Okay. I am ready to continue.,True,1.0,True,1,1,0,0,0,False,False,False,123731510
PSA2KPV,102958,PRABYTS,1,,Treatment 2,2021-05-07 13:30:05.641000-04:00,2021-05-07 13:41:46.589000-04:00,1,700.948,8.234,530.66,False,0.0,False,1,1,3,0,0,False,False,True,123731620
PSA2KPV,102958,PRABYV3,1,,Treatment 2,2021-05-07 13:41:51.461000-04:00,,1,,,,,,,0,1,0,0,0,False,False,False,123737423
PSA2KPV,104607,PRABYUB,1,,Control,2021-05-07 13:20:13.156000-04:00,2021-05-07 13:20:50.084000-04:00,1,36.928,36.918,907.46,True,1.0,True,1,1,0,0,0,False,False,False,123726636
PSA2KPV,104607,PRABYU9,1,,Control,2021-05-07 13:20:51.381000-04:00,2021-05-07 13:22:24.326000-04:00,1,92.945,92.94,50.24,True,1.0,True,1,1,0,0,0,False,False,False,123727002
PSA2KPV,104607,PRABYUH,1,,Control,2021-05-07 13:22:25.512000-04:00,2021-05-07 13:22:48.774000-04:00,1,23.262,23.253,379.94,True,1.0,True,1,1,0,0,0,False,False,False,123727806
