experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA4MS2,9498,2020-06-07 09:00:00-04:00,,2020-08-08 01:55:57.256000-04:00,2020-08-08 02:07:41.886000-04:00,1,,,,,,Control,96.588,32.189,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,518.386,234.045,1.0,3993602
PSA4MS2,9524,2020-06-07 09:00:00-04:00,,2020-06-30 22:12:40.216000-04:00,2020-06-30 22:21:40.505000-04:00,1,,,,,,Control,193.979,26.619,4.0,3.0,1.0,,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,318.945,159.4615,1.0,3947625
PSA4MS2,9811,2020-06-07 09:00:00-04:00,,2020-09-21 11:23:29.425000-04:00,2020-09-21 13:50:00.477000-04:00,1,,,,,,Control,973.581,163.07375,4.0,3.0,1.0,1.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,7804.888,3866.375,1.0,5910646
PSA4MS2,9812,2020-06-07 09:00:00-04:00,,2020-09-10 17:21:59.051000-04:00,2020-09-10 17:32:31.612000-04:00,1,,,,,,Control,348.368,116.121,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,273.911,118.1295,1.0,5144245
PSA4MS2,9813,2020-06-07 09:00:00-04:00,,2020-06-18 13:38:26.964000-04:00,2020-06-18 13:56:45.638000-04:00,1,,,,,,Treatment 1,681.682,227.182,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,380.373,158.0695,1.0,3934676
PSA4MS2,9814,2020-06-07 09:00:00-04:00,,2020-09-30 16:39:23.532000-04:00,2020-09-30 18:17:35.236000-04:00,1,,,,,,Treatment 1,5321.665,749.597285714286,7.0,5.0,1.0,1.0,7.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,548.86,261.484,1.0,6826164
PSA4MS2,9943,2020-06-07 09:00:00-04:00,,2020-08-05 20:00:41.241000-04:00,2020-08-05 20:57:35.606000-04:00,1,,,,,,Control,598.348,199.445,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2792.479,1172.438,1.0,3987492
PSA4MS2,10030,2020-06-07 09:00:00-04:00,,2020-06-23 14:58:36.291000-04:00,2020-06-24 15:07:54.911000-04:00,2,,,,,,Control,86448.6,21546.0585,4.0,3.0,1.0,1.0,4.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,477.359,157.781,1.0,3942503
PSA4MS2,10039,2020-06-07 09:00:00-04:00,,2020-08-10 08:52:45.010000-04:00,2020-08-10 10:10:48.202000-04:00,1,,,,,,Treatment 1,3927.065,1309.00566666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,723.155,354.9425,1.0,3994434
PSA4MS2,10043,2020-06-07 09:00:00-04:00,,2020-09-13 14:05:51.546000-04:00,2020-09-13 14:10:44.867000-04:00,1,,,,,,Treatment 1,105.227,35.0723333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,160.369,80.1815,1.0,5252454
