experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSA4MS2,9498,PRABBX8W,1,,Nonexperimental,2020-08-08 01:55:57.968000-04:00,2020-08-08 01:56:50.336000-04:00,1,52.368,52.358,Got it!!,True,1.0,True,1,0,0,0,0,True,False,False,32117023
PSA4MS2,9498,PRABCU69,1,,Control,2020-08-08 01:57:15.140000-04:00,2020-08-08 01:58:21.020000-04:00,1,65.88,65.873,6/43,True,1.0,True,1,1,0,0,0,False,False,False,32117029
PSA4MS2,9498,PRABCU7J,1,,Control,2020-08-08 01:58:22.009000-04:00,2020-08-08 01:58:39.916000-04:00,1,17.907,17.901,4/3,True,1.0,True,1,1,0,0,0,False,False,False,32117034
PSA4MS2,9498,PRABCU75,1,,Control,2020-08-08 01:58:40.531000-04:00,2020-08-08 01:58:53.332000-04:00,1,12.801,12.793,1,True,1.0,True,1,1,0,0,0,False,False,False,32117035
PSA4MS2,9498,PRA8S2F,1,,Nonexperimental,2020-08-08 01:58:54.428000-04:00,2020-08-08 01:58:59.214000-04:00,1,4.786,4.781,OK.,True,1.0,True,1,0,0,0,0,False,False,False,32117036
PSA4MS2,9498,PRABCQ6G,1,,Posttest,2020-08-08 01:59:01.437000-04:00,2020-08-08 02:05:39.354000-04:00,1,397.917,362.951,24/3,False,0.0,True,3,1,2,0,0,False,False,True,32117037
PSA4MS2,9498,PRABCQ6A,1,,Posttest,2020-08-08 02:05:41.146000-04:00,2020-08-08 02:07:41.615000-04:00,1,120.469,105.139,0,False,0.0,True,2,1,1,0,0,False,False,True,32117050
PSA4MS2,9524,PRABBX8W,1,,Nonexperimental,2020-06-30 22:12:40.736000-04:00,2020-06-30 22:12:50.469000-04:00,1,9.733,9.71,Got it!!,True,1.0,True,1,0,0,0,0,True,False,False,31697069
PSA4MS2,9524,PRABCUW8,1,,Control,2020-06-30 22:12:52.304000-04:00,2020-06-30 22:15:13.099000-04:00,1,140.795,53.304,-9/14,False,0.333333333333333,True,3,1,0,0,0,False,False,False,31697070
PSA4MS2,9524,PRABCU7H,1,,Control,2020-06-30 22:15:14.009000-04:00,2020-06-30 22:15:28.432000-04:00,1,14.423,14.419,-2,True,1.0,True,1,1,0,0,0,False,False,False,31697074
PSA4MS2,9524,PRABCU85,1,,Control,2020-06-30 22:15:29.935000-04:00,2020-06-30 22:15:50.970000-04:00,1,21.035,21.031,15/46,True,1.0,True,1,1,0,0,0,False,False,False,31697075
