experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA52JK,10408,2020-11-20 08:30:21.990000-05:00,,2020-11-20 12:10:56.025000-05:00,2020-11-20 12:33:50.222000-05:00,1,,,,,,Control,490.425,163.464,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,800.825,400.4065,1.0,10158506
PSA52JK,16495,2020-11-20 08:30:21.988000-05:00,,2020-11-20 09:41:41.289000-05:00,2020-11-20 09:52:56.620000-05:00,2,,,,,,Control,432.118,144.029666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,233.552,116.7655,1.0,10138244
PSA52JK,17373,2020-05-04 12:31:56.236000-04:00,2020-05-09 00:59:00-04:00,2020-05-04 21:48:17-04:00,,1,,,,,,Control,435.476,145.150666666667,3.0,2.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2824665
PSA52JK,17378,2020-05-04 12:31:56.236000-04:00,2020-05-09 00:59:00-04:00,2020-05-04 14:32:21.386000-04:00,2020-05-04 14:41:32.679000-04:00,1,,,,,,Treatment,333.186,111.06,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,211.128,105.562,1.0,2804273
PSA52JK,17379,2020-05-04 12:31:56.236000-04:00,2020-05-09 00:59:00-04:00,2020-05-06 15:00:27.298000-04:00,2020-05-06 15:25:12.002000-04:00,2,,,,,,Control,346.299,115.421666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1129.367,564.6715,2.0,2938041
PSA52JK,17380,2020-05-04 12:31:56.236000-04:00,2020-05-09 00:59:00-04:00,2020-05-06 13:31:41.759000-04:00,,1,,,,,,Control,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2929507
PSA52JK,18611,2020-05-04 12:31:56.235000-04:00,2020-05-09 00:59:00-04:00,2020-05-21 12:53:04.708000-04:00,,1,,,,,,Treatment,1156.736,140.76775,8.0,6.0,2.0,,8.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,165.83,165.81,1.0,3525275
PSA52JK,18642,2020-05-04 12:31:56.235000-04:00,2020-05-09 00:59:00-04:00,2020-05-05 12:07:40.565000-04:00,2020-05-05 12:11:52.186000-04:00,1,,,,,,Treatment,76.818,8.37614285714286,7.0,3.0,1.0,,7.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,161.83,80.9045,1.0,2855573
PSA52JK,21342,2020-05-04 12:31:56.234000-04:00,2020-05-09 00:59:00-04:00,2020-05-07 17:01:42.399000-04:00,2020-05-07 17:12:51.441000-04:00,1,,,,,,Control,434.388,66.612,6.0,5.0,1.0,1.0,6.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,228.26,114.1165,1.0,3008235
PSA52JK,21344,2020-05-04 12:31:56.234000-04:00,2020-05-09 00:59:00-04:00,2020-05-04 13:43:54.604000-04:00,2020-05-04 13:52:41.252000-04:00,1,,,,,,Treatment,50.545,16.8406666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,468.513,234.2535,1.0,2798952
PSA52JK,21346,2020-05-04 12:31:56.234000-04:00,2020-05-09 00:59:00-04:00,2020-05-04 22:18:21.013000-04:00,2020-05-07 19:35:51.549000-04:00,6,,,,,,Control,170.416,33.22375,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,249274.807,124637.3645,2.0,2825230
PSA52JK,21348,2020-05-04 12:31:56.234000-04:00,2020-05-09 00:59:00-04:00,2020-05-07 16:06:10.121000-04:00,2020-05-07 16:21:56.161000-04:00,1,,,,,,Control,529.827,77.5981666666667,6.0,5.0,1.0,,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,410.682,205.335,1.0,3005372
PSA52JK,21350,2020-05-04 12:31:56.234000-04:00,2020-05-09 00:59:00-04:00,2020-05-04 22:33:08.647000-04:00,2020-05-06 21:27:04.339000-04:00,2,,,,,,Treatment,208.563,27.1364285714286,7.0,4.0,2.0,,7.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,168602.067,84301.0155,2.0,2825494
PSA52JK,21351,2020-05-04 12:31:56.234000-04:00,2020-05-09 00:59:00-04:00,2020-05-08 02:55:01.529000-04:00,,1,,,,,,Treatment,158.838,52.935,3.0,2.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,3019759
