experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSA52JK,10408,PRA8X9D,1,,Control,2020-11-20 12:10:57.335000-05:00,2020-11-20 12:14:56.299000-05:00,1,238.964,238.946,3,True,1.0,True,1,1,0,0,0,False,False,False,77442529
PSA52JK,10408,PRA8X88,1,,Control,2020-11-20 12:14:58.263000-05:00,2020-11-20 12:16:06.866000-05:00,1,68.603,68.595,6,True,1.0,True,1,1,0,0,0,False,False,False,77446593
PSA52JK,10408,PRABW2S,1,,Control,2020-11-20 12:16:09.186000-05:00,2020-11-20 12:19:12.044000-05:00,1,182.858,182.851,28,True,1.0,True,1,1,0,0,0,False,False,False,77447764
PSA52JK,10408,PRABED2K,1,,Posttest,2020-11-20 12:19:14.911000-05:00,2020-11-20 12:22:58.816000-05:00,1,223.905,223.899,225,False,0.0,True,1,1,0,0,0,False,False,False,77450885
PSA52JK,10408,PRABED2M,1,,Posttest,2020-11-20 12:24:13.097000-05:00,2020-11-20 12:33:50.017000-05:00,1,576.92,576.914,8,False,0.0,True,1,1,0,0,0,False,False,False,77455897
PSA52JK,16495,PRA8X89,1,,Control,2020-11-20 09:41:42.723000-05:00,2020-11-20 09:44:05.894000-05:00,1,143.171,143.159,2,True,1.0,True,1,1,0,0,0,False,False,False,77300524
PSA52JK,16495,PRA784D,1,,Control,2020-11-20 09:44:07.867000-05:00,2020-11-20 09:44:17.918000-05:00,1,10.051,10.045,7,True,1.0,True,1,1,0,0,0,False,False,False,77302701
PSA52JK,16495,PRA7842,1,,Control,2020-11-20 09:44:20.131000-05:00,2020-11-20 09:48:59.027000-05:00,2,278.896,278.885,4,True,1.0,True,1,1,0,0,0,False,False,False,77302871
PSA52JK,16495,PRABED2K,1,,Posttest,2020-11-20 09:49:01.818000-05:00,2020-11-20 09:51:52.435000-05:00,1,170.617,170.609,15,True,1.0,True,1,1,0,0,0,False,False,False,77307001
PSA52JK,16495,PRABED2M,1,,Posttest,2020-11-20 09:51:53.527000-05:00,2020-11-20 09:52:56.462000-05:00,1,62.935,62.922,60,False,0.0,True,1,1,0,0,0,False,False,False,77309613
PSA52JK,17373,PRA784Z,1,,Control,2020-05-04 21:48:18.578000-04:00,2020-05-04 21:49:28.165000-04:00,1,69.587,69.573,4,True,1.0,True,1,1,0,0,0,False,False,False,22426059
PSA52JK,17373,PRA7849,1,,Control,2020-05-04 21:49:30.060000-04:00,2020-05-04 21:55:23.712000-04:00,1,353.652,353.642,8,True,1.0,True,1,1,0,0,0,False,False,False,22426266
PSA52JK,17373,PRABW2S,1,,Control,2020-05-04 21:55:25.276000-04:00,,1,12.237,12.237,1.5,False,0.666666666666667,True,1,1,0,0,0,False,False,False,22427314
PSA52JK,17378,PRABDMFH,1,,Treatment,2020-05-04 14:32:22.133000-04:00,2020-05-04 14:32:40.567000-04:00,1,18.434,18.431,6,True,1.0,True,1,1,0,0,0,False,False,False,22238126
PSA52JK,17378,PRABDMEU,1,,Treatment,2020-05-04 14:32:41.835000-04:00,2020-05-04 14:37:26.317000-04:00,1,284.482,284.48,16,True,1.0,True,1,1,0,0,0,False,False,False,22238401
PSA52JK,17378,PRABDMFS,1,,Treatment,2020-05-04 14:37:27.196000-04:00,2020-05-04 14:37:57.466000-04:00,1,30.27,30.269,3,True,1.0,True,1,1,0,0,0,False,False,False,22242570
PSA52JK,17378,PRABED2K,1,,Posttest,2020-05-04 14:37:59.270000-04:00,2020-05-04 14:39:04.611000-04:00,1,65.341,65.338,15,True,1.0,True,1,1,0,0,0,False,False,False,22243068
PSA52JK,17378,PRABED2M,1,,Posttest,2020-05-04 14:39:06.863000-04:00,2020-05-04 14:41:32.650000-04:00,1,145.787,145.786,60,False,0.0,True,1,1,0,0,0,False,False,False,22244059
