experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA59TQ,10408,2020-11-20 08:26:02.117000-05:00,,2020-11-20 11:58:04.970000-05:00,2020-11-20 12:09:36.166000-05:00,1,,,,,,Control 1,315.289,105.089,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,252.664,63.15925,1.0,10156566
PSA59TQ,16495,2020-11-20 08:26:02.114000-05:00,,2020-12-11 09:59:42.642000-05:00,2020-12-11 10:04:25.665000-05:00,1,,,,,,Treatment 2,104.551,26.13075,4.0,4.0,,,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,126.486,31.61525,1.0,11111080
PSA59TQ,49848,2020-10-05 09:46:00-04:00,2020-10-07 09:48:00-04:00,2020-10-05 10:14:09.137000-04:00,,1,,,,,,Control 2,2433.727,208.203777777778,10.0,1.0,1.0,1.0,3.0,12.0,10.0,7.0,0.0,0.0,0.0,0.0,7.0,1.0,,,,,,7080696
PSA59TQ,50116,2020-10-05 09:46:00-04:00,2020-10-07 09:48:00-04:00,2020-10-05 10:14:23.486000-04:00,2020-10-05 10:43:39.655000-04:00,1,,,,,,Treatment 3,1179.073,61.2182142857143,14.0,9.0,4.0,1.0,14.0,20.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,324.043,34.28,1.0,7080746
PSA59TQ,75264,2020-05-01 13:25:00-04:00,,2020-05-04 10:32:15.202000-04:00,,1,,,,,,Control 3,212.481,70.8056666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,5.121,5.112,1.0,2773686
PSA59TQ,75615,2020-05-01 13:25:00-04:00,,2020-05-01 13:30:07.298000-04:00,2020-05-01 13:35:01.549000-04:00,1,,,,,,Treatment 2,181.762,45.432,4.0,4.0,,,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,79.841,19.95475,1.0,2729590
PSA59TQ,98159,2020-10-26 21:14:29.967000-04:00,,2020-12-09 16:10:45.503000-05:00,2020-12-09 16:23:05.294000-05:00,1,,,,,,Control 1,541.854,48.633,8.0,5.0,3.0,1.0,8.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,169.701,42.422,1.0,11004529
PSA59TQ,144751,2020-09-28 07:50:00-04:00,2020-10-04 23:52:00-04:00,2020-10-22 09:51:46.238000-04:00,2020-10-22 09:58:40.887000-04:00,1,,,,,,Control 2,124.586,41.5236666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,246.21,55.7155,1.0,8333843
PSA59TQ,152524,2021-08-16 11:42:46.548000-04:00,2021-08-20 03:00:00-04:00,2021-08-16 14:25:12.438000-04:00,2021-08-16 14:28:31.299000-04:00,1,,,,,,Control 1,34.08,11.3536666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,142.625,10.00225,1.0,16823039
PSA59TQ,154098,2021-08-16 11:42:46.545000-04:00,2021-08-20 03:00:00-04:00,2021-08-17 13:57:51.751000-04:00,2021-08-17 14:15:23.835000-04:00,2,,,,,,Treatment 2,956.891,143.08,6.0,4.0,1.0,,6.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,70.818,17.699,1.0,16831861
