experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSA59TQ,10408,,,,,assignment_started,2020-11-20 11:58:04.970000-05:00,455623335
PSA59TQ,10408,PRABEKRN,1.0,,Adding Decimals 6.NS.B.3 Ex/Determine Competence [ignore],problem_started,2020-11-20 11:58:06.970000-05:00,455623338
PSA59TQ,10408,PRABEKRN,1.0,,Adding Decimals 6.NS.B.3 Ex/Determine Competence [ignore],correct_response,2020-11-20 11:59:46.407000-05:00,455633536
PSA59TQ,10408,PRABEKRN,1.0,,Adding Decimals 6.NS.B.3 Ex/Determine Competence [ignore],problem_finished,2020-11-20 11:59:46.420000-05:00,455634255
PSA59TQ,10408,,,,Adding Decimals 6.NS.B.3 Ex,continue_selected,2020-11-20 11:59:51.623000-05:00,455634257
PSA59TQ,10408,PRABESY3,1.0,,Adding Decimals 6.NS.B.3 Ex/Experiment/No Encouragement/C A-B-C [control1],problem_started,2020-11-20 11:59:53.433000-05:00,455634261
PSA59TQ,10408,PRABESY3,1.0,,Adding Decimals 6.NS.B.3 Ex/Experiment/No Encouragement/C A-B-C [control1],correct_response,2020-11-20 12:01:33.593000-05:00,455644297
PSA59TQ,10408,PRABESY3,1.0,,Adding Decimals 6.NS.B.3 Ex/Experiment/No Encouragement/C A-B-C [control1],problem_finished,2020-11-20 12:01:33.603000-05:00,455644652
PSA59TQ,10408,,,,Adding Decimals 6.NS.B.3 Ex/Experiment/No Encouragement/C A-B-C [control1],continue_selected,2020-11-20 12:01:36.997000-05:00,455644653
PSA59TQ,10408,PRABESMK,1.0,,Adding Decimals 6.NS.B.3 Ex/Experiment/No Encouragement/C A-B-C [control1],problem_started,2020-11-20 12:01:37.404000-05:00,455644654
PSA59TQ,10408,PRABESMK,1.0,,Adding Decimals 6.NS.B.3 Ex/Experiment/No Encouragement/C A-B-C [control1],correct_response,2020-11-20 12:02:52.737000-05:00,455651916
PSA59TQ,10408,PRABESMK,1.0,,Adding Decimals 6.NS.B.3 Ex/Experiment/No Encouragement/C A-B-C [control1],problem_finished,2020-11-20 12:02:52.743000-05:00,455652250
PSA59TQ,10408,,,,Adding Decimals 6.NS.B.3 Ex/Experiment/No Encouragement/C A-B-C [control1],continue_selected,2020-11-20 12:02:55.451000-05:00,455652251
PSA59TQ,10408,PRABESMM,1.0,,Adding Decimals 6.NS.B.3 Ex/Experiment/No Encouragement/C A-B-C [control1],problem_started,2020-11-20 12:02:55.782000-05:00,455652252
PSA59TQ,10408,PRABESMM,1.0,,Adding Decimals 6.NS.B.3 Ex/Experiment/No Encouragement/C A-B-C [control1],correct_response,2020-11-20 12:05:15.556000-05:00,455666809
