experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSA59VC,124,2021-01-19 15:46:09.203000-05:00,,2021-01-19 15:56:18.008000-05:00,2021-01-19 15:58:36.814000-05:00,1,,,,,,Treatment,65.398,16.34775,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,59.685,6.5255,1.0,12286270
PSA59VC,354,2021-01-19 15:46:09.203000-05:00,,2021-01-19 15:47:33.729000-05:00,2021-01-19 15:50:24.654000-05:00,1,,,,,,Control,53.485,17.8266666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,107.203,26.79925,1.0,12285598
PSA59VC,8417,2021-02-22 00:56:57.571000-05:00,2021-02-25 00:58:00-05:00,2021-02-23 15:50:23.841000-05:00,2021-02-24 03:22:23.875000-05:00,2,,,,,,Control,41350.06,5146.9555,8.0,4.0,2.0,1.0,5.0,15.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,143.885,25.59725,1.0,13823845
PSA59VC,10077,2021-01-20 07:58:07.718000-05:00,,2021-01-20 07:58:40.066000-05:00,2021-01-20 08:00:39.916000-05:00,1,,,,,,Treatment,49.147,12.285,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,66.264,12.57475,1.0,12300599
PSA59VC,10408,2020-11-20 08:26:38.558000-05:00,,2020-12-08 12:43:32.299000-05:00,,1,,,,,,Control,78.47,39.2245,3.0,2.0,,,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,10893300
PSA59VC,16495,2020-11-20 08:26:38.556000-05:00,,2020-11-30 09:51:54.982000-05:00,2020-12-02 09:23:01.627000-05:00,2,,,,,,Control,108.867,36.2806666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,170941.411,42725.63225,2.0,10324087
PSA59VC,36846,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 16:45:33.762000-05:00,2020-11-12 16:49:39.048000-05:00,2,,,,,,Treatment,95.577,23.8855,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,103.276,13.739,2.0,9671557
PSA59VC,36854,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 14:28:14.333000-05:00,2020-11-12 14:39:36.346000-05:00,1,,,,,,Treatment,345.665,52.7323333333333,6.0,5.0,1.0,,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,318.389,37.239,1.0,9656067
PSA59VC,36855,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 12:45:53.549000-05:00,2020-11-12 13:11:17.007000-05:00,1,,,,,,Control,818.003,80.3884444444444,9.0,7.0,2.0,,9.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,638.326,142.84525,1.0,9637009
PSA59VC,36858,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 16:35:45.973000-05:00,2020-11-12 16:47:38.425000-05:00,1,,,,,,Control,437.673,145.887666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,266.61,66.65075,1.0,9670843
PSA59VC,36861,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 14:01:57.094000-05:00,2020-11-12 14:11:30.361000-05:00,1,,,,,,Treatment,384.582,68.8482,5.0,4.0,1.0,,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,171.588,40.10075,1.0,9651239
PSA59VC,36862,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 17:02:25.907000-05:00,2020-11-12 17:24:10.293000-05:00,1,,,,,,Treatment,407.388,101.843,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,884.868,221.21325,1.0,9672573
PSA59VC,36892,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-13 08:16:54.070000-05:00,2020-11-13 08:29:09.668000-05:00,1,,,,,,Treatment,369.68,45.529875,8.0,7.0,1.0,,8.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,340.988,65.3125,1.0,9686728
PSA59VC,36894,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 14:35:01.201000-05:00,2020-11-12 14:51:08.945000-05:00,2,,,,,,Treatment,180.333,45.07475,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,768.502,186.012,1.0,9657101
PSA59VC,36902,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 12:43:40.619000-05:00,2020-11-12 13:10:00.955000-05:00,1,,,,,,Control,70.442,23.473,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1485.887,307.66975,1.0,9636579
PSA59VC,36903,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 15:59:39.490000-05:00,2020-11-12 16:06:24.974000-05:00,1,,,,,,Control,100.483,33.4876666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,294.843,70.64875,1.0,9667913
PSA59VC,36904,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 16:19:00.983000-05:00,2020-11-12 16:28:35.909000-05:00,1,,,,,,Treatment,399.909,63.0452,5.0,4.0,1.0,1.0,5.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,163.941,37.55725,1.0,9669648
PSA59VC,36909,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 14:18:52.762000-05:00,,1,,,,,,Control,107.576,35.853,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,9654323
PSA59VC,36930,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 12:34:32.754000-05:00,2020-11-12 13:13:58.721000-05:00,3,,,,,,Control,338.529,112.833666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,1983.298,843.8445,2.0,9634788
PSA59VC,36931,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 12:36:25.037000-05:00,2020-11-12 13:03:42.873000-05:00,1,,,,,,Treatment,413.818,103.447,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,1203.856,300.958,1.0,9635186
PSA59VC,36932,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 12:35:46.173000-05:00,2020-11-12 12:43:27.173000-05:00,1,,,,,,Control,108.297,36.0933333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,329.322,71.7965,1.0,9635022
PSA59VC,36933,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 13:26:49.471000-05:00,2020-11-12 13:39:29.916000-05:00,1,,,,,,Treatment,253.563,63.389,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,485.096,94.17525,1.0,9644734
PSA59VC,36934,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 14:25:56.278000-05:00,2020-11-12 15:51:13.804000-05:00,1,,,,,,Control,4938.431,1646.13133333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,169.507,27.0465,1.0,9655653
PSA59VC,36935,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 16:21:46.435000-05:00,,1,,,,,,Control,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,9669872
PSA59VC,37389,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 12:59:34.751000-05:00,2020-11-12 13:18:51.500000-05:00,1,,,,,,Treatment,466.296,116.57075,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,673.385,168.344,1.0,9639703
PSA59VC,37390,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-13 16:55:22.945000-05:00,2020-11-13 17:11:25.412000-05:00,1,,,,,,Control,185.49,61.826,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,604.736,93.711,1.0,9747487
PSA59VC,37394,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 15:58:46.254000-05:00,,1,,,,,,Treatment,109.154,27.28475,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,160.804,33.011,1.0,9667840
PSA59VC,37396,2020-11-17 12:30:00-05:00,2020-11-18 12:30:00-05:00,2020-11-17 19:57:24.923000-05:00,,1,,,,,,Treatment,100.123,25.02525,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,124.621,18.2276666666667,1.0,9951465
PSA59VC,37471,2020-11-17 12:30:00-05:00,2020-11-18 12:30:00-05:00,2020-11-17 13:05:58.570000-05:00,2020-11-17 16:41:38.668000-05:00,2,,,,,,Control,71.6,23.8606666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,12857.407,3178.07175,2.0,9909070
PSA59VC,37513,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 14:43:36.370000-05:00,2020-11-12 22:57:37.759000-05:00,2,,,,,,Treatment,29252.456,5846.5542,5.0,4.0,1.0,,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,351.526,87.8755,1.0,9658466
PSA59VC,37514,2020-11-17 12:30:00-05:00,2020-11-18 12:30:00-05:00,2020-11-18 06:54:08.394000-05:00,,2,,,,,,Control,3885.806,955.9615,5.0,1.0,1.0,0.0,2.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,9957410
PSA59VC,37516,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-13 11:25:27.689000-05:00,2020-11-13 11:45:55.118000-05:00,1,,,,,,Treatment,223.358,55.83175,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,988.289,185.54425,1.0,9709774
PSA59VC,37588,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-13 10:49:41.872000-05:00,,2,,,,,,Treatment,145.367,36.33875,4.0,4.0,,,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,80.43,24.911,1.0,9704335
PSA59VC,37589,2020-11-12 12:30:00-05:00,2020-11-13 12:30:00-05:00,2020-11-12 12:42:30.685000-05:00,2020-11-12 12:56:19.121000-05:00,1,,,,,,Control,141.916,47.2956666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,673.935,152.38275,1.0,9636371
