experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSA59VC,124,PRAJN85,1,,Treatment,2021-01-19 15:56:18.401000-05:00,2021-01-19 15:56:35.564000-05:00,1,17.163,17.16,24.79,True,1.0,True,1,1,0,0,0,False,False,False,93308997
PSA59VC,124,PRAJN5F,1,,Treatment,2021-01-19 15:56:36.998000-05:00,2021-01-19 15:56:48.890000-05:00,1,11.892,11.89,31.92,True,1.0,True,1,1,0,0,0,False,False,False,93309175
PSA59VC,124,PRAJN9F,1,,Treatment,2021-01-19 15:56:50.194000-05:00,2021-01-19 15:57:02.842000-05:00,1,12.648,12.647,56.28,True,1.0,True,1,1,0,0,0,False,False,False,93309316
PSA59VC,124,PRAJPBD,1,,Treatment,2021-01-19 15:57:03.951000-05:00,2021-01-19 15:57:27.646000-05:00,1,23.695,23.694,28.8,True,1.0,True,1,1,0,0,0,False,False,False,93309473
PSA59VC,124,PRABESMH,1,,Posttest,2021-01-19 15:57:28.953000-05:00,2021-01-19 15:57:33.673000-05:00,1,4.72,4.718,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,93309727
PSA59VC,124,PRA79,1,,Posttest,2021-01-19 15:57:35.424000-05:00,2021-01-19 15:58:03.425000-05:00,1,28.001,3.575,1.25,False,0.0,True,1,0,0,3,3,False,False,False,93309785
PSA59VC,124,PRA79,1,895.0,Posttest,2021-01-19 15:57:39.122000-05:00,2021-01-19 15:57:50.642000-05:00,1,13.125,11.519,125,True,1.0,True,1,1,0,0,0,False,False,False,93309837
PSA59VC,124,PRA79,1,896.0,Posttest,2021-01-19 15:57:52.281000-05:00,2021-01-19 15:57:59.206000-05:00,1,8.079,6.923,3,True,1.0,True,1,1,0,0,0,False,False,False,93309978
PSA59VC,124,PRA79,1,897.0,Posttest,2021-01-19 15:58:00.390000-05:00,2021-01-19 15:58:03.376000-05:00,1,3.035,2.985,0.125,True,1.0,True,1,1,0,0,0,False,False,False,93310054
PSA59VC,124,PRASRU,1,,Posttest,2021-01-19 15:58:08.510000-05:00,2021-01-19 15:58:18.141000-05:00,1,9.631,9.63,C. 10 square feet,True,1.0,True,1,0,0,2,0,False,False,False,93310144
PSA59VC,124,PRA9PED,1,,Posttest,2021-01-19 15:58:19.445000-05:00,2021-01-19 15:58:36.778000-05:00,1,17.333,8.179,3692.42,False,0.0,False,1,1,0,0,0,False,False,True,93310265
PSA59VC,354,PRAJN9M,1,,Control,2021-01-19 15:47:34.071000-05:00,2021-01-19 15:48:03.745000-05:00,1,29.674,29.671,48.14,True,1.0,True,1,1,0,0,0,False,False,False,93303577
PSA59VC,354,PRAJN6G,1,,Control,2021-01-19 15:48:05.111000-05:00,2021-01-19 15:48:17.189000-05:00,1,12.078,12.077,4.214,True,1.0,True,1,1,0,0,0,False,False,False,93303914
PSA59VC,354,PRAJN9C,1,,Control,2021-01-19 15:48:18.276000-05:00,2021-01-19 15:48:30.009000-05:00,1,11.733,11.732,20.88,True,1.0,True,1,1,0,0,0,False,False,False,93304061
PSA59VC,354,PRABESMH,1,,Posttest,2021-01-19 15:48:32.386000-05:00,2021-01-19 15:48:42.331000-05:00,1,9.945,9.944,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,93304189
PSA59VC,354,PRA79,1,,Posttest,2021-01-19 15:48:44.086000-05:00,2021-01-19 15:48:55.342000-05:00,1,11.256,11.255,0.125,True,1.0,True,1,0,0,3,0,False,False,False,93304305
PSA59VC,354,PRASRU,1,,Posttest,2021-01-19 15:48:56.962000-05:00,2021-01-19 15:49:21.917000-05:00,1,24.955,24.952,C. 10 square feet,True,1.0,True,1,0,0,2,0,False,False,False,93304448
PSA59VC,354,PRA9PED,1,,Posttest,2021-01-19 15:49:23.572000-05:00,2021-01-19 15:50:24.619000-05:00,1,61.047,61.046,3692.42,True,1.0,True,1,1,0,0,0,False,False,False,93304697
