experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSA59VC,124,,,,,assignment_started,2021-01-19 15:56:18.008000-05:00,549210096
PSA59VC,124,PRAJN85,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Determine Adaption/Diagnostic Problems,problem_started,2021-01-19 15:56:18.401000-05:00,549210102
PSA59VC,124,PRAJN85,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Determine Adaption/Diagnostic Problems,correct_response,2021-01-19 15:56:35.561000-05:00,549211115
PSA59VC,124,PRAJN85,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Determine Adaption/Diagnostic Problems,problem_finished,2021-01-19 15:56:35.564000-05:00,549211177
PSA59VC,124,,,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment],continue_selected,2021-01-19 15:56:36.830000-05:00,549211180
PSA59VC,124,PRAJN5F,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Regular Problems,problem_started,2021-01-19 15:56:36.998000-05:00,549211182
PSA59VC,124,PRAJN5F,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Regular Problems,correct_response,2021-01-19 15:56:48.888000-05:00,549211911
PSA59VC,124,PRAJN5F,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Regular Problems,problem_finished,2021-01-19 15:56:48.890000-05:00,549211998
PSA59VC,124,,,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Regular Problems,continue_selected,2021-01-19 15:56:50.162000-05:00,549211999
PSA59VC,124,PRAJN9F,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Regular Problems,problem_started,2021-01-19 15:56:50.194000-05:00,549212000
PSA59VC,124,PRAJN9F,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Regular Problems,correct_response,2021-01-19 15:57:02.841000-05:00,549212843
PSA59VC,124,PRAJN9F,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Regular Problems,problem_finished,2021-01-19 15:57:02.842000-05:00,549212894
PSA59VC,124,,,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Regular Problems,continue_selected,2021-01-19 15:57:03.922000-05:00,549212895
PSA59VC,124,PRAJPBD,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Regular Problems,problem_started,2021-01-19 15:57:03.951000-05:00,549212896
PSA59VC,124,PRAJPBD,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Regular Problems,correct_response,2021-01-19 15:57:27.645000-05:00,549214288
PSA59VC,124,PRAJPBD,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Study/Adaptive [treatment]/Regular Problems,problem_finished,2021-01-19 15:57:27.646000-05:00,549214365
PSA59VC,124,,,,Multiplying Decimals 6.NS.B.3 Ex,continue_selected,2021-01-19 15:57:28.848000-05:00,549214369
PSA59VC,124,PRABESMH,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],problem_started,2021-01-19 15:57:28.953000-05:00,549214371
PSA59VC,124,PRABESMH,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],correct_response,2021-01-19 15:57:33.671000-05:00,549214624
PSA59VC,124,PRABESMH,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],problem_finished,2021-01-19 15:57:33.673000-05:00,549214721
PSA59VC,124,,,,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],continue_selected,2021-01-19 15:57:35.391000-05:00,549214722
PSA59VC,124,PRA79,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],problem_started,2021-01-19 15:57:35.424000-05:00,549214723
PSA59VC,124,PRA79,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],wrong_response,2021-01-19 15:57:38.999000-05:00,549214983
PSA59VC,124,PRA79,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],scaffolding_requested,2021-01-19 15:57:39.002000-05:00,549214994
PSA59VC,124,PRA79,1.0,895.0,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],problem_started,2021-01-19 15:57:39.122000-05:00,549214997
PSA59VC,124,PRA79,1.0,895.0,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],correct_response,2021-01-19 15:57:50.641000-05:00,549215688
PSA59VC,124,PRA79,1.0,895.0,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],problem_finished,2021-01-19 15:57:50.642000-05:00,549215825
PSA59VC,124,PRA79,1.0,,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],continue_selected,2021-01-19 15:57:52.247000-05:00,549215826
PSA59VC,124,PRA79,1.0,896.0,Multiplying Decimals 6.NS.B.3 Ex/Post Test [posttest],problem_started,2021-01-19 15:57:52.281000-05:00,549215827
