experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSA7GUA,3582,PRABEKRY,1,,Unknown,2020-10-07 10:19:59.570000-04:00,2020-10-07 10:20:34.334000-04:00,1,34.764,34.75,Somewhat confident - I think I'd get some right and some wrong,False,0.0,True,1,0,0,0,0,False,False,False,56467175
PSA7GUA,3582,PRABESY4,1,,Control 1,2020-10-07 10:20:38.291000-04:00,,1,1597.917,477.331,11/3/12,False,0.0,True,3,1,0,0,0,False,False,False,56468134
PSA7GUA,3587,PRABEKRY,1,,Unknown,2020-09-22 09:40:11.249000-04:00,2020-09-22 09:42:52.148000-04:00,1,160.899,160.887,A little confident - I think I'd get more wrong than right,False,0.0,True,1,0,0,0,0,False,False,False,47011999
PSA7GUA,3587,PRAJDKH,1,,Treatment 1,2020-09-22 09:42:56.410000-04:00,2020-09-22 10:25:07.084000-04:00,1,2530.674,39.741,11 3/11,False,0.0,True,5,1,0,0,0,False,False,False,47015725
PSA7GUA,3587,PRAJEB2,1,,Treatment 1,2020-09-22 10:25:10.647000-04:00,2020-09-22 10:26:34.760000-04:00,2,84.113,84.103,1 5/6,True,1.0,True,1,1,0,0,0,False,False,False,47076022
PSA7GUA,3587,PRAJDKB,1,,Treatment 1,2020-09-22 10:26:36.628000-04:00,2020-09-22 10:27:30.896000-04:00,1,54.268,54.261,4 67/84,True,1.0,True,1,1,0,0,0,False,False,False,47077065
PSA7GUA,3587,PRABEHBA,1,,Treatment 1,2020-09-22 10:27:33.151000-04:00,2020-09-22 10:27:44.847000-04:00,1,11.696,11.685,Continue,True,1.0,True,1,0,0,0,0,False,False,False,47078602
PSA7GUA,3587,PRAJD9U,1,,Treatment 1,2020-09-22 10:27:47.122000-04:00,2020-09-22 10:28:29.077000-04:00,1,41.955,41.944,4 1/18,True,1.0,True,1,1,0,0,0,False,False,False,47078958
PSA7GUA,3587,PRABESMH,1,,Posttest,2020-09-22 10:28:32.891000-04:00,2020-09-22 10:28:39.277000-04:00,1,6.386,6.374,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,47080119
PSA7GUA,3587,PRA66UU,1,,Posttest,2020-09-22 10:28:41.154000-04:00,2020-09-22 10:29:30.681000-04:00,1,49.527,49.508,1 1/24,True,1.0,True,1,1,0,0,0,False,False,False,47080352
PSA7GUA,3587,PRA66UT,1,,Posttest,2020-09-22 10:29:35.774000-04:00,2020-09-22 10:30:50.730000-04:00,1,74.956,74.95,1 5/12,True,1.0,True,1,1,0,0,0,False,False,False,47081847
PSA7GUA,3592,PRABEKRY,1,,Unknown,2020-09-21 11:02:11.895000-04:00,2020-09-21 11:02:33.376000-04:00,1,21.481,21.473,Very confident - I think I'd get them all right,True,1.0,True,1,0,0,0,0,False,False,False,46194612
PSA7GUA,3592,PRAJD9U,1,,Treatment 2,2020-09-21 11:02:37.406000-04:00,2020-09-21 11:05:29.375000-04:00,1,171.969,58.693,145/36,False,0.0,True,3,1,1,0,0,False,False,True,46195237
PSA7GUA,3592,PRAJDNS,1,,Treatment 2,2020-09-21 11:05:32.067000-04:00,2020-09-21 20:05:51.669000-04:00,1,32419.602,32419.575,9 1/72,True,1.0,True,1,1,0,0,0,False,False,False,46199414
PSA7GUA,3592,PRAJEAQ,1,,Treatment 2,2020-09-21 20:05:53.698000-04:00,2020-09-21 20:06:46.693000-04:00,1,52.995,52.99,1 1/18,True,1.0,True,1,1,0,0,0,False,False,False,47414623
PSA7GUA,3592,PRABEHBA,1,,Treatment 2,2020-09-21 20:06:48.545000-04:00,2020-09-21 20:06:57.098000-04:00,1,8.553,8.55,Continue,True,1.0,True,1,0,0,0,0,False,False,False,47416396
PSA7GUA,3592,PRAJDH4,1,,Treatment 2,2020-09-21 20:06:58.510000-04:00,2020-09-21 20:12:54.377000-04:00,1,355.867,355.862,13 1/2,True,1.0,True,1,1,0,0,0,False,False,False,47416718
PSA7GUA,3592,PRABESMH,1,,Posttest,2020-09-21 20:12:56.366000-04:00,2020-09-21 20:13:01.457000-04:00,1,5.091,5.088,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,47428749
PSA7GUA,3592,PRA66UU,1,,Posttest,2020-09-21 20:13:03.552000-04:00,2020-09-21 20:14:34.710000-04:00,1,91.158,91.154,1 1/24,True,1.0,True,1,1,0,0,0,False,False,False,47428985
PSA7GUA,3592,PRA66UT,1,,Posttest,2020-09-21 20:14:36.190000-04:00,2020-09-21 20:16:38.010000-04:00,1,121.82,85.406,1/12,False,0.0,True,2,1,0,0,0,False,False,True,47432044
PSA7GUA,3597,PRABEKRY,1,,Unknown,2020-09-22 18:00:39.511000-04:00,2020-09-22 18:03:20.873000-04:00,1,161.362,161.348,Pretty confident - I think I'd get more right than wrong,False,0.0,True,1,0,0,0,0,False,False,False,47737547
PSA7GUA,3597,PRAJD9U,1,,Treatment 2,2020-09-22 18:03:27.736000-04:00,2020-09-22 18:10:07.695000-04:00,1,399.959,399.952,4 1/18,True,1.0,True,1,1,0,0,0,False,False,False,47739143
PSA7GUA,3597,PRAJDNS,1,,Treatment 2,2020-09-22 18:10:12.784000-04:00,2020-09-22 18:18:20.639000-04:00,1,487.855,351.902,9 2/9,False,0.666666666666667,True,2,1,0,0,0,False,False,False,47743070
PSA7GUA,3597,PRAJEAQ,1,,Treatment 2,2020-09-22 18:18:25.508000-04:00,2020-09-22 18:24:38.296000-04:00,1,372.788,372.78,1 1/18,True,1.0,True,1,1,0,0,0,False,False,False,47747995
PSA7GUA,3597,PRABEHBA,1,,Treatment 2,2020-09-22 18:24:41.953000-04:00,2020-09-22 18:25:53.855000-04:00,1,71.902,71.895,Continue,True,1.0,True,1,0,0,0,0,False,False,False,47751492
PSA7GUA,3597,PRAJDH4,1,,Treatment 2,2020-09-22 18:26:01.528000-04:00,2020-09-22 18:30:14.355000-04:00,1,252.827,119.209,12 1/2,False,0.0,True,4,1,0,0,0,False,False,False,47752177
PSA7GUA,3597,PRAJEES,1,,Treatment 2,2020-09-22 18:30:22.138000-04:00,2020-09-22 18:32:08.270000-04:00,1,106.132,106.127,7 1/6,True,1.0,True,1,1,0,0,0,False,False,False,47754512
PSA7GUA,3597,PRAJDMG,1,,Treatment 2,2020-09-22 18:32:11.834000-04:00,2020-09-22 18:34:46.535000-04:00,1,154.701,154.695,4 17/30,True,1.0,True,1,1,0,0,0,False,False,False,47755496
PSA7GUA,3597,PRABEHBB,1,,Treatment 2,2020-09-22 18:34:50.727000-04:00,2020-09-22 18:35:08.223000-04:00,1,17.496,17.488,Continue,True,1.0,True,1,0,0,0,0,False,False,False,47756880
PSA7GUA,3597,PRAJDKH,1,,Treatment 2,2020-09-22 18:35:10.079000-04:00,2020-09-22 18:36:56.066000-04:00,1,105.987,105.981,11 17/30,True,1.0,True,1,1,0,0,0,False,False,False,47757051
PSA7GUA,3597,PRABESMH,1,,Posttest,2020-09-22 18:37:01.048000-04:00,2020-09-22 18:37:07.923000-04:00,1,6.875,6.869,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,47758005
PSA7GUA,3597,PRA66UU,1,,Posttest,2020-09-22 18:37:13.388000-04:00,,1,143.877,133.718,3 1/8,False,0.333333333333333,True,2,1,0,0,0,False,False,False,47758106
PSA7GUA,3602,PRABEKRY,1,,Unknown,2020-09-21 23:57:43.421000-04:00,2020-09-21 23:58:21.311000-04:00,1,37.89,37.873,A little confident - I think I'd get more wrong than right,False,0.0,True,1,0,0,0,0,False,False,False,46913415
PSA7GUA,3602,PRAJDKH,1,,Treatment 1,2020-09-21 23:58:23.882000-04:00,2020-09-22 00:10:57.140000-04:00,1,753.258,594.148,1 1/10,False,0.0,True,3,1,1,0,0,False,False,False,46913527
PSA7GUA,3602,PRAJEB2,1,,Treatment 1,2020-09-22 00:10:58.712000-04:00,2020-09-22 00:17:21.405000-04:00,1,382.693,366.246,2 1/6,False,0.666666666666667,True,2,1,0,0,0,False,False,False,46915092
PSA7GUA,3602,PRAJDKB,1,,Treatment 1,2020-09-22 00:17:24.006000-04:00,2020-09-22 00:19:35.688000-04:00,1,131.682,131.676,4 67/84,True,1.0,True,1,1,0,0,0,False,False,False,46915884
PSA7GUA,3602,PRABEHBA,1,,Treatment 1,2020-09-22 00:19:37.965000-04:00,2020-09-22 00:19:42.923000-04:00,1,4.958,4.952,Continue,True,1.0,True,1,0,0,0,0,False,False,False,46916128
PSA7GUA,3602,PRAJD9U,1,,Treatment 1,2020-09-22 00:19:44.266000-04:00,2020-09-22 00:23:24.210000-04:00,1,219.944,97.578,2 1/18,False,0.0,True,5,1,0,0,0,False,False,False,46916140
PSA7GUA,3602,PRAJDNS,1,,Treatment 1,2020-09-22 00:23:27.140000-04:00,2020-09-22 00:25:33.471000-04:00,1,126.331,126.326,9 1/72,True,1.0,True,1,1,0,0,0,False,False,False,46916540
PSA7GUA,3602,PRAJEAQ,1,,Treatment 1,2020-09-22 00:25:35.023000-04:00,2020-09-22 00:26:22.703000-04:00,1,47.68,47.67,1 1/18,True,1.0,True,1,1,0,0,0,False,False,False,46916795
PSA7GUA,3602,PRABEHBB,1,,Treatment 1,2020-09-22 00:26:23.981000-04:00,2020-09-22 00:26:28.562000-04:00,1,4.581,4.576,Continue,True,1.0,True,1,0,0,0,0,False,False,False,46916879
PSA7GUA,3602,PRAJDH4,1,,Treatment 1,2020-09-22 00:26:30.168000-04:00,2020-09-22 00:33:40.828000-04:00,1,430.66,95.419,4 1/2,False,0.0,True,7,1,0,0,0,False,False,False,46916890
PSA7GUA,3602,PRAJEES,1,,Treatment 1,2020-09-22 00:33:42.868000-04:00,2020-09-22 00:34:36.247000-04:00,1,53.379,53.374,7 1/6,True,1.0,True,1,1,0,0,0,False,False,False,46917690
PSA7GUA,3602,PRAJDMG,1,,Treatment 1,2020-09-22 00:34:37.870000-04:00,2020-09-22 00:35:59.638000-04:00,1,81.768,81.764,4 17/30,True,1.0,True,1,1,0,0,0,False,False,False,46917801
PSA7GUA,3602,PRABEHBC,1,,Treatment 1,2020-09-22 00:36:01.697000-04:00,2020-09-22 00:36:05.716000-04:00,1,4.019,4.013,Continue,True,1.0,True,1,0,0,0,0,False,False,False,46917924
PSA7GUA,3602,PRAJD9H,1,,Treatment 1,2020-09-22 00:36:10.797000-04:00,2020-09-22 00:37:05.082000-04:00,1,54.285,54.28,4 1/6,True,1.0,True,1,1,0,0,0,False,False,False,46917936
PSA7GUA,3602,PRABESMH,1,,Posttest,2020-09-22 00:37:07.161000-04:00,2020-09-22 00:37:10.738000-04:00,1,3.577,3.572,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,46918023
PSA7GUA,3602,PRA66UU,1,,Posttest,2020-09-22 00:37:12.217000-04:00,2020-09-22 00:38:38.372000-04:00,1,86.155,86.15,1 1/24,True,1.0,True,1,1,0,0,0,False,False,False,46918032
PSA7GUA,3602,PRA66UT,1,,Posttest,2020-09-22 00:38:40.625000-04:00,2020-09-22 00:46:05.966000-04:00,1,445.341,72.092,1/12,False,0.0,True,3,1,0,0,0,False,False,True,46918193
PSA7GUA,3611,PRABEKRY,1,,Unknown,2020-09-21 22:27:13.523000-04:00,2020-09-21 22:27:31.071000-04:00,1,17.548,17.537,Pretty confident - I think I'd get more right than wrong,False,0.0,True,1,0,0,0,0,False,False,False,46893733
PSA7GUA,3611,PRABESY4,1,,Control 1,2020-09-21 22:27:33.475000-04:00,2020-09-21 22:40:52.800000-04:00,1,799.325,799.275,11 17/30,True,1.0,True,1,1,0,0,0,False,False,False,46893803
PSA7GUA,3611,PRABESY5,1,,Control 1,2020-09-21 22:40:54.184000-04:00,2020-09-21 22:41:38.342000-04:00,1,44.158,44.152,1 5/6,True,1.0,True,1,1,0,0,0,False,False,False,46897601
PSA7GUA,3611,PRABESY6,1,,Control 1,2020-09-21 22:41:39.246000-04:00,2020-09-21 22:42:30.445000-04:00,1,51.199,51.192,4 67/84,True,1.0,True,1,1,0,0,0,False,False,False,46897805
PSA7GUA,3611,PRABESMH,1,,Posttest,2020-09-21 22:42:31.824000-04:00,2020-09-21 22:42:41.329000-04:00,1,9.505,9.5,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,46898024
PSA7GUA,3611,PRA66UU,1,,Posttest,2020-09-21 22:42:42.993000-04:00,2020-09-21 22:44:02.416000-04:00,1,79.423,79.418,1 1/24,True,1.0,True,1,1,0,0,0,False,False,False,46898073
PSA7GUA,3611,PRA66UT,1,,Posttest,2020-09-21 22:44:03.501000-04:00,2020-09-21 22:46:07.954000-04:00,1,124.453,109.097,1/12,False,0.666666666666667,True,2,1,0,0,0,False,False,False,46898419
PSA7GUA,3635,PRABEKRY,1,,Unknown,2020-09-24 11:04:50.450000-04:00,2020-09-24 11:05:38.843000-04:00,1,48.393,48.38,Not confident - I think I'd get them all wrong,False,0.0,True,1,0,0,0,0,False,False,False,49021600
PSA7GUA,3635,PRAJD9U,1,,Treatment 2,2020-09-24 11:05:44.456000-04:00,2020-09-24 11:12:44.018000-04:00,1,419.562,351.599,3/36 28/12,False,0.0,True,4,1,1,0,0,False,False,True,49022985
