experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSABANRN,12880,PRABJM48,1,,Treatment 2,2020-05-12 20:31:44.092000-04:00,2020-05-12 20:43:51.216000-04:00,2,727.124,13.242,37,False,0.0,False,1,1,1,0,0,False,False,True,25448721
PSABANRN,12880,PRABJPCE,1,,Treatment 2,2020-05-12 20:43:53.574000-04:00,2020-05-12 20:53:23.753000-04:00,1,570.179,337.44,11,False,0.0,True,4,1,1,0,0,False,False,True,25451649
PSABANRN,12880,PRABJPCF,1,,Treatment 2,2020-05-12 20:53:24.718000-04:00,2020-05-12 20:53:58.812000-04:00,1,34.094,34.087,9,True,1.0,True,1,1,0,0,0,False,False,False,25453731
PSABANRN,12880,PRABJPDG,1,,Treatment 2,2020-05-12 20:53:59.703000-04:00,2020-05-12 20:56:04.220000-04:00,1,124.517,124.503,116,True,1.0,True,1,1,0,0,0,False,False,False,25453881
PSABANRN,12880,PRABJPB2,1,,Treatment 2,2020-05-12 20:56:06.045000-04:00,2020-05-12 21:00:03.717000-04:00,2,237.672,237.654,37,True,1.0,True,1,1,0,0,0,False,False,False,25454365
PSABANRN,12889,PRABJPCF,1,,Treatment 3,2020-05-15 01:01:31.125000-04:00,2020-05-15 01:25:39.233000-04:00,2,1448.108,1448.042,9,True,1.0,True,1,1,0,0,0,False,False,False,26416343
PSABANRN,12889,PRABJPDG,1,,Treatment 3,2020-05-15 01:25:41.294000-04:00,2020-05-15 01:27:13.688000-04:00,1,92.394,92.378,116,True,1.0,True,1,1,0,0,0,False,False,False,26418247
PSABANRN,12889,PRABJM48,1,,Treatment 3,2020-05-15 01:27:15.131000-04:00,2020-05-15 01:39:53.073000-04:00,1,757.942,757.857,37,True,1.0,True,1,1,0,0,0,False,False,False,26418343
PSABANRN,12890,PRABJPDG,1,,Treatment 4,2020-05-12 17:21:44.667000-04:00,2020-05-12 17:22:55.644000-04:00,2,70.977,40.626,29,False,0.0,True,3,1,1,0,0,False,False,True,25392502
PSABANRN,12890,PRABJM48,1,,Treatment 4,2020-05-12 17:22:56.353000-04:00,2020-05-12 17:24:14.494000-04:00,1,78.141,56.741,47.5,False,0.0,True,2,1,1,0,0,False,False,True,25393022
PSABANRN,12890,PRABJPCE,1,,Treatment 4,2020-05-12 17:24:15.205000-04:00,2020-05-12 17:25:40.825000-04:00,1,85.62,69.058,70,False,0.0,True,3,1,1,0,0,False,False,True,25393586
PSABANRN,12890,PRABJPCF,1,,Treatment 4,2020-05-12 17:25:41.543000-04:00,2020-05-12 17:25:59.667000-04:00,1,18.124,18.122,9,True,1.0,True,1,1,0,0,0,False,False,False,25394165
PSABANRN,12890,PRABJPEV,1,,Treatment 4,2020-05-12 17:26:00.385000-04:00,2020-05-12 17:26:35.361000-04:00,1,34.976,34.973,115,True,1.0,True,1,1,0,0,0,False,False,False,25394288
PSABANRN,12890,PRABJPB2,1,,Treatment 4,2020-05-12 17:26:37.006000-04:00,2020-05-12 17:28:12.309000-04:00,1,95.303,95.292,37,True,1.0,True,1,1,0,0,0,False,False,False,25394519
PSABANRN,12891,PRABJPCF,1,,Treatment 3,2020-05-12 12:37:56.357000-04:00,2020-05-12 12:38:36.352000-04:00,1,39.995,39.988,9,True,1.0,True,1,1,0,0,0,False,False,False,25185720
PSABANRN,12891,PRABJM48,1,,Treatment 3,2020-05-12 12:38:37.414000-04:00,2020-05-12 12:58:23.518000-04:00,1,1186.104,1186.092,37,True,1.0,True,1,1,0,0,0,False,False,False,25186429
PSABANRN,12891,PRABJPDG,1,,Treatment 3,2020-05-12 12:58:25.237000-04:00,2020-05-12 12:59:33.352000-04:00,1,68.115,51.626,84,False,0.666666666666667,True,2,1,0,0,0,False,False,False,25289420
PSABANRN,12891,PRABJPCE,1,,Treatment 3,2020-05-12 12:59:35.636000-04:00,2020-05-12 12:59:47.438000-04:00,1,11.802,3.535,11.2,False,0.0,False,1,1,1,0,0,False,False,True,25290488
PSABANRN,12891,PRABJPDY,1,,Treatment 3,2020-05-12 12:59:48.546000-04:00,2020-05-12 13:02:14.147000-04:00,1,145.601,95.318,20,False,0.0,True,3,1,1,0,0,False,False,True,25290668
