experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSABANRN,15260,22,14,25,16,141,24.294,35.657,0.552,1.475177304964539,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
PSABANRN,15252,21,18,81,76,353,53.897,75.806,0.42028985507246375,1.7507082152974505,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
PSABANRN,14538,27,27,80,70,365,34.633,43.339,0.5945017182130584,1.4684931506849315,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
PSABANRN,15250,23,20,79,54,273,51.696,66.822,0.6036036036036037,1.534798534798535,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
PSABANRN,15259,25,17,56,32,209,58.164,91.043,0.5664739884393064,1.5358851674641147,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
PSABANRN,15256,27,22,82,75,386,42.3925,56.838,0.4983922829581994,1.588082901554404,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
PSABANRN,15253,27,24,71,44,293,35.278,45.415,0.5870445344129555,1.651877133105802,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
PSABANRN,14789,27,27,74,54,346,28.665,36.071,0.6458333333333334,1.3526011560693643,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
PSABANRN,15232,27,27,85,80,367,55.397,64.281,0.6690391459074733,1.3678474114441417,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
PSABANRN,15233,25,22,83,69,315,33.751,38.703,0.504,1.526984126984127,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
PSABANRN,15234,27,27,85,80,375,58.332,88.735,0.6185567010309279,1.6506666666666667,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
PSABANRN,15235,27,27,51,43,256,32.413,36.2615,0.6859903381642513,1.390625,1443,2019-08-12 09:18:52.818000-04:00,34,28,88,75.6302521008403,86.6666666666667,75.2673796791444,84.7246891651865,8985,61.11,47.415,0.5792935792935793,1.5535893155258764,10455,2019-07-23 12:00:47.431000-04:00,358.0,Arizona,Yes,None
