experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSABARYW,10408,2021-03-24 08:45:43.439000-04:00,,2021-03-24 13:42:12.318000-04:00,,1,,,,,,Treatment,1080.172,354.293,3,1.0,0.0,0.0,3.0,4,3.0,1,0.0,0.0,0,0,1,1,,,,,,14997277
PSABARYW,81428,2020-05-05 13:00:00-04:00,,2020-05-05 13:18:30.620000-04:00,,1,,,,,,Treatment,,,1,,,,,0,1.0,0,0.0,0.0,0,0,0,1,,,,,,2865371
PSABARYW,91347,2020-05-13 09:30:00-04:00,2020-05-15 08:57:00-04:00,2020-05-14 16:45:25.164000-04:00,,1,,,,,,Treatment,51.129,31.133,2,0.0,,,0.0,1,2.0,0,0.0,0.0,0,0,1,1,,,,,,3302021
PSABARYW,131595,2020-05-12 04:55:00-04:00,2020-05-13 17:59:00-04:00,2020-05-12 05:56:29.339000-04:00,2020-05-12 09:04:38.255000-04:00,2,,,,,,Control,10936.636,1342.00325,8,6.0,2.0,1.0,8.0,14,8.0,1,0.0,0.0,0,0,1,2,4.0,3.0,311.255,75.86225,1.0,3135696
PSABARYW,131619,2020-05-12 04:55:00-04:00,2020-05-13 17:59:00-04:00,2020-05-12 11:08:23.354000-04:00,2020-05-12 11:59:16.195000-04:00,1,,,,,,Control,1674.513,558.166,3,3.0,,,3.0,3,3.0,0,0.0,0.0,0,0,0,1,4.0,4.0,681.565,170.38775,1.0,3153654
PSABARYW,131653,2020-05-12 04:55:00-04:00,2020-05-13 17:59:00-04:00,2020-05-13 02:40:24.793000-04:00,2020-05-13 02:58:18.092000-04:00,1,,,,,,Control,280.791,93.5923333333333,3,3.0,,,3.0,3,3.0,0,0.0,0.0,0,0,0,1,4.0,1.0,782.697,187.4105,1.0,3199380
PSABARYW,131670,2020-05-12 04:55:00-04:00,2020-05-13 17:59:00-04:00,2020-05-13 11:33:07.421000-04:00,,3,,,,,,Treatment,73429.102,127.220538461538,13,6.0,3.0,2.0,10.0,28,13.0,3,0.0,0.0,0,0,4,3,2.0,1.0,4.808,4.803,1.0,3218190
PSABARYW,131673,2020-05-12 04:55:00-04:00,2020-05-13 17:59:00-04:00,2020-05-13 08:08:09.559000-04:00,2020-05-14 02:37:58.619000-04:00,2,,,,,,Control,66406.638,5514.41133333333,12,6.0,3.0,1.0,12.0,25,12.0,3,0.0,0.0,0,0,3,2,4.0,1.0,158.754,35.30825,1.0,3200666
PSABARYW,131701,2020-05-12 04:55:00-04:00,2020-05-13 17:59:00-04:00,2020-05-12 06:08:52.897000-04:00,,3,,,,,,Treatment,699.111,115.4226,5,4.0,1.0,,5.0,6,5.0,0,0.0,0.0,0,0,0,1,3.0,2.0,688.893,344.4435,1.0,3135738
PSABARYW,131710,2020-05-12 04:55:00-04:00,2020-05-13 17:59:00-04:00,2020-05-12 07:45:03.643000-04:00,2020-05-12 08:03:43.703000-04:00,3,,,,,,Treatment,678.483,43.3830909090909,11,7.0,3.0,,11.0,19,11.0,0,0.0,0.0,0,0,1,3,4.0,1.0,370.701,89.294,1.0,3136214
PSABARYW,131832,2020-05-12 04:55:00-04:00,2020-05-13 17:59:00-04:00,2020-05-12 05:58:27.741000-04:00,2020-05-12 06:41:34.922000-04:00,2,,,,,,Control,828.994,101.290857142857,7,5.0,2.0,,7.0,10,7.0,0,0.0,0.0,0,0,0,1,4.0,3.0,1734.545,198.348,2.0,3135705
