experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSABCXRT,57438,PRABMJDJ,1,,Treatment,2020-07-30 13:51:57.988000+00:00,2020-07-30 13:54:45.359000+00:00,1,167.371,29.517,0,False,0.0,True,5,1,1,0,0,False,False,True,31994250
PSABCXRT,57438,PRABMJDD,1,,Treatment,2020-07-30 13:54:46.253000+00:00,,1,,,,,,,0,1,0,0,0,False,False,False,31994309
PSABCXRT,57572,PRACKHD,1,,Control,2020-08-01 17:48:45.155000+00:00,,1,,,,,,,0,1,0,0,0,False,False,False,32024796
PSABCXRT,58005,PRABMJC8,1,,Treatment,2020-07-30 22:13:25.587000+00:00,,1,,,,,,,0,1,0,0,0,False,False,False,32006306
PSABCXRT,59092,PRABMJDC,1,,Treatment,2020-07-30 13:12:41.365000+00:00,2020-07-30 13:14:27.344000+00:00,1,105.979,78.023,201.06,False,0.0,True,2,1,1,0,0,False,False,True,31993721
PSABCXRT,59092,PRABMJDM,1,,Treatment,2020-07-30 13:14:29.404000+00:00,,1,6.079,6.079,0,False,0.666666666666667,True,1,1,0,0,0,False,False,False,31993737
PSABCXRT,59329,PRABMJDC,1,,Treatment,2020-08-10 13:09:38.384000+00:00,,1,,,,,,,0,1,0,0,0,False,False,False,32123508
PSABCXRT,114827,PRABMJDC,1,,Treatment,2020-08-27 14:07:01.872000+00:00,2020-08-27 14:07:25.278000+00:00,1,23.406,5.363,200.96,False,0.0,False,1,1,1,0,0,False,False,True,34723761
PSABCXRT,114827,PRABMJDD,1,,Treatment,2020-08-27 14:07:27.656000+00:00,2020-08-27 14:07:42.277000+00:00,1,14.621,1.575,75.36,False,0.0,False,1,1,1,0,0,False,False,True,34723990
PSABCXRT,114827,PRABMJDM,1,,Treatment,2020-08-27 14:07:43.778000+00:00,2020-08-27 14:08:07.329000+00:00,1,23.551,14.52,207.24,False,0.0,False,1,1,1,0,0,False,False,True,34724141
PSABCXRT,114827,PRABMJDF,1,,Treatment,2020-08-27 14:08:09.183000+00:00,,1,,,,,,,0,1,0,0,0,False,False,False,34724386
PSABCXRT,153961,PRABMJDH,1,,Treatment,2020-05-25 01:40:36.303000+00:00,2020-05-25 01:50:04.942000+00:00,1,568.639,568.636,87.92,True,1.0,True,1,1,0,0,0,False,False,False,28611779
PSABCXRT,153961,PRABMJDS,1,,Treatment,2020-05-25 01:50:05.572000+00:00,2020-05-25 01:51:52.670000+00:00,1,107.098,107.096,37.68,True,1.0,True,1,1,0,0,0,False,False,False,28612056
PSABCXRT,153961,PRABMJC9,1,,Treatment,2020-05-25 01:51:54.455000+00:00,2020-05-25 01:58:07.976000+00:00,1,373.521,373.519,138.16,True,1.0,True,1,1,0,0,0,False,False,False,28612095
PSABCXRT,153961,PRABMK79,1,,Nonexperimental,2020-05-25 01:58:08.817000+00:00,2020-05-25 01:58:14.180000+00:00,1,5.363,5.361,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,28612210
PSABCXRT,153961,PRABMK7S,1,,Posttest,2020-05-25 01:58:15.674000+00:00,2020-05-25 01:58:19.053000+00:00,1,3.379,3.377,Ok!,True,1.0,True,1,0,0,0,0,False,False,False,28612212
PSABCXRT,153961,PRABMK7T,1,,Posttest,2020-05-25 01:58:20.541000+00:00,2020-05-25 01:58:30.728000+00:00,1,10.187,10.185,"Top , Bottom , Side",True,1.0,True,1,0,0,0,0,False,False,False,28612213
PSABCXRT,153961,PRABMK7U,1,,Posttest,2020-05-25 01:58:31.938000+00:00,2020-05-25 02:00:21.844000+00:00,1,109.906,109.905,25.12,True,1.0,True,1,0,0,0,0,False,False,False,28612216
PSABCXRT,153961,PRABMK7V,1,,Posttest,2020-05-25 02:00:30.702000+00:00,2020-05-25 02:03:08.186000+00:00,1,157.484,157.483,56.52,False,0.0,True,1,0,0,0,0,False,False,False,28612259
PSABCXRT,153961,PRABMK7W,1,,Posttest,2020-05-25 02:03:08.674000+00:00,2020-05-25 02:05:38.792000+00:00,1,150.118,150.116,113.04,True,1.0,True,1,0,0,0,0,False,False,False,28612308
PSABCXRT,153961,PRABMK7X,1,,Posttest,2020-05-25 02:05:40.480000+00:00,2020-05-25 02:10:39.874000+00:00,1,299.394,299.393,628,True,1.0,True,1,0,0,0,0,False,False,False,28612373
PSABCXRT,153961,PRABMK7Y,1,,Posttest,2020-05-25 02:10:40.409000+00:00,2020-05-25 02:13:27.978000+00:00,1,167.569,167.567,527.52,False,0.0,True,1,0,0,0,0,False,False,False,28612510
PSABCXRT,153984,PRACKH3,1,,Control,2020-05-19 15:28:06.745000+00:00,2020-05-19 15:32:34.903000+00:00,1,268.158,245.426,409,False,0.0,True,2,1,1,0,0,False,False,True,27335440
PSABCXRT,153984,PRACKH6,1,,Control,2020-05-19 15:32:36.339000+00:00,2020-05-19 15:37:46.593000+00:00,2,310.254,290.709,87.96,False,0.0,True,4,1,1,0,0,False,False,True,27338923
PSABCXRT,153984,PRACKGG,1,,Control,2020-05-19 15:37:55.649000+00:00,2020-05-19 15:38:40.239000+00:00,2,44.59,25.735,150.8,False,0.0,True,2,1,0,0,0,False,False,True,27343148
PSABCXRT,153984,PRACKGW,1,,Control,2020-05-19 15:38:40.980000+00:00,2020-05-19 15:39:06.783000+00:00,1,25.803,25.801,62.8,True,1.0,True,1,1,0,0,0,False,False,False,27343755
PSABCXRT,153984,PRACKJP,1,,Control,2020-05-19 15:39:07.261000+00:00,2020-05-19 15:42:15.406000+00:00,1,188.145,89.907,0,False,0.0,True,3,1,1,0,0,False,False,True,27344136
PSABCXRT,153984,PRACKJW,1,,Control,2020-05-19 15:42:15.836000+00:00,2020-05-19 15:44:10.941000+00:00,1,115.105,104.85,345.85,False,0.0,True,2,1,1,0,0,False,False,True,27346586
PSABCXRT,153984,PRACKJZ,1,,Control,2020-05-19 15:44:11.885000+00:00,2020-05-19 15:45:39.598000+00:00,1,87.713,80.88,169.58,False,0.0,True,2,1,1,0,0,False,False,True,27348059
PSABCXRT,153984,PRACKGF,1,,Control,2020-05-19 15:45:40.080000+00:00,2020-05-19 15:47:01.021000+00:00,1,80.941,72.3,125.26,False,0.0,True,2,1,0,0,0,False,False,True,27349219
