experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSABCXRT,158185,0,0,38,38,497,17.435,18.296,0.8685567010309279,1.1569416498993963,13260,2020-03-26 15:06:54.859000-04:00,13,0,40,0.0,0.0,80.7692307692308,99.0476190476191,5716,29.641,27.169,0.8478408320144698,1.166550034989503,153168,2020-03-26 14:06:03.341000-04:00,907.0,Massachusetts,No,None
PSABCXRT,158695,0,0,37,37,488,32.4415,35.3155,0.8868421052631579,1.1311475409836067,13260,2020-03-26 15:06:54.859000-04:00,13,0,40,0.0,0.0,80.7692307692308,99.0476190476191,5716,29.641,27.169,0.8478408320144698,1.166550034989503,153168,2020-03-26 14:06:03.341000-04:00,907.0,Massachusetts,No,None
PSABCXRT,159637,0,0,38,38,497,11.366,11.816,0.9201030927835051,1.1327967806841046,13260,2020-03-26 15:06:54.859000-04:00,13,0,40,0.0,0.0,80.7692307692308,99.0476190476191,5716,29.641,27.169,0.8478408320144698,1.166550034989503,153168,2020-03-26 14:06:03.341000-04:00,907.0,Massachusetts,No,None
PSABCXRT,159669,0,0,34,34,463,51.766,57.243,0.8607242339832869,1.1749460043196545,13260,2020-03-26 15:06:54.859000-04:00,13,0,40,0.0,0.0,80.7692307692308,99.0476190476191,5716,29.641,27.169,0.8478408320144698,1.166550034989503,153168,2020-03-26 14:06:03.341000-04:00,907.0,Massachusetts,No,None
PSABCXRT,165245,0,0,35,34,466,32.8815,36.485,0.8559556786703602,1.1416309012875536,13260,2020-03-26 15:06:54.859000-04:00,13,0,40,0.0,0.0,80.7692307692308,99.0476190476191,5716,29.641,27.169,0.8478408320144698,1.166550034989503,153168,2020-03-26 14:06:03.341000-04:00,907.0,Massachusetts,No,None
PSABCXRT,153961,0,0,34,34,463,33.105,34.423,0.8551532033426184,1.1663066954643628,13260,2020-03-26 15:06:54.859000-04:00,13,0,40,0.0,0.0,80.7692307692308,99.0476190476191,5716,29.641,27.169,0.8478408320144698,1.166550034989503,153168,2020-03-26 14:06:03.341000-04:00,907.0,Massachusetts,No,None
PSABCXRT,153984,0,0,29,27,366,36.283,42.808,0.7431506849315068,1.273224043715847,13260,2020-03-26 15:06:54.859000-04:00,13,0,40,0.0,0.0,80.7692307692308,99.0476190476191,5716,29.641,27.169,0.8478408320144698,1.166550034989503,153168,2020-03-26 14:06:03.341000-04:00,907.0,Massachusetts,No,None
PSABCXRT,154170,0,0,38,38,480,65.2615,72.8685,0.7774798927613941,1.2666666666666666,13260,2020-03-26 15:06:54.859000-04:00,13,0,40,0.0,0.0,80.7692307692308,99.0476190476191,5716,29.641,27.169,0.8478408320144698,1.166550034989503,153168,2020-03-26 14:06:03.341000-04:00,907.0,Massachusetts,No,None
PSABCXRT,155104,0,0,38,38,497,25.826,27.819,0.9097938144329897,1.1167002012072436,13260,2020-03-26 15:06:54.859000-04:00,13,0,40,0.0,0.0,80.7692307692308,99.0476190476191,5716,29.641,27.169,0.8478408320144698,1.166550034989503,153168,2020-03-26 14:06:03.341000-04:00,907.0,Massachusetts,No,None
PSABCXRT,156072,0,0,37,37,485,30.979,34.428,0.8148148148148148,1.202061855670103,13260,2020-03-26 15:06:54.859000-04:00,13,0,40,0.0,0.0,80.7692307692308,99.0476190476191,5716,29.641,27.169,0.8478408320144698,1.166550034989503,153168,2020-03-26 14:06:03.341000-04:00,907.0,Massachusetts,No,None
PSABCXRT,57438,10,7,25,15,222,57.6805,87.2235,0.5285714285714286,1.8153153153153152,29515,2020-07-12 23:10:04.448000-04:00,12,6,9,73.6111111111111,54.7169811320755,55.5555555555556,58.3333333333333,1168,62.144,50.06,0.496943231441048,1.7148972602739725,4350,2019-03-14 12:13:57.356000-04:00,1320.0,North Carolina,Yes,None
PSABCXRT,58005,6,4,29,25,622,12.8765,23.342,0.5949820788530465,1.5739549839228295,29515,2020-07-12 23:10:04.448000-04:00,12,6,9,73.6111111111111,54.7169811320755,55.5555555555556,58.3333333333333,1168,62.144,50.06,0.496943231441048,1.7148972602739725,4350,2019-03-14 12:13:57.356000-04:00,1320.0,North Carolina,Yes,None
PSABCXRT,59092,34,31,39,20,647,46.629,67.905,0.5571895424836601,1.5965996908809892,29515,2020-07-12 23:10:04.448000-04:00,12,6,9,73.6111111111111,54.7169811320755,55.5555555555556,58.3333333333333,1168,62.144,50.06,0.496943231441048,1.7148972602739725,4350,2019-03-14 12:13:57.356000-04:00,1320.0,North Carolina,Yes,None
PSABCXRT,59329,14,10,21,14,332,77.479,99.6685,0.5692307692307692,1.858433734939759,29515,2020-07-12 23:10:04.448000-04:00,12,6,9,73.6111111111111,54.7169811320755,55.5555555555556,58.3333333333333,1168,62.144,50.06,0.496943231441048,1.7148972602739725,4350,2019-03-14 12:13:57.356000-04:00,1320.0,North Carolina,Yes,None
PSABCXRT,114827,0,0,0,0,0,,,,,29515,2020-07-12 23:10:04.448000-04:00,12,6,9,73.6111111111111,54.7169811320755,55.5555555555556,58.3333333333333,1168,62.144,50.06,0.496943231441048,1.7148972602739725,4350,2019-03-14 12:13:57.356000-04:00,1320.0,North Carolina,Yes,None
PSABCXRT,57572,8,2,12,8,106,35.1095,54.5345,0.36633663366336633,2.169811320754717,29515,2020-07-12 23:10:04.448000-04:00,12,6,9,73.6111111111111,54.7169811320755,55.5555555555556,58.3333333333333,1168,62.144,50.06,0.496943231441048,1.7148972602739725,4350,2019-03-14 12:13:57.356000-04:00,1320.0,North Carolina,Yes,None
PSABCXRT,660274,8,3,9,8,113,27.441,33.139,0.27,1.5486725663716814,57603,2020-09-10 17:57:18.759000-04:00,21,8,9,79.7619047619048,64.9253731343284,78.3068783068783,70.9459459459459,1514,72.3675,60.1185,0.5986696230598669,1.4808454425363275,602161,2020-09-07 21:28:57.470000-04:00,655.0,Illinois,No,None
PSABCXRT,740963,5,0,5,1,23,71.998,102.599,0.42105263157894735,1.434782608695652,57603,2020-09-10 17:57:18.759000-04:00,21,8,9,79.7619047619048,64.9253731343284,78.3068783068783,70.9459459459459,1514,72.3675,60.1185,0.5986696230598669,1.4808454425363275,602161,2020-09-07 21:28:57.470000-04:00,655.0,Illinois,No,None
PSABCXRT,660291,7,6,9,4,67,135.429,197.063,0.7166666666666667,1.537313432835821,57603,2020-09-10 17:57:18.759000-04:00,21,8,9,79.7619047619048,64.9253731343284,78.3068783068783,70.9459459459459,1514,72.3675,60.1185,0.5986696230598669,1.4808454425363275,602161,2020-09-07 21:28:57.470000-04:00,655.0,Illinois,No,None
PSABCXRT,660300,6,5,9,8,85,70.604,73.15,0.8194444444444444,1.3411764705882352,57603,2020-09-10 17:57:18.759000-04:00,21,8,9,79.7619047619048,64.9253731343284,78.3068783068783,70.9459459459459,1514,72.3675,60.1185,0.5986696230598669,1.4808454425363275,602161,2020-09-07 21:28:57.470000-04:00,655.0,Illinois,No,None
PSABCXRT,660318,8,8,9,9,105,46.319,50.503,0.7386363636363636,1.2952380952380953,57603,2020-09-10 17:57:18.759000-04:00,21,8,9,79.7619047619048,64.9253731343284,78.3068783068783,70.9459459459459,1514,72.3675,60.1185,0.5986696230598669,1.4808454425363275,602161,2020-09-07 21:28:57.470000-04:00,655.0,Illinois,No,None
PSABCXRT,660319,7,6,8,6,92,52.1365,55.0675,0.7654320987654321,1.2826086956521738,57603,2020-09-10 17:57:18.759000-04:00,21,8,9,79.7619047619048,64.9253731343284,78.3068783068783,70.9459459459459,1514,72.3675,60.1185,0.5986696230598669,1.4808454425363275,602161,2020-09-07 21:28:57.470000-04:00,655.0,Illinois,No,None
