experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSABF5JC,124,2021-05-17 13:43:01.439000-04:00,,2021-05-17 13:43:35.852000-04:00,2021-05-17 13:44:19.189000-04:00,1,,,,,,Treatment 1,29.862,4.89075,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,16444919
PSABF5JC,9639,2021-05-17 13:43:01.439000-04:00,,2021-05-17 13:45:30.919000-04:00,2021-05-17 13:45:52.082000-04:00,1,,,,,,Control,12.824,4.27233333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,16445059
PSABF5JC,11688,2020-10-21 11:41:30.362000-04:00,2020-10-23 11:43:00-04:00,2020-10-21 12:19:06.081000-04:00,2020-10-21 12:23:00.033000-04:00,2,,,,,,Treatment 1,146.644,48.8756666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,8265973
PSABF5JC,11696,2020-10-21 11:41:30.362000-04:00,2020-10-23 11:43:00-04:00,2020-10-21 12:25:17.643000-04:00,2020-10-21 12:35:08.100000-04:00,1,,,,,,Control,547.182,75.7142857142857,7.0,5.0,2.0,,7.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,8267167
PSABF5JC,11789,2020-10-21 11:41:30.362000-04:00,2020-10-23 11:43:00-04:00,2020-10-21 12:22:16.839000-04:00,2020-10-21 12:24:16.224000-04:00,2,,,,,,Treatment 3,43.695,14.562,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,8266616
PSABF5JC,11807,2020-10-21 11:41:30.362000-04:00,2020-10-23 11:43:00-04:00,2020-10-21 12:26:53.282000-04:00,2020-10-29 14:55:39.886000-04:00,2,,,,,,Treatment 1,699851.898,233283.950333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,8267489
PSABF5JC,11824,2020-10-21 11:41:30.362000-04:00,2020-10-23 11:43:00-04:00,2020-10-21 12:27:19.236000-04:00,2020-10-21 12:30:38.829000-04:00,1,,,,,,Treatment 3,118.829,39.5903333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,8267562
PSABF5JC,11835,2020-10-21 11:41:30.364000-04:00,2020-10-23 11:43:00-04:00,2020-10-21 15:01:53.887000-04:00,2020-10-21 15:04:02.883000-04:00,1,,,,,,Treatment 3,34.38,11.4556666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,8294855
PSABF5JC,11842,2020-10-21 11:41:30.362000-04:00,2020-10-23 11:43:00-04:00,2020-10-21 12:24:50.955000-04:00,2020-10-21 12:27:43.646000-04:00,1,,,,,,Treatment 2,98.37,32.7836666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,8267093
PSABF5JC,11849,2020-10-22 09:41:00-04:00,2020-10-23 06:43:00-04:00,2020-10-22 11:02:38.662000-04:00,2020-10-22 11:05:09.001000-04:00,1,,,,,,Treatment 2,105.101,35.0233333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,8346690
PSABF5JC,11851,2020-10-21 11:41:30.362000-04:00,2020-10-23 11:43:00-04:00,2020-10-21 12:25:18.437000-04:00,2020-10-29 15:02:29.186000-04:00,4,,,,,,Control,700575.839,104.2032,5.0,3.0,1.0,1.0,5.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,,,,,,8267176
