experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSABF5JC,124,PRA4MUZ,1,,Nonexperimental,2021-05-17 13:43:36.063000-04:00,2021-05-17 13:43:42.012000-04:00,1,5.949,5.946,WPI,True,1.0,True,1,0,0,0,0,False,False,False,125402243
PSABF5JC,124,PRADMFF,1,,Treatment 1,2021-05-17 13:43:43.398000-04:00,2021-05-17 13:43:58.443000-04:00,1,15.045,4.752,3,False,0.666666666666667,True,2,1,0,0,0,False,False,False,125402312
PSABF5JC,124,PRADMFG,1,,Treatment 1,2021-05-17 13:43:59.018000-04:00,2021-05-17 13:44:03.444000-04:00,1,4.426,4.424,-11,True,1.0,True,1,1,0,0,0,False,False,False,125402432
PSABF5JC,124,PRADMGE,1,,Treatment 1,2021-05-17 13:44:04.229000-04:00,2021-05-17 13:44:10.234000-04:00,1,6.005,6.002,-3,True,1.0,True,1,1,0,0,0,False,False,False,125402480
PSABF5JC,124,PRADMGF,1,,Treatment 1,2021-05-17 13:44:10.758000-04:00,2021-05-17 13:44:15.144000-04:00,1,4.386,4.385,-5,True,1.0,True,1,1,0,0,0,False,False,False,125402545
PSABF5JC,124,PRABPS98,1,,Nonexperimental,2021-05-17 13:44:15.767000-04:00,2021-05-17 13:44:19.146000-04:00,1,3.379,3.376,Ok,True,1.0,True,1,0,0,0,0,False,False,False,125402585
PSABF5JC,9639,PRA4MUZ,1,,Nonexperimental,2021-05-17 13:45:31.136000-04:00,2021-05-17 13:45:37.268000-04:00,1,6.132,6.129,ee,False,0.0,True,1,0,0,0,0,False,False,False,125403253
PSABF5JC,9639,PRADMH9,1,,Control,2021-05-17 13:45:38.222000-04:00,2021-05-17 13:45:42.563000-04:00,1,4.341,4.339,14,True,1.0,True,1,1,0,0,0,False,False,False,125403300
PSABF5JC,9639,PRADMJD,1,,Control,2021-05-17 13:45:43.026000-04:00,2021-05-17 13:45:45.993000-04:00,1,2.967,2.964,0,True,1.0,True,1,1,0,0,0,False,False,False,125403340
PSABF5JC,9639,PRADMJ7,1,,Control,2021-05-17 13:45:46.535000-04:00,2021-05-17 13:45:52.051000-04:00,1,5.516,5.514,-1,True,1.0,True,1,1,0,0,0,False,False,False,125403359
PSABF5JC,11688,PRA4MUZ,1,,Nonexperimental,2020-10-21 12:19:06.516000-04:00,2020-10-21 12:20:09.102000-04:00,2,62.586,37.872,Wpi,True,1.0,True,1,0,0,0,0,False,False,False,63431783
PSABF5JC,11688,PRADMFF,1,,Treatment 1,2020-10-21 12:20:27.160000-04:00,2020-10-21 12:22:17.549000-04:00,1,110.389,110.383,-6,True,1.0,True,1,1,0,0,0,False,False,False,63433483
PSABF5JC,11688,PRADMFG,1,,Treatment 1,2020-10-21 12:22:18.607000-04:00,2020-10-21 12:22:34.991000-04:00,1,16.384,16.378,-11,True,1.0,True,1,1,0,0,0,False,False,False,63435742
PSABF5JC,11688,PRADMGE,1,,Treatment 1,2020-10-21 12:22:36.159000-04:00,2020-10-21 12:22:56.030000-04:00,1,19.871,19.866,-3,True,1.0,True,1,1,0,0,0,False,False,False,63436078
PSABF5JC,11688,PRABPS98,1,,Nonexperimental,2020-10-21 12:22:57.094000-04:00,2020-10-21 12:22:59.951000-04:00,1,2.857,2.854,Ok,True,1.0,True,1,0,0,0,0,False,False,False,63436512
PSABF5JC,11696,PRA4MUZ,1,,Nonexperimental,2020-10-21 12:25:18.032000-04:00,2020-10-21 12:25:53.257000-04:00,1,35.225,35.219,on,False,0.0,True,1,0,0,0,0,False,False,False,63439443
PSABF5JC,11696,PRADMGV,1,,Control,2020-10-21 12:25:55.058000-04:00,2020-10-21 12:26:06.786000-04:00,1,11.728,11.723,-5,True,1.0,True,1,1,0,0,0,False,False,False,63440191
PSABF5JC,11696,PRADMHK,1,,Control,2020-10-21 12:26:07.548000-04:00,2020-10-21 12:33:17.403000-04:00,1,429.855,424.94,7,False,0.666666666666667,True,2,1,0,0,0,False,False,False,63440429
PSABF5JC,11696,PRADMHA,1,,Control,2020-10-21 12:33:18.362000-04:00,2020-10-21 12:33:24.088000-04:00,1,5.726,5.721,2,True,1.0,True,1,1,0,0,0,False,False,False,63448980
PSABF5JC,11696,PRADMG7,1,,Control,2020-10-21 12:33:25.249000-04:00,2020-10-21 12:33:52.542000-04:00,1,27.293,15.048,-18,False,0.666666666666667,True,2,1,0,0,0,False,False,False,63449110
PSABF5JC,11696,PRADMF7,1,,Control,2020-10-21 12:33:53.989000-04:00,2020-10-21 12:34:07.140000-04:00,1,13.151,13.145,-4,True,1.0,True,1,1,0,0,0,False,False,False,63449640
