experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAGF4,2647,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:25:57.962000-05:00,2019-02-04 12:34:46.606000-05:00,1,,,,,,Treatment 2,515.253,15.5277272727273,11.0,7.0,3.0,,11.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14798
PSAGF4,2648,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:24:48.120000-05:00,2019-02-04 12:31:13.220000-05:00,7,,,,,,Treatment 2,317.189,32.3428571428571,7.0,5.0,1.0,,7.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,14796
PSAGF4,2649,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:26:16.152000-05:00,2019-02-04 12:30:46.304000-05:00,1,,,,,,Treatment 2,257.783,19.46875,4.0,3.0,1.0,,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14800
PSAGF4,2650,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:26:23.461000-05:00,2019-02-04 12:30:17.469000-05:00,1,,,,,,Treatment 1,223.719,12.4958,5.0,3.0,1.0,,5.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14801
PSAGF4,2651,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:26:24.911000-05:00,2019-02-04 12:31:09.992000-05:00,1,,,,,,Treatment 1,271.017,21.9795714285714,7.0,5.0,1.0,,7.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14803
PSAGF4,2652,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:26:36.050000-05:00,2019-02-04 12:31:30.665000-05:00,1,,,,,,Treatment 1,281.753,15.2638333333333,6.0,3.0,1.0,,6.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14806
PSAGF4,2653,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:26:33.347000-05:00,2019-02-04 12:30:37.974000-05:00,1,,,,,,Treatment 2,234.484,41.2802,5.0,4.0,1.0,,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14805
PSAGF4,2654,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:26:33.008000-05:00,2019-02-04 12:36:04.405000-05:00,1,,,,,,Treatment 1,556.532,25.5383333333333,9.0,5.0,2.0,,8.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14804
PSAGF4,2655,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:26:38.807000-05:00,2019-02-04 12:28:32.608000-05:00,1,,,,,,Treatment 2,104.41,17.7542,5.0,4.0,1.0,,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14807
PSAGF4,2656,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:26:40.323000-05:00,2019-02-04 12:28:02.786000-05:00,1,,,,,,Treatment 1,73.822,12.96625,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14808
PSAGF4,2657,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:26:55.785000-05:00,2019-02-04 12:36:03.554000-05:00,2,,,,,,Treatment 1,538.244,43.05175,4.0,3.0,1.0,,4.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,14810
PSAGF4,2658,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:28:39.734000-05:00,2019-02-04 12:32:08.964000-05:00,1,,,,,,Treatment 2,204.433,68.135,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14815
PSAGF4,2659,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:27:23.568000-05:00,2019-02-04 12:30:45.900000-05:00,1,,,,,,Treatment 1,191.641,42.6005,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14811
PSAGF4,2660,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:27:32.927000-05:00,2019-02-04 12:29:01.072000-05:00,1,,,,,,Treatment 2,79.703,26.556,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14812
PSAGF4,2661,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-04 12:27:49.731000-05:00,2019-02-04 12:29:43.277000-05:00,1,,,,,,Treatment 2,103.644,10.1872,5.0,3.0,1.0,,5.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14813
PSAGF4,2720,2019-02-04 09:47:19.009000-05:00,2019-02-06 09:49:00-05:00,2019-02-05 12:27:56.309000-05:00,2019-02-05 12:30:07.323000-05:00,1,,,,,,Treatment 1,119.211,20.6614,5.0,4.0,1.0,,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,15844
PSAGF4,4774,2019-05-14 08:34:26.772000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 14:18:41.746000-04:00,2019-05-14 14:19:33.578000-04:00,1,,,,,,Treatment 2,47.318,15.763,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,74125
PSAGF4,4833,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:30:36.264000-04:00,2019-05-14 09:48:32.246000-04:00,1,,,,,,Treatment 2,1044.172,173.148,6.0,5.0,1.0,,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73622
PSAGF4,4834,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:37:46.536000-04:00,2019-05-14 09:38:40.501000-04:00,1,,,,,,Treatment 1,50.999,16.9953333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73655
PSAGF4,4835,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:30:58.677000-04:00,2019-05-14 09:32:36.144000-04:00,1,,,,,,Treatment 1,95.232,16.3535,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73631
PSAGF4,4836,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:08:49.621000-04:00,2019-05-14 09:21:47.822000-04:00,1,,,,,,Treatment 1,756.406,252.116,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73533
PSAGF4,4837,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:33:21.426000-04:00,2019-05-14 09:35:16.607000-04:00,1,,,,,,Treatment 2,112.669,17.09625,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73643
PSAGF4,4838,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:23:20.444000-04:00,2019-05-14 09:24:15.372000-04:00,1,,,,,,Treatment 1,52.018,17.331,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73577
PSAGF4,4839,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:26:44.685000-04:00,2019-05-14 09:27:24.771000-04:00,1,,,,,,Treatment 1,37.977,12.651,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73595
PSAGF4,4840,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:29:36.551000-04:00,2019-05-14 09:30:19.226000-04:00,1,,,,,,Treatment 1,40.58,13.5183333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73610
PSAGF4,4841,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:23:18.632000-04:00,2019-05-14 09:24:14.713000-04:00,1,,,,,,Treatment 2,53.302,17.757,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73576
PSAGF4,4842,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:24:35.686000-04:00,2019-05-14 09:25:39.411000-04:00,1,,,,,,Treatment 1,59.069,19.681,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73582
PSAGF4,4843,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:24:29.095000-04:00,2019-05-14 09:26:00.336000-04:00,1,,,,,,Treatment 2,89.217,29.731,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73581
PSAGF4,4845,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:39:04.099000-04:00,2019-05-14 09:40:01.850000-04:00,1,,,,,,Treatment 1,55.748,18.5746666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73659
PSAGF4,4847,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:26:49.726000-04:00,2019-05-14 09:28:53.030000-04:00,1,,,,,,Treatment 1,120.4,40.1236666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73596
PSAGF4,4848,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:27:43.813000-04:00,2019-05-14 09:28:39.256000-04:00,1,,,,,,Treatment 1,53.372,17.7826666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73600
PSAGF4,4850,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:25:09.988000-04:00,2019-05-14 09:28:14.281000-04:00,1,,,,,,Treatment 2,174.425,21.432,6.0,4.0,2.0,,6.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73586
PSAGF4,4852,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:37:43.778000-04:00,2019-05-14 09:38:30.576000-04:00,1,,,,,,Treatment 1,25.752,8.575,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73654
PSAGF4,4853,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:27:03.699000-04:00,2019-05-14 09:28:39.005000-04:00,1,,,,,,Treatment 2,91.071,17.12325,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73598
PSAGF4,4854,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:23:24.434000-04:00,2019-05-14 09:24:38.417000-04:00,1,,,,,,Treatment 2,71.967,23.9793333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73579
PSAGF4,4856,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:19:32.246000-04:00,,1,,,,,,Treatment 1,59.411,11.297,1.0,0.0,,,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73556
PSAGF4,4857,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:27:55.348000-04:00,2019-05-14 09:29:19.934000-04:00,1,,,,,,Treatment 1,63.5,21.1586666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73602
PSAGF4,4858,2019-05-14 08:34:26.775000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:28:56.433000-04:00,2019-05-14 09:29:32.882000-04:00,1,,,,,,Treatment 2,34.46,11.478,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73605
PSAGF4,4859,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:23:05.189000-04:00,2019-05-14 09:26:06.682000-04:00,1,,,,,,Treatment 1,159.561,33.10725,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73575
PSAGF4,4860,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:33:21.622000-04:00,2019-05-14 09:36:47.175000-04:00,1,,,,,,Treatment 2,200.898,66.9566666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73644
PSAGF4,4861,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:21:11.424000-04:00,,1,,,,,,Treatment 1,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73569
PSAGF4,4864,2019-05-14 08:34:26.759000-04:00,2019-05-14 20:35:00-04:00,2019-05-14 09:29:44.699000-04:00,2019-05-14 09:30:36.039000-04:00,1,,,,,,Treatment 2,47.59,15.8546666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,73612
