experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAH9CV,174361,2020-04-12 22:00:00+00:00,2020-04-17 04:00:00+00:00,2020-04-15 15:26:46.423000+00:00,2020-04-15 15:28:27.726000+00:00,1,,,,,,Control,89.928,14.9805,6,6.0,,,6.0,6,0.0,0,0.0,0.0,0,0,0,1,,,,,,1912753
PSAH9CV,174470,2020-04-12 22:00:00+00:00,2020-04-17 04:00:00+00:00,2020-04-13 15:45:41.814000+00:00,2020-04-13 15:48:53.416000+00:00,1,,,,,,Treatment,176.93,17.1158888888889,9,8.0,1.0,,9.0,11,4.0,0,0.0,0.0,0,0,0,1,,,,,,1795242
PSAH9CV,176211,2020-04-12 22:00:00+00:00,2020-04-17 04:00:00+00:00,2020-04-13 14:44:00.019000+00:00,2020-04-13 14:48:20.373000+00:00,1,,,,,,Treatment,229.62,10.1680526315789,19,15.0,4.0,,19.0,26,9.0,0,0.0,0.0,0,0,0,1,,,,,,1788694
PSAH9CV,177070,2020-04-12 22:00:00+00:00,2020-04-17 04:00:00+00:00,2020-04-13 13:38:22.136000+00:00,2020-04-13 13:41:26.751000+00:00,1,,,,,,Treatment,168.355,12.9684545454545,11,9.0,2.0,,11.0,16,5.0,0,0.0,0.0,0,0,0,1,,,,,,1782948
PSAH9CV,177339,2020-04-12 22:00:00+00:00,2020-04-17 04:00:00+00:00,2020-04-15 15:52:38.880000+00:00,2020-04-15 15:54:50.414000+00:00,1,,,,,,Treatment,123.152,20.5228333333333,6,6.0,,,6.0,6,3.0,0,0.0,0.0,0,0,0,1,,,,,,1915829
PSAH9CV,178402,2020-04-12 22:00:00+00:00,2020-04-17 04:00:00+00:00,2020-04-13 14:37:31.223000+00:00,2020-04-13 14:38:29.883000+00:00,1,,,,,,Control,49.885,8.3125,6,6.0,,,6.0,6,0.0,0,0.0,0.0,0,0,0,1,,,,,,1788008
PSAH9CV,181752,2020-04-12 22:00:00+00:00,2020-04-17 04:00:00+00:00,2020-04-14 17:48:40.338000+00:00,2020-04-14 17:50:26.602000+00:00,1,,,,,,Treatment,98.497,16.408,6,6.0,,,6.0,6,3.0,0,0.0,0.0,0,0,0,1,,,,,,1869464
PSAH9CV,184718,2020-04-12 22:00:00+00:00,2020-04-17 04:00:00+00:00,2020-04-13 15:07:01.675000+00:00,2020-04-13 15:13:17.103000+00:00,1,,,,,,Treatment,354.453,15.6905263157895,19,14.0,5.0,,19.0,25,9.0,0,0.0,0.0,0,0,0,1,,,,,,1791075
PSAH9CV,189177,2020-04-12 22:00:00+00:00,2020-04-17 04:00:00+00:00,2020-04-14 14:09:11.056000+00:00,2020-04-14 14:16:26.298000+00:00,1,,,,,,Treatment,312.382,15.2331578947368,19,15.0,4.0,,19.0,23,9.0,0,0.0,0.0,0,0,0,1,,,,,,1841398
PSAH9CV,194674,2020-04-12 22:00:00+00:00,2020-04-17 04:00:00+00:00,2020-04-14 19:01:58.457000+00:00,2020-04-14 19:05:41.577000+00:00,1,,,,,,Treatment,204.256,11.9026666666667,15,13.0,2.0,,15.0,18,7.0,0,0.0,0.0,0,0,0,1,,,,,,1876732
