experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAH9CV,174361,PRAVB94,1,,Control,2020-04-15 15:26:47.175000+00:00,2020-04-15 15:27:20.820000+00:00,1,33.645,33.634,Radii,True,1.0,True,1,0,0,0,0,False,False,False,14867421
PSAH9CV,174361,PRAV3CD,1,,Control,2020-04-15 15:27:22.898000+00:00,2020-04-15 15:27:40.506000+00:00,1,17.608,17.6,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,14868015
PSAH9CV,174361,PRAVCAM,1,,Control,2020-04-15 15:27:43.955000+00:00,2020-04-15 15:27:59.554000+00:00,1,15.599,15.59,Chord,True,1.0,True,1,0,0,0,0,False,False,False,14868335
PSAH9CV,174361,PRAV32A,1,,Control,2020-04-15 15:28:01.589000+00:00,2020-04-15 15:28:05.931000+00:00,1,4.342,4.336,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,14868611
PSAH9CV,174361,PRAVCBD,1,,Control,2020-04-15 15:28:07.427000+00:00,2020-04-15 15:28:23.220000+00:00,1,15.793,15.788,None of the Above,True,1.0,True,1,0,0,0,0,False,False,False,14868709
PSAH9CV,174361,PRAV3Z6,1,,Control,2020-04-15 15:28:24.632000+00:00,2020-04-15 15:28:27.573000+00:00,1,2.941,2.935,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,14868976
PSAH9CV,174470,PRAVB94,1,,Treatment,2020-04-13 15:45:42.528000+00:00,2020-04-13 15:46:05.788000+00:00,1,23.26,23.249,Radii,True,1.0,True,1,0,0,0,0,False,False,False,13930569
PSAH9CV,174470,PRAVXZY,1,,Treatment,2020-04-13 15:46:07.457000+00:00,2020-04-13 15:46:17.644000+00:00,1,10.187,10.181,This comic is not funny.,True,1.0,True,1,1,0,0,0,False,False,False,13930927
PSAH9CV,174470,PRAVCAM,1,,Treatment,2020-04-13 15:46:19.528000+00:00,2020-04-13 15:47:08.889000+00:00,1,49.361,26.533,None of the Above,False,0.333333333333333,True,3,0,0,0,0,False,False,False,13931115
PSAH9CV,174470,PRAVXZX,1,,Treatment,2020-04-13 15:47:10.341000+00:00,2020-04-13 15:47:17.790000+00:00,1,7.449,7.444,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13931851
PSAH9CV,174470,PRAVCBD,1,,Treatment,2020-04-13 15:47:19.496000+00:00,2020-04-13 15:47:26.874000+00:00,1,7.378,7.37,None of the Above,True,1.0,True,1,0,0,0,0,False,False,False,13931969
PSAH9CV,174470,PRAVXZW,1,,Treatment,2020-04-13 15:47:28.512000+00:00,2020-04-13 15:47:37.040000+00:00,1,8.528,8.522,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13932084
PSAH9CV,174470,PRAVB9K,1,,Treatment,2020-04-13 15:47:38.681000+00:00,2020-04-13 15:48:13.806000+00:00,1,35.125,35.115,Circumscribed Angle,True,1.0,True,1,0,0,0,0,False,False,False,13932214
PSAH9CV,174470,PRAVXZV,1,,Treatment,2020-04-13 15:48:16.072000+00:00,2020-04-13 15:48:23.729000+00:00,1,7.657,7.651,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13932759
PSAH9CV,174470,PRAVB8M,1,,Treatment,2020-04-13 15:48:25.276000+00:00,2020-04-13 15:48:53.261000+00:00,1,27.985,27.978,Central Angle,True,1.0,True,1,0,0,0,0,False,False,False,13932884
PSAH9CV,176211,PRAVB94,1,,Treatment,2020-04-13 14:44:00.241000+00:00,2020-04-13 14:44:14.455000+00:00,1,14.214,14.212,Radii,True,1.0,True,1,0,0,0,0,False,False,False,13882225
PSAH9CV,176211,PRAVXZY,1,,Treatment,2020-04-13 14:44:15.883000+00:00,2020-04-13 14:44:29.373000+00:00,1,13.49,13.487,This comic is not funny.,True,1.0,True,1,1,0,0,0,False,False,False,13882443
PSAH9CV,176211,PRAVCAM,1,,Treatment,2020-04-13 14:44:36.211000+00:00,2020-04-13 14:44:55.243000+00:00,1,19.032,14.335,None of the Above,False,0.666666666666667,True,2,0,0,0,0,False,False,False,13882707
PSAH9CV,176211,PRAVXZX,1,,Treatment,2020-04-13 14:44:56.283000+00:00,2020-04-13 14:45:07.347000+00:00,1,11.064,11.062,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13882966
PSAH9CV,176211,PRAVCBD,1,,Treatment,2020-04-13 14:45:08.512000+00:00,2020-04-13 14:45:37.531000+00:00,1,29.019,12.441,Central Angle,False,0.0,True,4,0,0,0,0,False,False,False,13883119
PSAH9CV,176211,PRAVXZW,1,,Treatment,2020-04-13 14:45:39.185000+00:00,2020-04-13 14:45:47.050000+00:00,1,7.865,7.864,This comic is funny.,True,1.0,True,1,1,0,0,0,False,False,False,13883522
PSAH9CV,176211,PRAVB9K,1,,Treatment,2020-04-13 14:45:52.840000+00:00,2020-04-13 14:46:05.403000+00:00,1,12.563,6.697,Inscribed Angle,False,0.666666666666667,True,2,0,0,0,0,False,False,False,13883722
PSAH9CV,176211,PRAVXZV,1,,Treatment,2020-04-13 14:46:06.504000+00:00,2020-04-13 14:46:16.458000+00:00,1,9.954,9.953,This comic is not funny.,True,1.0,True,1,1,0,0,0,False,False,False,13883892
PSAH9CV,176211,PRAVB8M,1,,Treatment,2020-04-13 14:46:18.025000+00:00,2020-04-13 14:46:23.507000+00:00,1,5.482,5.481,Central Angle,True,1.0,True,1,0,0,0,0,False,False,False,13884042
PSAH9CV,176211,PRAVXMW,1,,Treatment,2020-04-13 14:46:25.078000+00:00,2020-04-13 14:46:34.114000+00:00,1,9.036,9.035,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13884151
PSAH9CV,176211,PRAVB8J,1,,Treatment,2020-04-13 14:46:35.042000+00:00,2020-04-13 14:46:46.570000+00:00,1,11.528,11.527,Inscribed Angle,True,1.0,True,1,0,0,0,0,False,False,False,13884295
PSAH9CV,176211,PRAVXMV,1,,Treatment,2020-04-13 14:46:47.523000+00:00,2020-04-13 14:47:05.995000+00:00,1,18.472,18.471,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13884457
PSAH9CV,176211,PRAVCBB,1,,Treatment,2020-04-13 14:47:07.021000+00:00,2020-04-13 14:47:31.755000+00:00,1,24.734,15.47,Circumscribed Angle,False,0.333333333333333,True,3,0,0,0,0,False,False,False,13884724
PSAH9CV,176211,PRAVXMU,1,,Treatment,2020-04-13 14:47:32.802000+00:00,2020-04-13 14:47:47.843000+00:00,1,15.041,15.039,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13885059
PSAH9CV,176211,PRAVB93,1,,Treatment,2020-04-13 14:47:48.670000+00:00,2020-04-13 14:47:52.282000+00:00,1,3.612,3.611,Radii,True,1.0,True,1,0,0,0,0,False,False,False,13885275
PSAH9CV,176211,PRAVXMT,1,,Treatment,2020-04-13 14:47:53.292000+00:00,2020-04-13 14:48:00.778000+00:00,1,7.486,7.485,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13885333
PSAH9CV,176211,PRAVB8H,1,,Treatment,2020-04-13 14:48:01.614000+00:00,2020-04-13 14:48:08.018000+00:00,1,6.404,6.403,Inscribed Angle,True,1.0,True,1,0,0,0,0,False,False,False,13885454
PSAH9CV,176211,PRAVXMS,1,,Treatment,2020-04-13 14:48:08.942000+00:00,2020-04-13 14:48:15.571000+00:00,1,6.629,6.627,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13885550
PSAH9CV,176211,PRAVCAH,1,,Treatment,2020-04-13 14:48:16.344000+00:00,2020-04-13 14:48:20.339000+00:00,1,3.995,3.993,Chord,True,1.0,True,1,0,0,0,0,False,False,False,13885660
PSAH9CV,177070,PRAVB94,1,,Treatment,2020-04-13 13:38:22.676000+00:00,2020-04-13 13:38:36.098000+00:00,1,13.422,13.41,Radii,True,1.0,True,1,0,0,0,0,False,False,False,13841332
PSAH9CV,177070,PRAVXZY,1,,Treatment,2020-04-13 13:38:37.731000+00:00,2020-04-13 13:38:48.678000+00:00,1,10.947,10.934,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13841459
PSAH9CV,177070,PRAVCAM,1,,Treatment,2020-04-13 13:38:51.340000+00:00,2020-04-13 13:39:22.405000+00:00,1,31.065,16.846,None of the Above,False,0.333333333333333,True,3,0,0,0,0,False,False,False,13841572
PSAH9CV,177070,PRAVXZX,1,,Treatment,2020-04-13 13:39:24.132000+00:00,2020-04-13 13:39:30.594000+00:00,1,6.462,6.454,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13841843
PSAH9CV,177070,PRAVCBD,1,,Treatment,2020-04-13 13:39:31.595000+00:00,2020-04-13 13:39:55.527000+00:00,1,23.932,12.522,Central Angle,False,0.0,True,4,0,0,0,0,False,False,False,13841918
PSAH9CV,177070,PRAVXZW,1,,Treatment,2020-04-13 13:39:56.658000+00:00,2020-04-13 13:40:04.259000+00:00,1,7.601,7.591,This comic is alright.,True,1.0,True,1,1,0,0,0,False,False,False,13842146
PSAH9CV,177070,PRAVB9K,1,,Treatment,2020-04-13 13:40:06.112000+00:00,2020-04-13 13:40:16.602000+00:00,1,10.49,10.487,Circumscribed Angle,True,1.0,True,1,0,0,0,0,False,False,False,13842222
PSAH9CV,177070,PRAVXZV,1,,Treatment,2020-04-13 13:40:18.123000+00:00,2020-04-13 13:40:26.502000+00:00,1,8.379,8.373,This comic is funny.,True,1.0,True,1,1,0,0,0,False,False,False,13842333
PSAH9CV,177070,PRAVB8M,1,,Treatment,2020-04-13 13:40:28.312000+00:00,2020-04-13 13:40:46.354000+00:00,1,18.042,18.034,Central Angle,True,1.0,True,1,0,0,0,0,False,False,False,13842423
PSAH9CV,177070,PRAVXMW,1,,Treatment,2020-04-13 13:40:47.483000+00:00,2020-04-13 13:41:06.847000+00:00,1,19.364,19.357,This comic is not funny.,True,1.0,True,1,1,0,0,0,False,False,False,13842587
PSAH9CV,177070,PRAVB8J,1,,Treatment,2020-04-13 13:41:07.954000+00:00,2020-04-13 13:41:26.605000+00:00,1,18.651,18.645,Inscribed Angle,True,1.0,True,1,0,0,0,0,False,False,False,13842779
PSAH9CV,177339,PRAVB94,1,,Treatment,2020-04-15 15:52:39.133000+00:00,2020-04-15 15:52:45.991000+00:00,1,6.858,6.855,Radii,True,1.0,True,1,0,0,0,0,False,False,False,14892065
PSAH9CV,177339,PRAVXZY,1,,Treatment,2020-04-15 15:52:46.894000+00:00,2020-04-15 15:53:41.650000+00:00,1,54.756,54.754,This comic is funny.,True,1.0,True,1,1,0,0,0,False,False,False,14892210
PSAH9CV,177339,PRAVCAM,1,,Treatment,2020-04-15 15:53:45.228000+00:00,2020-04-15 15:53:58.862000+00:00,1,13.634,13.63,Chord,True,1.0,True,1,0,0,0,0,False,False,False,14893115
PSAH9CV,177339,PRAVXZX,1,,Treatment,2020-04-15 15:53:59.896000+00:00,2020-04-15 15:54:08.609000+00:00,1,8.713,8.712,This comic is funny.,True,1.0,True,1,1,0,0,0,False,False,False,14893364
PSAH9CV,177339,PRAVCBD,1,,Treatment,2020-04-15 15:54:10.082000+00:00,2020-04-15 15:54:23.509000+00:00,1,13.427,13.424,None of the Above,True,1.0,True,1,0,0,0,0,False,False,False,14893524
PSAH9CV,177339,PRAVXZW,1,,Treatment,2020-04-15 15:54:24.622000+00:00,2020-04-15 15:54:50.386000+00:00,1,25.764,25.762,This comic is funny.,True,1.0,True,1,1,0,0,0,False,False,False,14893757
PSAH9CV,178402,PRAVB94,1,,Control,2020-04-13 14:37:31.425000+00:00,2020-04-13 14:37:41.960000+00:00,1,10.535,10.532,Radii,True,1.0,True,1,0,0,0,0,False,False,False,13877374
PSAH9CV,178402,PRAV3CD,1,,Control,2020-04-13 14:37:42.941000+00:00,2020-04-13 14:37:51.764000+00:00,1,8.823,8.821,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,13877511
PSAH9CV,178402,PRAVCAM,1,,Control,2020-04-13 14:37:54.241000+00:00,2020-04-13 14:38:05.506000+00:00,1,11.265,11.263,Chord,True,1.0,True,1,0,0,0,0,False,False,False,13877656
