experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAHQV,9310,2021-02-23 11:00:00-05:00,2021-02-24 11:00:00-05:00,2021-02-24 14:10:31.281000-05:00,2021-02-24 14:11:34.500000-05:00,1,,,,,,Treatment 2,58.031,19.3323333333333,3,3.0,,,3.0,3,3.0,0,0.0,0.0,0,0,0,1,,,,,,13878182
PSAHQV,15821,2020-07-23 15:06:00-04:00,,2020-07-24 15:45:12.223000-04:00,2020-07-24 15:53:49.764000-04:00,1,,,,,,Treatment 1,514.264,73.2808,5,4.0,1.0,,5.0,7,5.0,0,0.0,0.0,0,0,0,1,,,,,,3970770
PSAHQV,16245,2020-07-23 15:06:00-04:00,,2020-07-23 17:01:54.145000-04:00,,1,,,,,,Treatment 1,345.596,73.08725,5,2.0,1.0,,4.0,6,5.0,0,0.0,0.0,0,0,0,1,,,,,,3969454
PSAHQV,16332,2020-07-23 15:06:00-04:00,,2020-07-23 17:02:48.987000-04:00,,1,,,,,,Treatment 2,271.488,47.621,4,2.0,,,3.0,4,4.0,0,0.0,0.0,0,0,0,1,,,,,,3969457
PSAHQV,16352,2020-07-23 15:06:00-04:00,,2020-07-23 17:04:15.468000-04:00,,1,,,,,,Treatment 2,238.685,119.333,3,2.0,,,2.0,2,3.0,0,0.0,0.0,0,0,0,1,,,,,,3969459
PSAHQV,16353,2020-07-23 15:06:00-04:00,,2020-07-24 22:20:14.400000-04:00,2020-07-24 22:26:48.677000-04:00,2,,,,,,Treatment 2,382.195,67.2714,5,4.0,1.0,,5.0,7,5.0,0,0.0,0.0,0,0,0,2,,,,,,3971104
PSAHQV,16809,2021-03-05 00:00:00-05:00,2021-03-05 23:59:00-05:00,2021-03-05 23:07:35.846000-05:00,2021-03-05 23:18:58.435000-05:00,2,,,,,,Treatment 1,679.026,157.993,4,3.0,1.0,,4.0,5,4.0,0,0.0,0.0,0,0,0,2,,,,,,14321858
PSAHQV,17552,2020-09-24 08:45:00-04:00,2020-09-25 08:45:00-04:00,2020-09-24 14:40:28.256000-04:00,2020-09-24 14:49:13.173000-04:00,1,,,,,,Treatment 1,511.092,45.8525714285714,7,5.0,1.0,0.0,7.0,10,7.0,1,0.0,0.0,0,0,0,1,,,,,,6346984
PSAHQV,17612,2020-09-24 08:45:00-04:00,2020-09-25 08:45:00-04:00,2020-09-24 13:56:50.026000-04:00,2020-09-24 13:58:47.079000-04:00,1,,,,,,Treatment 1,112.128,26.38125,4,3.0,1.0,,4.0,5,4.0,0,0.0,0.0,0,0,0,1,,,,,,6336489
PSAHQV,17615,2020-09-24 08:45:00-04:00,2020-09-25 08:45:00-04:00,2020-09-24 15:51:21.656000-04:00,2020-09-24 15:59:34.198000-04:00,1,,,,,,Treatment 2,487.868,36.6465714285714,7,5.0,2.0,1.0,7.0,12,7.0,1,0.0,0.0,0,0,0,1,,,,,,6359337
