experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAHQV,9310,PRA26B3,1,,Treatment 2,2021-02-24 14:10:33.174000-05:00,2021-02-24 14:10:58.683000-05:00,1,25.509,25.495,13,True,1.0,True,1,1,0,0,0,False,False,False,105386776
PSAHQV,9310,PRA26BY,1,,Treatment 2,2021-02-24 14:11:00.582000-05:00,2021-02-24 14:11:14.464000-05:00,1,13.882,13.869,0,True,1.0,True,1,1,0,0,0,False,False,False,105387172
PSAHQV,9310,PRA26BQ,1,,Treatment 2,2021-02-24 14:11:15.669000-05:00,2021-02-24 14:11:34.309000-05:00,1,18.64,18.633,-36,True,1.0,True,1,1,0,0,0,False,False,False,105387383
PSAHQV,15821,PRATU5R,1,,Treatment 1,2020-07-24 15:45:12.670000-04:00,2020-07-24 15:47:20.234000-04:00,1,127.564,127.56,-36,True,1.0,True,1,1,0,0,0,False,False,False,31925377
PSAHQV,15821,PRATUWV,1,,Treatment 1,2020-07-24 15:47:21.245000-04:00,2020-07-24 15:52:28.200000-04:00,1,306.955,159.104,4,False,0.0,True,3,1,0,0,0,False,False,False,31925444
PSAHQV,15821,PRATU48,1,,Treatment 1,2020-07-24 15:52:29.005000-04:00,2020-07-24 15:53:10.250000-04:00,1,41.245,41.243,-24,True,1.0,True,1,1,0,0,0,False,False,False,31925585
PSAHQV,15821,PRATUWZ,1,,Treatment 1,2020-07-24 15:53:10.832000-04:00,2020-07-24 15:53:26.342000-04:00,1,15.51,15.508,-3,True,1.0,True,1,1,0,0,0,False,False,False,31925605
PSAHQV,15821,PRATU5E,1,,Treatment 1,2020-07-24 15:53:26.737000-04:00,2020-07-24 15:53:49.727000-04:00,1,22.99,22.989,-5,True,1.0,True,1,1,0,0,0,False,False,False,31925610
PSAHQV,16245,PRATUWZ,1,,Treatment 1,2020-07-23 17:01:54.711000-04:00,2020-07-23 17:03:50.194000-04:00,1,115.483,115.476,-3,True,1.0,True,1,1,0,0,0,False,False,False,31912497
PSAHQV,16245,PRATUWW,1,,Treatment 1,2020-07-23 17:03:52.136000-04:00,2020-07-23 17:05:06.001000-04:00,1,73.865,40.027,9,False,0.666666666666667,True,2,1,0,0,0,False,False,False,31912524
PSAHQV,16245,PRATUWY,1,,Treatment 1,2020-07-23 17:05:07.424000-04:00,2020-07-23 17:06:11.645000-04:00,1,64.221,64.213,4,True,1.0,True,1,1,0,0,0,False,False,False,31912536
