experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAJ4YN,3851,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-18 15:41:07.491000-04:00,2019-03-18 19:04:24.326000-04:00,3,,,,,,Treatment,3115.712,1557.847,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,35280
PSAJ4YN,3902,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-18 15:31:14.607000-04:00,,3,,,,,,Treatment,606782.278,202252.683,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,,,,,,35278
PSAJ4YN,3908,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-18 21:44:48.313000-04:00,2019-03-21 22:38:10.166000-04:00,2,,,,,,Control,262532.1,37478.6165714286,5.0,5.0,2.0,2.0,7.0,7.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,,,,,,35341
PSAJ4YN,3909,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-30 17:20:25.367000-04:00,2019-03-30 17:22:47.607000-04:00,1,,,,,,Control,104.429,52.1925,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,42483
PSAJ4YN,3910,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-19 08:06:11.135000-04:00,,3,,,,,,Control,46484.109,1919.33625,24.0,6.0,6.0,6.0,3.0,26.0,18.0,0.0,6.0,6.0,0.0,0.0,17.0,3.0,,,,,,35375
PSAJ4YN,3912,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-04-02 14:30:32.506000-04:00,2019-04-02 14:39:25.255000-04:00,1,,,,,,Control,494.799,56.3505,6.0,6.0,2.0,2.0,8.0,8.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,,,,,,43828
PSAJ4YN,3915,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-18 22:01:32.709000-04:00,2019-03-25 09:36:59.142000-04:00,2,,,,,,Treatment,1437.84,98.8317272727273,12.0,6.0,3.0,2.0,8.0,13.0,6.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,,,,,,35342
PSAJ4YN,3917,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-31 16:38:27.205000-04:00,,1,,,,,,Control,74.392,18.023,2.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,,,,,,42495
PSAJ4YN,3920,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-29 13:39:04.353000-04:00,2019-04-02 10:35:07.203000-04:00,3,,,,,,Treatment,1338.773,669.3695,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,42321
PSAJ4YN,3921,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-19 07:26:53.343000-04:00,2019-03-19 07:35:02.223000-04:00,1,,,,,,Treatment,437.974,102.185,4.0,3.0,1.0,1.0,3.0,3.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,,,,,,35348
PSAJ4YN,3922,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-04-04 13:11:43.774000-04:00,,1,,,,,,Control,48.826,,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,44902
PSAJ4YN,3927,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-21 11:40:53.634000-04:00,2019-03-21 11:43:09.892000-04:00,1,,,,,,Control,92.191,30.723,3.0,3.0,,,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,37214
PSAJ4YN,3928,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-19 21:08:32.834000-04:00,,1,,,,,,Control,,,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,36274
PSAJ4YN,3933,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-20 20:23:34.559000-04:00,,1,,,,,,Treatment,5616.559,575.853222222222,10.0,3.0,2.0,1.0,8.0,13.0,4.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,,,,,,36915
PSAJ4YN,3944,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-19 16:21:05.014000-04:00,2019-03-19 16:23:01.983000-04:00,1,,,,,,Treatment,73.192,36.5715,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,36204
PSAJ4YN,3949,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-18 14:27:44.176000-04:00,,1,,,,,,Control,,,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,35251
PSAJ4YN,3959,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-18 12:13:33.703000-04:00,,3,,,,,,Control,200.038,6.524,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,,,,,,34928
PSAJ4YN,3968,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-31 16:54:50.261000-04:00,2019-03-31 17:52:29.430000-04:00,1,,,,,,Control,3696.437,167.597736842105,13.0,11.0,8.0,6.0,18.0,24.0,7.0,0.0,6.0,6.0,0.0,0.0,0.0,1.0,,,,,,42497
PSAJ4YN,3969,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-18 18:40:51.202000-04:00,,2,,,,,,Treatment,2766.4,571.405666666667,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,,,,,,35310
PSAJ4YN,3971,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-27 20:49:33.562000-04:00,,1,,,,,,Control,,,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,40564
PSAJ4YN,3976,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-20 22:29:28.792000-04:00,2019-03-20 22:44:14.245000-04:00,1,,,,,,Control,962.857,75.711,8.0,7.0,3.0,2.0,10.0,11.0,2.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,,,,,,36924
PSAJ4YN,3977,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-21 10:50:53.771000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,37154
PSAJ4YN,3978,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-19 22:39:23.362000-04:00,,1,,,,,,Treatment,104.621,22.44,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,,,,,,36287
PSAJ4YN,4005,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-28 18:20:53.594000-04:00,,2,,,,,,Treatment,1289.646,431.9655,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,,,,,,41624
PSAJ4YN,4060,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-27 23:53:40.614000-04:00,,3,,,,,,Control,547287.424,22.8164814814815,27.0,6.0,6.0,6.0,7.0,33.0,21.0,0.0,6.0,6.0,0.0,0.0,20.0,2.0,,,,,,40578
PSAJ4YN,4061,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-18 12:16:24.614000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,34946
PSAJ4YN,4069,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-31 17:07:05.228000-04:00,2019-03-31 19:24:00.924000-04:00,4,,,,,,Control,8168.216,4084.076,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,,,,42499
PSAJ4YN,4082,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-04-02 13:33:51.656000-04:00,,1,,,,,,Control,568.148,29.355,8.0,5.0,5.0,5.0,11.0,14.0,2.0,0.0,6.0,6.0,0.0,0.0,2.0,1.0,,,,,,43707
PSAJ4YN,4087,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-20 19:49:41.503000-04:00,,1,,,,,,Treatment,,,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,36910
PSAJ4YN,4097,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-24 19:24:27.124000-04:00,2019-03-24 19:27:46.825000-04:00,1,,,,,,Treatment,141.139,19.31925,4.0,3.0,1.0,1.0,4.0,6.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,,,,,,38250
PSAJ4YN,4098,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-21 10:30:25.382000-04:00,2019-03-21 10:42:53.771000-04:00,2,,,,,,Treatment,690.915,157.639,4.0,3.0,1.0,1.0,4.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,,,,,,37141
PSAJ4YN,4105,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-19 19:29:36.371000-04:00,2019-03-19 19:33:18.397000-04:00,1,,,,,,Control,164.322,82.1595,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,,,,,36259
PSAJ4YN,4107,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-29 10:12:29.168000-04:00,2019-03-31 21:26:34.580000-04:00,2,,,,,,Treatment,213029.813,53257.382,4.0,3.0,1.0,1.0,3.0,4.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,,,,,,41904
PSAJ4YN,4169,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-18 08:02:43.534000-04:00,2019-03-18 19:07:29.251000-04:00,2,,,,,,Control,39903.433,41.8088571428571,6.0,6.0,3.0,3.0,7.0,7.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,,,,,,34583
PSAJ4YN,4236,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-04-02 13:22:15.875000-04:00,,1,,,,,,Treatment,27.786,,1.0,0.0,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,43685
PSAJ4YN,4388,2019-03-18 07:45:00-04:00,2019-03-19 08:02:00-04:00,2019-03-20 17:48:38.990000-04:00,2019-03-20 17:59:36.597000-04:00,1,,,,,,Treatment,599.314,40.4145,8.0,3.0,1.0,1.0,4.0,4.0,2.0,0.0,6.0,5.0,0.0,0.0,0.0,1.0,,,,,,36884
