experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAJ4ZU,9811,2020-06-07 09:00:00-04:00,,2020-10-30 22:02:59.895000-04:00,2020-10-30 22:17:13.304000-04:00,2,,,,,,Treatment,808.906,46.30975,10.0,4.0,2.0,2.0,8.0,11.0,4.0,1.0,6.0,5.0,0.0,0.0,1.0,2.0,,,,,,8927687
PSAJ4ZU,9812,2020-06-07 09:00:00-04:00,,2020-09-10 16:53:21.190000-04:00,2020-09-10 16:59:41.881000-04:00,4,,,,,,Treatment,371.056,60.5186,5.0,3.0,1.0,1.0,5.0,5.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,,,,,,5142045
PSAJ4ZU,9813,2020-06-07 09:00:00-04:00,,2020-06-24 16:04:45.282000-04:00,2020-06-24 16:25:41.460000-04:00,1,,,,,,Control,1260.369,107.054444444444,7.0,7.0,3.0,3.0,9.0,9.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,,,,,,3944109
PSAJ4ZU,9814,2020-06-07 09:00:00-04:00,,2020-10-01 12:06:59.033000-04:00,,1,,,,,,Treatment,1039.59,428.1855,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,,,,,,6891067
PSAJ4ZU,9943,2020-06-07 09:00:00-04:00,,2020-08-05 21:43:38.233000-04:00,2020-08-05 21:57:38.254000-04:00,1,,,,,,Treatment,827.902,112.275333333333,6.0,3.0,1.0,1.0,6.0,6.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,,,,,,3987572
PSAJ4ZU,10039,2020-06-07 09:00:00-04:00,,2020-08-02 09:47:39.763000-04:00,2020-08-08 11:52:50.586000-04:00,2,,,,,,Control,526143.765,105176.5256,4.0,4.0,1.0,1.0,5.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,,,,,,3981707
PSAJ4ZU,10064,2020-06-07 09:00:00-04:00,,2020-07-06 14:07:21.790000-04:00,2020-07-06 14:22:49.184000-04:00,1,,,,,,Treatment,898.966,52.4646363636364,11.0,4.0,2.0,1.0,11.0,17.0,5.0,1.0,6.0,5.0,0.0,0.0,1.0,1.0,,,,,,3949880
PSAJ4ZU,10327,2020-06-07 09:00:00-04:00,,2020-07-21 08:39:09.699000-04:00,2020-07-21 08:52:15.229000-04:00,1,,,,,,Treatment,720.625,61.2938333333333,7.0,4.0,2.0,2.0,6.0,6.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,1.0,,,,,,3965078
PSAJ4ZU,14775,2020-06-07 09:00:00-04:00,,2020-06-29 15:20:11.741000-04:00,2020-07-29 18:03:06.556000-04:00,5,,,,,,Treatment,2601045.864,458.354333333333,7.0,4.0,2.0,2.0,6.0,7.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,3.0,,,,,,3946887
PSAJ4ZU,21949,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 12:23:02.497000-05:00,2020-02-28 12:44:41.800000-05:00,1,,,,,,Treatment,1267.005,165.931166666667,7.0,3.0,1.0,1.0,6.0,6.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0,1.0,,,,,,1058519
PSAJ4ZU,21954,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 12:27:25.798000-05:00,,3,,,,,,Treatment,,,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,1058573
PSAJ4ZU,21955,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 09:41:53.242000-05:00,2020-02-28 12:57:38.019000-05:00,4,,,,,,Treatment,11614.415,586.761125,17.0,5.0,3.0,2.0,15.0,24.0,11.0,5.0,6.0,6.0,0.0,0.0,5.0,5.0,,,,,,1056196
PSAJ4ZU,21957,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 12:21:13.818000-05:00,,1,,,,,,Control,345.996,24.2475714285714,5.0,4.0,4.0,4.0,7.0,7.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,,,,,,1058502
PSAJ4ZU,21958,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 13:04:35.944000-05:00,,1,,,,,,Control,,,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,1059220
PSAJ4ZU,21959,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-03-03 18:29:43.746000-05:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,1079142
PSAJ4ZU,21960,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 12:22:55.508000-05:00,2020-02-28 13:11:55.739000-05:00,3,,,,,,Treatment,2695.735,499.0096,5.0,3.0,1.0,1.0,5.0,5.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,,,,,,1058518
PSAJ4ZU,21961,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 12:13:06.460000-05:00,,1,,,,,,Treatment,15.523,,1.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,,,,,1058346
PSAJ4ZU,21963,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 12:23:29.861000-05:00,2020-02-28 13:17:15.599000-05:00,2,,,,,,Control,3246.771,110.005636363636,21.0,8.0,6.0,6.0,16.0,35.0,15.0,11.0,6.0,6.0,0.0,0.0,13.0,2.0,,,,,,1058528
PSAJ4ZU,21964,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 12:23:45.573000-05:00,2020-02-28 14:04:28.393000-05:00,2,,,,,,Control,3501.312,525.976166666667,5.0,4.0,1.0,1.0,6.0,7.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,,,,,,1058530
PSAJ4ZU,21965,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 13:08:12.206000-05:00,2020-03-01 22:56:58.192000-05:00,2,,,,,,Treatment,919.189,107.954285714286,7.0,5.0,2.0,2.0,7.0,7.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,,,,,,1059270
PSAJ4ZU,21966,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-03-02 10:47:16.770000-05:00,2020-03-02 21:07:03.330000-05:00,4,,,,,,Control,28764.114,1571.43605555556,13.0,9.0,6.0,6.0,17.0,24.0,7.0,4.0,6.0,5.0,0.0,0.0,4.0,2.0,,,,,,1064666
PSAJ4ZU,21967,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 12:23:16.122000-05:00,,3,,,,,,Treatment,1028.651,,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,,,,,,1058522
PSAJ4ZU,21968,2020-02-28 09:00:00-05:00,2020-03-02 15:33:00-05:00,2020-02-28 12:28:29.657000-05:00,,4,,,,,,Control,,,1.0,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,1058589
