experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSAJ4ZU,21967,6,6,82,77,790,28.0585,39.038,0.2676056338028169,1.4886075949367088,955,2019-07-09 20:44:34.433000-04:00,25,7,92,68.5714285714286,60.8333333333333,71.8695652173913,91.0465819721718,15021,31.751,25.722,0.4267810026385224,1.412555755275947,10199,2019-06-28 09:58:10.915000-04:00,2400.0,Kansas,No,None
PSAJ4ZU,21957,5,3,77,68,697,15.46,19.95,0.2562929061784897,1.2281205164992826,955,2019-07-09 20:44:34.433000-04:00,25,7,92,68.5714285714286,60.8333333333333,71.8695652173913,91.0465819721718,15021,31.751,25.722,0.4267810026385224,1.412555755275947,10199,2019-06-28 09:58:10.915000-04:00,2400.0,Kansas,No,None
PSAJ4ZU,21955,6,5,81,72,719,42.27,47.879,0.6565420560747663,1.383866481223922,955,2019-07-09 20:44:34.433000-04:00,25,7,92,68.5714285714286,60.8333333333333,71.8695652173913,91.0465819721718,15021,31.751,25.722,0.4267810026385224,1.412555755275947,10199,2019-06-28 09:58:10.915000-04:00,2400.0,Kansas,No,None
PSAJ4ZU,21954,5,4,78,57,609,19.067,25.726,0.4097938144329897,1.6157635467980296,955,2019-07-09 20:44:34.433000-04:00,25,7,92,68.5714285714286,60.8333333333333,71.8695652173913,91.0465819721718,15021,31.751,25.722,0.4267810026385224,1.412555755275947,10199,2019-06-28 09:58:10.915000-04:00,2400.0,Kansas,No,None
PSAJ4ZU,21949,6,5,80,79,784,32.9365,40.07,0.4435146443514644,1.5433673469387754,955,2019-07-09 20:44:34.433000-04:00,25,7,92,68.5714285714286,60.8333333333333,71.8695652173913,91.0465819721718,15021,31.751,25.722,0.4267810026385224,1.412555755275947,10199,2019-06-28 09:58:10.915000-04:00,2400.0,Kansas,No,None
PSAJ4ZU,21979,6,5,80,80,784,25.806,30.5325,0.4678111587982833,1.3418367346938775,955,2019-07-09 20:44:34.433000-04:00,25,7,92,68.5714285714286,60.8333333333333,71.8695652173913,91.0465819721718,15021,31.751,25.722,0.4267810026385224,1.412555755275947,10199,2019-06-28 09:58:10.915000-04:00,2400.0,Kansas,No,None
PSAJ4ZU,21958,6,0,77,71,678,6.935,9.8225,0.3399503722084367,1.2300884955752212,955,2019-07-09 20:44:34.433000-04:00,25,7,92,68.5714285714286,60.8333333333333,71.8695652173913,91.0465819721718,15021,31.751,25.722,0.4267810026385224,1.412555755275947,10199,2019-06-28 09:58:10.915000-04:00,2400.0,Kansas,No,None
PSAJ4ZU,101244,4,0,12,11,155,12.841,15.707,0.5607476635514018,1.2193548387096773,955,2019-07-09 20:44:34.433000-04:00,25,7,92,68.5714285714286,60.8333333333333,71.8695652173913,91.0465819721718,15021,31.751,25.722,0.4267810026385224,1.412555755275947,10199,2019-06-28 09:58:10.915000-04:00,2400.0,Kansas,No,None
PSAJ4ZU,21959,6,0,78,73,714,11.354,14.941,0.3548387096774194,1.1302521008403361,955,2019-07-09 20:44:34.433000-04:00,25,7,92,68.5714285714286,60.8333333333333,71.8695652173913,91.0465819721718,15021,31.751,25.722,0.4267810026385224,1.412555755275947,10199,2019-06-28 09:58:10.915000-04:00,2400.0,Kansas,No,None
PSAJ4ZU,21960,6,6,81,80,779,47.371,56.994,0.5774946921443737,1.5815147625160462,955,2019-07-09 20:44:34.433000-04:00,25,7,92,68.5714285714286,60.8333333333333,71.8695652173913,91.0465819721718,15021,31.751,25.722,0.4267810026385224,1.412555755275947,10199,2019-06-28 09:58:10.915000-04:00,2400.0,Kansas,No,None
