experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAJ4ZZ,2647,,,,,assignment_started,2019-04-04 12:15:47.416000-04:00,1758168
PSAJ4ZZ,2647,PRAV56D,1.0,,Comparing Values After Multiplying by Fractions 5.NF.B.5a EX/5.NF.B.5b/First Seven,problem_started,2019-04-04 12:15:48.490000-04:00,1758172
PSAJ4ZZ,2647,PRAV56D,1.0,,Comparing Values After Multiplying by Fractions 5.NF.B.5a EX/5.NF.B.5b/First Seven,correct_response,2019-04-04 12:17:12.126000-04:00,1758211
PSAJ4ZZ,2647,PRAV56D,1.0,,Comparing Values After Multiplying by Fractions 5.NF.B.5a EX/5.NF.B.5b/First Seven,problem_finished,2019-04-04 12:17:12.140000-04:00,1758212
PSAJ4ZZ,2647,,,,Comparing Values After Multiplying by Fractions 5.NF.B.5a EX/5.NF.B.5b/First Seven,continue_selected,2019-04-04 12:17:13.474000-04:00,1758213
PSAJ4ZZ,2647,PRAV56Q,1.0,,Comparing Values After Multiplying by Fractions 5.NF.B.5a EX/5.NF.B.5b/First Seven,problem_started,2019-04-04 12:17:13.695000-04:00,1758214
PSAJ4ZZ,2647,PRAV56Q,1.0,,Comparing Values After Multiplying by Fractions 5.NF.B.5a EX/5.NF.B.5b/First Seven,wrong_response,2019-04-04 12:17:53.212000-04:00,1758228
PSAJ4ZZ,2647,PRAV56Q,1.0,,Comparing Values After Multiplying by Fractions 5.NF.B.5a EX/5.NF.B.5b/First Seven,wrong_response,2019-04-04 12:17:58.093000-04:00,1758236
PSAJ4ZZ,2647,PRAV56Q,1.0,,Comparing Values After Multiplying by Fractions 5.NF.B.5a EX/5.NF.B.5b/First Seven,correct_response,2019-04-04 12:18:02.899000-04:00,1758238
PSAJ4ZZ,2647,PRAV56Q,1.0,,Comparing Values After Multiplying by Fractions 5.NF.B.5a EX/5.NF.B.5b/First Seven,problem_finished,2019-04-04 12:18:02.906000-04:00,1758239
PSAJ4ZZ,2647,,,,Comparing Values After Multiplying by Fractions 5.NF.B.5a EX/5.NF.B.5b/First Seven,continue_selected,2019-04-04 12:18:04.603000-04:00,1758241
