experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAJDQG,281944,2020-04-27 02:34:15.008000+00:00,2020-04-29 12:30:00+00:00,2020-04-27 13:47:00.174000+00:00,,2,,,,,,Control,107204.675,1478.48342857143,15,7.0,7.0,6.0,11.0,32,8.0,6,0.0,0.0,0,0,4,2,,,,,,2426977
PSAJDQG,282143,2020-04-27 02:34:15.008000+00:00,2020-04-29 12:30:00+00:00,2020-04-28 11:19:18.472000+00:00,,2,,,,,,Control,83733.994,8340.3553,11,6.0,4.0,4.0,9.0,14,6.0,4,0.0,0.0,0,0,4,2,,,,,,2496316
PSAJDQG,474125,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-29 01:34:39.670000+00:00,,1,,,,,,Treatment,,,1,,,,,0,1.0,0,0.0,0.0,0,0,0,1,,,,,,8784800
PSAJDQG,474126,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 17:02:30.882000+00:00,,1,,,,,,Control,721.563,194.914666666667,3,1.0,1.0,1.0,3.0,7,2.0,2,0.0,0.0,0,0,2,1,,,,,,8644515
PSAJDQG,474130,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 16:46:56.216000+00:00,2020-10-28 13:55:30.148000+00:00,5,,,,,,Control,75883.403,2585.17262068966,29,17.0,12.0,12.0,25.0,38,15.0,12,0.0,0.0,0,0,11,4,,,,,,8641177
PSAJDQG,474131,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 16:38:44.732000+00:00,2020-10-27 17:06:50.761000+00:00,1,,,,,,Treatment,1677.019,86.6168181818182,11,8.0,3.0,3.0,9.0,13,11.0,3,0.0,0.0,0,0,3,1,,,,,,8639445
PSAJDQG,474134,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 16:51:46.770000+00:00,2020-10-28 16:55:00.636000+00:00,2,,,,,,Control,1118696.626,1763.45042857143,40,28.0,18.0,18.0,37.0,66,47.0,21,0.0,0.0,0,0,21,2,,,,,,8642170
PSAJDQG,474134,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 16:51:46.770000+00:00,2020-10-28 16:55:00.636000+00:00,2,,,,,,Treatment,1118696.626,1763.45042857143,40,28.0,18.0,18.0,37.0,66,47.0,21,0.0,0.0,0,0,21,2,,,,,,8642170
PSAJDQG,474137,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 17:21:48.327000+00:00,2020-10-28 17:13:14.233000+00:00,6,,,,,,Treatment,85777.957,1213.73409090909,11,8.0,3.0,3.0,8.0,11,11.0,3,0.0,0.0,0,0,3,4,,,,,,8648425
PSAJDQG,474138,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 16:49:13.074000+00:00,2020-10-27 17:06:04.440000+00:00,1,,,,,,Treatment,995.749,165.956,6,6.0,,,6.0,6,6.0,0,0.0,0.0,0,0,0,1,,,,,,8641661
PSAJDQG,474139,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 16:47:00.828000+00:00,2020-10-27 17:06:45.020000+00:00,1,,,,,,Treatment,1164.985,101.882636363636,11,9.0,2.0,2.0,10.0,12,11.0,2,0.0,0.0,0,0,2,1,,,,,,8641195
PSAJDQG,474142,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 16:50:33.565000+00:00,2020-10-27 17:28:05.310000+00:00,2,,,,,,Control,21847.773,37.3431632653061,40,36.0,11.0,11.0,49.0,63,30.0,13,0.0,0.0,0,0,13,3,,,,,,8641914
PSAJDQG,474142,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 16:50:33.565000+00:00,2020-10-27 17:28:05.310000+00:00,2,,,,,,Treatment,21847.773,37.3431632653061,40,36.0,11.0,11.0,49.0,63,30.0,13,0.0,0.0,0,0,13,3,,,,,,8641914
PSAJDQG,474174,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 16:49:35.459000+00:00,,1,,,,,,Control,790.885,49.7415,3,1.0,1.0,1.0,1.0,2,2.0,1,0.0,0.0,0,0,1,1,,,,,,8641745
PSAJDQG,529048,2020-10-27 13:00:00+00:00,2020-10-27 17:35:00+00:00,2020-10-27 16:32:36.565000+00:00,,1,,,,,,Treatment,,,1,,,,,0,1.0,0,0.0,0.0,0,0,0,1,,,,,,8638188
PSAJDQG,1005346,2021-03-19 02:50:05.077000+00:00,,2021-03-19 02:53:00.456000+00:00,2021-03-19 13:33:37.776000+00:00,2,,,,,,Control,38411.687,6401.93866666667,6,6.0,,,6.0,6,3.0,0,0.0,0.0,0,0,0,2,,,,,,14826215
