experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAJDQG,281944,PRAVGT3,1,,Control,2020-04-27 13:47:00.584000+00:00,2020-04-27 13:53:10.355000+00:00,1,369.771,242.33,1.4,False,0.0,False,1,1,1,0,0,False,False,True,19132130
PSAJDQG,281944,PRAV3CD,1,,Control,2020-04-27 13:53:11.691000+00:00,2020-04-27 13:53:20.884000+00:00,1,9.193,9.19,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,19137587
PSAJDQG,281944,PRAVGT9,1,,Control,2020-04-27 13:53:22.642000+00:00,2020-04-27 15:54:44.369000+00:00,1,7281.727,7266.729,10.8,False,0.333333333333333,True,2,1,0,0,0,False,False,False,19137757
PSAJDQG,281944,PRAV3ZV,1,,Control,2020-04-27 15:57:14.263000+00:00,2020-04-27 15:57:23.114000+00:00,1,8.851,8.845,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,19413423
PSAJDQG,281944,PRAVGUG,1,,Control,2020-04-27 15:57:24.604000+00:00,2020-04-27 16:01:56.912000+00:00,1,272.308,147.135,10.8,False,0.0,True,4,1,1,0,0,False,False,False,19413640
PSAJDQG,281944,PRAV3ZW,1,,Control,2020-04-27 16:01:58.745000+00:00,2020-04-27 16:02:01.495000+00:00,1,2.75,2.747,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,19419002
PSAJDQG,281944,PRAVGT5,1,,Control,2020-04-27 16:02:03.093000+00:00,2020-04-27 16:05:08.842000+00:00,1,185.749,125.154,2.4,False,0.0,False,1,1,1,0,0,False,False,True,19419078
PSAJDQG,281944,PRAV3ZX,1,,Control,2020-04-27 16:05:09.998000+00:00,2020-04-27 16:05:12.861000+00:00,1,2.863,2.86,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,19422659
PSAJDQG,281944,PRAVGUA,1,,Control,2020-04-27 16:05:14.500000+00:00,2020-04-27 19:35:13.054000+00:00,1,12598.554,12535.084,20.0,False,0.0,True,3,1,1,0,0,False,False,True,19422752
PSAJDQG,281944,PRAV3ZY,1,,Control,2020-04-27 19:35:15.957000+00:00,2020-04-27 19:35:22.128000+00:00,1,6.171,6.17,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,20099820
PSAJDQG,281944,PRAVGUH,1,,Control,2020-04-27 19:35:24.300000+00:00,2020-04-28 19:26:46.652000+00:00,2,85882.352,121.062,10.3,False,0.0,True,12,1,1,0,0,False,False,False,20099950
PSAJDQG,281944,PRAV3ZZ,1,,Control,2020-04-28 19:26:48.969000+00:00,2020-04-28 19:26:57.095000+00:00,1,8.126,8.122,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,20167811
PSAJDQG,281944,PRAVGT6,1,,Control,2020-04-28 19:26:58.604000+00:00,2020-04-28 19:36:33.070000+00:00,1,574.466,221.551,61.4,False,0.0,False,2,1,1,0,0,False,False,True,20167904
PSAJDQG,281944,PRAV3Z2,1,,Control,2020-04-28 19:36:35.265000+00:00,2020-04-28 19:36:37.059000+00:00,1,1.794,1.789,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,20173630
PSAJDQG,281944,PRAVGUC,1,,Control,2020-04-28 19:36:38.488000+00:00,,1,,,,,,,0,1,0,0,0,False,False,False,20173660
PSAJDQG,282143,PRAVGT3,1,,Control,2020-04-28 11:19:18.998000+00:00,2020-04-28 11:30:51.873000+00:00,1,692.875,629.293,1.4,False,0.0,False,1,1,1,0,0,False,False,True,19706229
PSAJDQG,282143,PRAV3CD,1,,Control,2020-04-28 11:30:53.507000+00:00,2020-04-28 11:31:15.885000+00:00,1,22.378,22.366,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,19706820
PSAJDQG,282143,PRAVGT9,1,,Control,2020-04-28 11:31:18.892000+00:00,2020-04-28 11:35:19.059000+00:00,1,240.167,240.161,10.7,True,1.0,True,1,1,0,0,0,False,False,False,19706852
PSAJDQG,282143,PRAV3ZV,1,,Control,2020-04-28 11:35:20.553000+00:00,2020-04-28 11:35:30.084000+00:00,1,9.531,9.523,Go to Next Question,True,1.0,True,1,0,0,0,0,False,False,False,19707127
