experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAJDQJ,9896,,,,,assignment_started,2019-06-13 13:28:49.026000-04:00,3104968
PSAJDQJ,9896,PRAVBJB,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,problem_started,2019-06-13 13:28:49.783000-04:00,3104971
PSAJDQJ,9896,PRAVBJB,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,wrong_response,2019-06-13 13:30:04.122000-04:00,3105037
PSAJDQJ,9896,PRAVBJB,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,wrong_response,2019-06-13 13:30:11.477000-04:00,3105047
PSAJDQJ,9896,PRAVBJB,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,correct_response,2019-06-13 13:30:19.372000-04:00,3105066
PSAJDQJ,9896,PRAVBJB,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,problem_finished,2019-06-13 13:30:19.381000-04:00,3105067
PSAJDQJ,9896,,,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,continue_selected,2019-06-13 13:30:21.912000-04:00,3105068
PSAJDQJ,9896,PRAVBHP,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,problem_started,2019-06-13 13:30:22.078000-04:00,3105069
PSAJDQJ,9896,PRAVBHP,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,wrong_response,2019-06-13 13:32:55.332000-04:00,3105213
PSAJDQJ,9896,PRAVBHP,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,wrong_response,2019-06-13 13:32:59.928000-04:00,3105224
PSAJDQJ,9896,PRAVBHP,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,correct_response,2019-06-13 13:33:03.219000-04:00,3105225
PSAJDQJ,9896,PRAVBHP,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,problem_finished,2019-06-13 13:33:03.226000-04:00,3105226
PSAJDQJ,9896,,,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,continue_selected,2019-06-13 13:33:04.656000-04:00,3105227
PSAJDQJ,9896,PRAVBF3,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,problem_started,2019-06-13 13:33:04.831000-04:00,3105228
PSAJDQJ,9896,PRAVBF3,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,wrong_response,2019-06-13 13:33:33.975000-04:00,3105262
PSAJDQJ,9896,PRAVBF3,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,correct_response,2019-06-13 13:33:46.485000-04:00,3105268
PSAJDQJ,9896,PRAVBF3,1.0,,Writing Inequalities from Situations 6.EE.B8 EX/6.EE.B8,problem_finished,2019-06-13 13:33:46.491000-04:00,3105269
