experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSAJVP8,3902,2,0,8,7,53,63.554,64.127,0.38095238095238093,1.320754716981132,292,2019-02-28 18:19:35.109000+00:00,16,2,8,15.625,0.0,39.0625,66.0,203,120.783,98.755,0.3881578947368421,1.4729064039408868,3712,2019-02-28 18:16:20.108000+00:00,1071,Maryland,Yes,None
PSAJVP8,4150,0,0,1,0,2,836.449,836.458,,1.0,292,2019-02-28 18:19:35.109000+00:00,16,2,8,15.625,0.0,39.0625,66.0,203,120.783,98.755,0.3881578947368421,1.4729064039408868,3712,2019-02-28 18:16:20.108000+00:00,1071,Maryland,Yes,None
PSAJVP8,3977,1,0,6,2,7,6.918,17.555,0.0,1.0,292,2019-02-28 18:19:35.109000+00:00,16,2,8,15.625,0.0,39.0625,66.0,203,120.783,98.755,0.3881578947368421,1.4729064039408868,3712,2019-02-28 18:16:20.108000+00:00,1071,Maryland,Yes,None
PSAJVP8,5760,0,0,0,0,0,,,,,292,2019-02-28 18:19:35.109000+00:00,16,2,8,15.625,0.0,39.0625,66.0,203,120.783,98.755,0.3881578947368421,1.4729064039408868,3712,2019-02-28 18:16:20.108000+00:00,1071,Maryland,Yes,None
PSAJVP8,4808,0,0,0,0,0,,,,,292,2019-02-28 18:19:35.109000+00:00,16,2,8,15.625,0.0,39.0625,66.0,203,120.783,98.755,0.3881578947368421,1.4729064039408868,3712,2019-02-28 18:16:20.108000+00:00,1071,Maryland,Yes,None
PSAJVP8,3949,2,0,8,8,52,120.1515,189.1085,0.2972972972972973,1.8846153846153846,292,2019-02-28 18:19:35.109000+00:00,16,2,8,15.625,0.0,39.0625,66.0,203,120.783,98.755,0.3881578947368421,1.4729064039408868,3712,2019-02-28 18:16:20.108000+00:00,1071,Maryland,Yes,None
PSAJVP8,3914,0,0,4,2,7,339.954,373.127,0.8333333333333334,1.2857142857142858,293,2019-02-28 18:19:35.119000+00:00,20,2,8,22.5,22.2222222222222,56.875,78.021978021978,461,82.91,68.643,0.476878612716763,1.4837310195227766,3712,2019-02-28 18:16:20.108000+00:00,1071,Maryland,Yes,None
PSAJVP8,3936,1,0,8,6,38,89.9675,105.404,0.37037037037037035,1.3157894736842104,293,2019-02-28 18:19:35.119000+00:00,20,2,8,22.5,22.2222222222222,56.875,78.021978021978,461,82.91,68.643,0.476878612716763,1.4837310195227766,3712,2019-02-28 18:16:20.108000+00:00,1071,Maryland,Yes,None
PSAJVP8,3920,2,1,8,5,38,87.023,138.7935,0.6551724137931034,1.4736842105263157,293,2019-02-28 18:19:35.119000+00:00,20,2,8,22.5,22.2222222222222,56.875,78.021978021978,461,82.91,68.643,0.476878612716763,1.4837310195227766,3712,2019-02-28 18:16:20.108000+00:00,1071,Maryland,Yes,None
PSAJVP8,3921,2,1,8,7,45,105.621,123.554,0.6,1.2444444444444445,293,2019-02-28 18:19:35.119000+00:00,20,2,8,22.5,22.2222222222222,56.875,78.021978021978,461,82.91,68.643,0.476878612716763,1.4837310195227766,3712,2019-02-28 18:16:20.108000+00:00,1071,Maryland,Yes,None
