experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSAJVPW,6310,3,3,1,1,102,3.0585,3.1655,0.8627450980392157,1.1274509803921569,490,2019-04-04 09:10:24.533000-04:00,2,3,1,,0.0,,0.0,0,,,,,5174,2019-03-25 14:09:47.150000-04:00,2597.0,Massachusetts,Yes,None
PSAJVPW,7689,3,3,1,1,94,2.702,2.703,0.9468085106382979,1.0319148936170213,490,2019-04-04 09:10:24.533000-04:00,2,3,1,,0.0,,0.0,0,,,,,5174,2019-03-25 14:09:47.150000-04:00,2597.0,Massachusetts,Yes,None
PSAJVPW,91692,3,3,15,15,129,45.917,50.135,0.7580645161290323,1.1627906976744187,6727,2020-01-07 13:55:21.811000-05:00,21,3,11,0.0,0.0,85.2813852813853,93.4010152284264,864,51.7805,50.146,0.9294403892944039,1.0416666666666667,91516,2020-01-07 12:32:55.159000-05:00,1448.0,New Jersey,No,None
PSAJVPW,91693,3,3,8,8,52,43.178,43.8205,0.967741935483871,1.0,6727,2020-01-07 13:55:21.811000-05:00,21,3,11,0.0,0.0,85.2813852813853,93.4010152284264,864,51.7805,50.146,0.9294403892944039,1.0416666666666667,91516,2020-01-07 12:32:55.159000-05:00,1448.0,New Jersey,No,None
PSAJVPW,91695,1,1,12,11,47,61.871,61.874,1.0,1.0,6727,2020-01-07 13:55:21.811000-05:00,21,3,11,0.0,0.0,85.2813852813853,93.4010152284264,864,51.7805,50.146,0.9294403892944039,1.0416666666666667,91516,2020-01-07 12:32:55.159000-05:00,1448.0,New Jersey,No,None
PSAJVPW,91701,3,3,9,9,49,53.16,55.721,0.8888888888888888,1.0612244897959184,6727,2020-01-07 13:55:21.811000-05:00,21,3,11,0.0,0.0,85.2813852813853,93.4010152284264,864,51.7805,50.146,0.9294403892944039,1.0416666666666667,91516,2020-01-07 12:32:55.159000-05:00,1448.0,New Jersey,No,None
PSAJVPW,91704,3,3,10,9,67,48.25,59.609,0.7555555555555555,1.208955223880597,6727,2020-01-07 13:55:21.811000-05:00,21,3,11,0.0,0.0,85.2813852813853,93.4010152284264,864,51.7805,50.146,0.9294403892944039,1.0416666666666667,91516,2020-01-07 12:32:55.159000-05:00,1448.0,New Jersey,No,None
PSAJVPW,91705,3,3,8,7,46,50.474,50.4805,0.9629629629629629,1.0217391304347827,6727,2020-01-07 13:55:21.811000-05:00,21,3,11,0.0,0.0,85.2813852813853,93.4010152284264,864,51.7805,50.146,0.9294403892944039,1.0416666666666667,91516,2020-01-07 12:32:55.159000-05:00,1448.0,New Jersey,No,None
PSAJVPW,91707,3,3,10,10,57,69.169,69.172,0.9696969696969697,1.0,6727,2020-01-07 13:55:21.811000-05:00,21,3,11,0.0,0.0,85.2813852813853,93.4010152284264,864,51.7805,50.146,0.9294403892944039,1.0416666666666667,91516,2020-01-07 12:32:55.159000-05:00,1448.0,New Jersey,No,None
PSAJVPW,91708,3,3,10,10,57,62.468,62.473,0.9393939393939394,1.0350877192982455,6727,2020-01-07 13:55:21.811000-05:00,21,3,11,0.0,0.0,85.2813852813853,93.4010152284264,864,51.7805,50.146,0.9294403892944039,1.0416666666666667,91516,2020-01-07 12:32:55.159000-05:00,1448.0,New Jersey,No,None
