experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAJY7C,3851,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-15 16:27:27.611000-04:00,2019-03-17 17:23:57.786000-04:00,3,,,,,,Control,166100.855,13696.4056666667,9,9.0,3.0,3.0,12.0,12,6.0,0,6.0,3.0,0,0,0,3,,,,,,34504
PSAJY7C,3902,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-14 16:21:18.371000-04:00,,3,,,,,,Control,949571.218,135545.833714286,6,4.0,3.0,3.0,6.0,8,6.0,0,5.0,5.0,0,0,0,2,,,,,,34125
PSAJY7C,3908,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-18 21:32:59.575000-04:00,,1,,,,,,Control,741.772,71.23375,5,3.0,2.0,2.0,4.0,5,4.0,0,4.0,3.0,0,0,0,1,,,,,,35337
PSAJY7C,3909,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-15 20:40:28.892000-04:00,,3,,,,,,Control,1284929.726,160529.7855,6,4.0,3.0,3.0,7.0,8,5.0,0,5.0,4.0,0,0,0,3,,,,,,34512
PSAJY7C,3910,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-17 22:50:42.824000-04:00,,2,,,,,,Control,949.323,215.342,3,1.0,0.0,0.0,2.0,3,2.0,0,2.0,1.0,0,0,0,3,,,,,,34553
PSAJY7C,3912,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-15 21:06:24.971000-04:00,,4,,,,,,Control,1531857.311,113.071636363636,9,4.0,3.0,3.0,6.0,13,9.0,0,6.0,6.0,0,0,0,4,,,,,,34515
PSAJY7C,3914,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-21 10:51:58.769000-04:00,,1,,,,,,Control,245.579,35.385,2,0.0,,,1.0,1,1.0,0,1.0,1.0,0,0,0,1,,,,,,37155
PSAJY7C,3915,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-17 23:13:15.867000-04:00,,1,,,,,,Treatment,579.512,125.472666666667,4,1.0,0.0,0.0,3.0,3,0.0,0,3.0,2.0,0,0,0,1,,,,,,34555
PSAJY7C,3917,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-31 16:29:10.208000-04:00,,1,,,,,,Treatment,484.463,118.893,6,1.0,0.0,0.0,1.0,2,0.0,0,5.0,4.0,0,0,0,1,,,,,,42493
PSAJY7C,3920,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-18 12:45:50.821000-04:00,,8,,,,,,Treatment,1461413.084,117958.032545455,11,2.0,1.0,1.0,9.0,22,4.0,2,6.0,6.0,0,0,1,5,,,,,,35078
PSAJY7C,3921,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-15 00:59:05.932000-04:00,,3,,,,,,Treatment,593248.788,280.398,4,0.0,0.0,0.0,2.0,2,0.0,0,3.0,3.0,0,0,0,2,,,,,,34188
PSAJY7C,3922,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-14 22:07:32.408000-04:00,,2,,,,,,Control,3563640.92,77.2484285714286,6,1.0,0.0,0.0,3.0,8,5.0,0,5.0,4.0,0,0,2,2,,,,,,34181
PSAJY7C,3927,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-14 11:06:33.175000-04:00,2019-03-17 00:16:48.555000-04:00,5,,,,,,Treatment,220152.968,13295.94975,16,7.0,4.0,3.0,14.0,43,9.0,2,6.0,4.0,0,0,2,4,,,,,,33832
PSAJY7C,3933,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-15 16:07:01.506000-04:00,,2,,,,,,Treatment,3489.878,55.9357142857143,12,2.0,1.0,1.0,5.0,10,5.0,4,6.0,6.0,0,0,3,3,,,,,,34502
PSAJY7C,3936,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-22 14:32:29.613000-04:00,,2,,,,,,Control,124.541,38.9436666666667,2,1.0,0.0,0.0,2.0,2,1.0,0,1.0,1.0,0,0,0,2,,,,,,38161
PSAJY7C,3949,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-17 09:33:58.019000-04:00,,1,,,,,,Treatment,15314.107,29.3815,5,1.0,0.0,0.0,2.0,4,0.0,0,4.0,4.0,0,0,0,1,,,,,,34536
PSAJY7C,3955,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-14 10:55:20.936000-04:00,,2,,,,,,Control,296728.686,59288.2214,5,3.0,3.0,3.0,4.0,5,4.0,0,4.0,3.0,0,0,0,2,,,,,,33830
PSAJY7C,3960,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-21 13:06:53.436000-04:00,,3,,,,,,Treatment,815.538,61.467,4,1.0,0.0,0.0,1.0,1,0.0,0,3.0,3.0,0,0,0,5,,,,,,37411
PSAJY7C,3968,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-31 18:33:21.345000-04:00,,1,,,,,,Control,56.949,10.191,2,1.0,,,1.0,1,1.0,0,1.0,1.0,0,0,0,1,,,,,,42502
PSAJY7C,3971,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-27 20:42:38.178000-04:00,,1,,,,,,Treatment,334.783,33.7053333333333,6,0.0,0.0,0.0,3.0,3,0.0,0,5.0,4.0,0,0,0,1,,,,,,40562
PSAJY7C,3975,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-17 08:16:40.915000-04:00,,1,,,,,,Treatment,1435.4,88.5296666666667,6,1.0,0.0,0.0,3.0,3,0.0,0,5.0,4.0,0,0,0,1,,,,,,34532
PSAJY7C,3976,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-18 09:22:04.233000-04:00,,4,,,,,,Control,220184.396,14583.3413333333,15,6.0,6.0,6.0,4.0,26,15.0,8,6.0,6.0,0,0,6,3,,,,,,34766
PSAJY7C,3977,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-19 08:23:36.420000-04:00,,1,,,,,,Control,12.138,1.974,2,0.0,,,1.0,1,1.0,0,1.0,1.0,0,0,1,1,,,,,,35423
PSAJY7C,3978,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-19 22:30:41.879000-04:00,,1,,,,,,Control,710.411,70.782,5,2.0,1.0,1.0,3.0,5,4.0,0,4.0,3.0,0,0,0,1,,,,,,36286
PSAJY7C,4005,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-28 09:44:00.637000-04:00,,2,,,,,,Treatment,1821.179,20.056,3,0.0,0.0,,1.0,1,0.0,0,2.0,2.0,0,0,0,3,,,,,,40868
PSAJY7C,4060,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-04-02 19:51:43.176000-04:00,,3,,,,,,Control,44761.77,71.678,8,7.0,6.0,6.0,10.0,14,8.0,1,6.0,6.0,0,0,0,2,,,,,,43971
PSAJY7C,4061,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-17 13:02:10.835000-04:00,,1,,,,,,Control,506.222,120.365666666667,2,2.0,1.0,1.0,3.0,3,1.0,0,1.0,1.0,0,0,0,1,,,,,,34544
PSAJY7C,4066,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-04-02 09:18:46.714000-04:00,,3,,,,,,Control,1538.696,128.815285714286,6,1.0,1.0,1.0,3.0,8,6.0,0,5.0,5.0,0,0,3,3,,,,,,43312
PSAJY7C,4069,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-31 16:22:33.524000-04:00,2019-03-31 19:12:52.882000-04:00,3,,,,,,Treatment,10087.047,470.6820625,21,6.0,3.0,3.0,11.0,26,14.0,12,6.0,6.0,0,0,8,2,,,,,,42492
PSAJY7C,4082,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-14 18:21:47.583000-04:00,,1,,,,,,Treatment,114.932,114.912,2,0.0,,,1.0,1,0.0,0,1.0,0.0,0,0,0,1,,,,,,34146
PSAJY7C,4087,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-18 21:17:58.064000-04:00,,4,,,,,,Treatment,167457.821,41771.34325,5,1.0,0.0,0.0,3.0,5,0.0,0,4.0,3.0,0,0,0,2,,,,,,35336
PSAJY7C,4098,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-21 00:57:10.056000-04:00,,3,,,,,,Control,67370.593,36.6748,14,0.0,0.0,0.0,4.0,16,14.0,8,6.0,6.0,0,0,11,5,,,,,,36933
PSAJY7C,4105,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-19 19:51:43.121000-04:00,,2,,,,,,Treatment,2863.765,13.5,2,0.0,,,1.0,1,0.0,0,1.0,1.0,0,0,0,2,,,,,,36263
PSAJY7C,4107,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-29 10:12:22.288000-04:00,,2,,,,,,Treatment,213798.066,53406.16775,5,0.0,0.0,0.0,4.0,5,0.0,0,4.0,3.0,0,0,0,2,,,,,,41903
PSAJY7C,4111,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-25 21:40:27.780000-04:00,,1,,,,,,Treatment,496.731,55.171,6,0.0,0.0,0.0,1.0,1,0.0,0,5.0,4.0,0,0,0,1,,,,,,38974
PSAJY7C,4169,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-15 12:41:22.176000-04:00,2019-03-15 13:27:35.050000-04:00,2,,,,,,Treatment,2724.748,127.798266666667,15,7.0,3.0,3.0,15.0,26,8.0,5,6.0,5.0,0,0,3,2,,,,,,34418
PSAJY7C,4236,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-04-02 13:17:11.416000-04:00,,1,,,,,,Treatment,273.596,64.9145,2,0.0,0.0,,1.0,2,0.0,0,1.0,1.0,0,0,1,1,,,,,,43673
PSAJY7C,4296,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-14 08:58:14.235000-04:00,,1,,,,,,Control,,,1,,,,,0,0.0,0,0.0,0.0,0,0,0,1,,,,,,33716
PSAJY7C,4307,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-14 10:14:57.374000-04:00,,1,,,,,,Control,734.538,49.8715,5,3.0,3.0,3.0,4.0,4,4.0,0,4.0,3.0,0,0,0,1,,,,,,33773
PSAJY7C,4388,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-15 15:00:22.654000-04:00,2019-03-15 18:37:03.133000-04:00,7,,,,,,Control,13996.085,264.885272727273,31,13.0,8.0,7.0,28.0,84,31.0,15,6.0,6.0,0,0,14,7,,,,,,34499
PSAJY7C,4768,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-21 12:00:58.782000-04:00,,6,,,,,,Control,4472.307,651.043333333333,4,3.0,1.0,1.0,3.0,3,2.0,0,3.0,1.0,0,0,0,4,,,,,,37232
PSAJY7C,4831,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-21 14:46:07.967000-04:00,,1,,,,,,Treatment,2483.807,411.289333333333,4,2.0,1.0,1.0,3.0,4,0.0,0,3.0,2.0,0,0,0,1,,,,,,37577
PSAJY7C,5473,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-03-29 09:37:07.493000-04:00,,1,,,,,,Control,356.073,74.1663333333333,2,0.0,0.0,0.0,3.0,4,1.0,0,1.0,1.0,0,0,1,1,,,,,,41832
PSAJY7C,5760,2019-03-14 07:50:00-04:00,2019-03-18 07:50:00-04:00,2019-04-02 13:58:26.046000-04:00,,1,,,,,,Control,,,1,,,,,0,0.0,0,0.0,0.0,0,0,0,1,,,,,,43759
PSAJY7C,9811,2020-06-07 09:00:00-04:00,,2020-10-30 22:59:04.359000-04:00,,3,,,,,,Control,255.899,20.5834,4,1.0,1.0,1.0,4.0,6,4.0,0,3.0,3.0,0,0,0,3,,,,,,8928016
PSAJY7C,9812,2020-06-07 09:00:00-04:00,,2020-09-01 17:27:44.211000-04:00,2020-09-01 17:55:42.436000-04:00,1,,,,,,Control,1675.747,558.576666666667,3,3.0,,,3.0,3,1.0,0,2.0,0.0,0,0,0,1,,,,,,4607782
PSAJY7C,9813,2020-06-07 09:00:00-04:00,,2020-06-24 17:08:28.937000-04:00,2020-06-24 17:18:16.252000-04:00,1,,,,,,Treatment,575.663,191.821333333333,3,3.0,,,3.0,3,0.0,0,2.0,0.0,0,0,0,1,,,,,,3944162
PSAJY7C,9814,2020-06-07 09:00:00-04:00,,2020-10-02 14:15:28.405000-04:00,2020-10-23 09:28:04.911000-04:00,4,,,,,,Control,1797681.374,66480.3431851852,23,13.0,7.0,6.0,26.0,36,22.0,10,6.0,5.0,0,0,8,4,,,,,,7023475
PSAJY7C,9943,2020-06-07 09:00:00-04:00,,2020-08-05 19:08:43.898000-04:00,2020-08-15 20:21:53.678000-04:00,5,,,,,,Control,1728323.271,54010.4428125,15,6.0,3.0,3.0,9.0,28,15.0,6,6.0,6.0,0,0,7,6,,,,,,3987437
PSAJY7C,10039,2020-06-07 09:00:00-04:00,,2020-06-17 21:11:00.039000-04:00,2020-06-17 23:37:41.890000-04:00,1,,,,,,Treatment,8777.694,785.9552,10,4.0,1.0,1.0,7.0,13,3.0,0,6.0,6.0,0,0,0,1,,,,,,3931680
PSAJY7C,10064,2020-06-07 09:00:00-04:00,,2020-06-26 12:29:30.246000-04:00,2020-06-26 12:40:31.420000-04:00,1,,,,,,Control,893.144,40.12225,10,9.0,5.0,5.0,16.0,17,10.0,0,6.0,6.0,0,0,0,1,,,,,,3945872
PSAJY7C,10327,2020-06-07 09:00:00-04:00,,2020-06-21 16:10:07.627000-04:00,2020-07-22 09:09:02.030000-04:00,4,,,,,,Control,2653655.635,93322.2616428571,26,16.0,10.0,7.0,26.0,38,25.0,10,6.0,5.0,0,0,7,4,,,,,,3939082
PSAJY7C,14775,2020-06-07 09:00:00-04:00,,2020-07-14 11:19:52.101000-04:00,,5,,,,,,Control,776942.324,194179.42525,4,2.0,1.0,0.0,4.0,5,2.0,0,3.0,1.0,0,0,0,2,,,,,,3956901
PSAJY7C,22312,2020-06-07 09:00:00-04:00,,2020-09-12 19:20:42.290000-04:00,,3,,,,,,Treatment,264364.172,222.84925,7,1.0,0.0,0.0,1.0,4,0.0,0,6.0,6.0,0,0,0,2,,,,,,5248471
PSAJY7C,23347,2020-06-07 09:00:00-04:00,,2020-09-10 16:39:34.735000-04:00,,2,,,,,,Treatment,1683.849,54.534,5,2.0,1.0,1.0,2.0,2,0.0,0,4.0,2.0,0,0,0,2,,,,,,5140805
PSAJY7C,34227,2020-06-07 09:00:00-04:00,,2020-09-15 10:51:59.110000-04:00,,3,,,,,,Control,460747.955,76495.4845,6,3.0,1.0,1.0,4.0,10,4.0,0,5.0,3.0,0,0,2,3,,,,,,5412810
PSAJY7C,54199,2020-06-07 09:00:00-04:00,,2020-06-30 13:17:47.645000-04:00,2020-08-11 14:17:32.619000-04:00,3,,,,,,Control,3632722.857,407.721647058823,15,10.0,4.0,4.0,12.0,18,12.0,6,6.0,3.0,0,0,4,2,,,,,,3947444
PSAJY7C,98507,2020-06-07 09:00:00-04:00,,2020-09-14 14:21:36.795000-04:00,,3,,,,,,Control,976348.492,126412.317,7,4.0,3.0,3.0,6.0,8,6.0,0,6.0,5.0,0,0,1,3,,,,,,5338597
PSAJY7C,103151,2020-06-07 09:00:00-04:00,,2020-07-31 19:28:57.567000-04:00,2020-07-31 20:54:01.115000-04:00,1,,,,,,Treatment,5060.437,141.813076923077,17,7.0,3.0,2.0,10.0,15,10.0,5,6.0,5.0,0,0,3,1,,,,,,3981239
PSAJY7C,104860,2020-06-07 09:00:00-04:00,,2020-09-22 13:22:56.403000-04:00,,4,,,,,,Control,86409.552,6541.93546153846,9,6.0,5.0,4.0,12.0,14,8.0,2,6.0,5.0,0,0,2,2,,,,,,6073059
PSAJY7C,387108,2020-06-07 09:00:00-04:00,,2020-06-15 00:10:48.911000-04:00,2020-06-15 21:45:08.092000-04:00,8,,,,,,Treatment,77646.515,5821.71608333333,12,5.0,2.0,2.0,10.0,21,5.0,2,6.0,5.0,0,0,2,4,,,,,,3913794
PSAJY7C,387118,2020-06-07 09:00:00-04:00,,2020-06-28 19:34:43.687000-04:00,2020-06-28 19:41:52.169000-04:00,1,,,,,,Control,484.04,42.9513333333333,7,5.0,2.0,1.0,9.0,10,3.0,0,6.0,2.0,0,0,0,1,,,,,,3946338
PSAJY7C,387167,2020-06-07 09:00:00-04:00,,2020-06-07 19:11:23.784000-04:00,2020-09-02 18:04:58.668000-04:00,13,,,,,,Treatment,7512751.367,73971.168,24,8.0,3.0,3.0,13.0,25,17.0,12,6.0,6.0,0,0,10,8,,,,,,3837136
PSAJY7C,387179,2020-06-07 09:00:00-04:00,,2020-06-14 23:42:14.722000-04:00,2020-06-19 15:41:59.372000-04:00,3,,,,,,Control,403579.684,59.4911666666667,15,8.0,4.0,2.0,14.0,21,14.0,3,6.0,5.0,0,0,6,3,,,,,,3913740
PSAJY7C,387247,2020-06-07 09:00:00-04:00,,2020-08-26 11:55:52.660000-04:00,2020-08-26 12:41:39.024000-04:00,2,,,,,,Control,3330.192,141.787625,15,11.0,7.0,6.0,15.0,27,15.0,3,6.0,6.0,0,0,2,2,,,,,,4305494
PSAJY7C,387255,2020-06-07 09:00:00-04:00,,2020-06-07 11:42:46.279000-04:00,2020-06-19 14:52:19.439000-04:00,5,,,,,,Control,1048408.449,40264.4392692308,24,12.0,7.0,6.0,21.0,38,22.0,11,6.0,4.0,0,0,10,4,,,,,,3835748
PSAJY7C,387314,2020-06-07 09:00:00-04:00,,2020-09-01 21:04:44.802000-04:00,,3,,,,,,Control,579600.563,115452.9808,4,2.0,1.0,1.0,5.0,11,4.0,0,3.0,3.0,0,0,0,2,,,,,,4615156
PSAJY7C,387358,2020-06-07 09:00:00-04:00,,2020-06-09 11:57:52.833000-04:00,2020-06-28 16:31:48.243000-04:00,4,,,,,,Treatment,1658014.158,209.919583333333,14,5.0,2.0,2.0,11.0,18,7.0,5,6.0,5.0,0,0,4,4,,,,,,3865528
PSAJY7C,387428,2020-06-07 09:00:00-04:00,,2020-06-22 09:26:07.277000-04:00,2020-06-22 14:07:33.172000-04:00,1,,,,,,Treatment,16780.754,1077.03673333333,16,9.0,4.0,3.0,15.0,17,9.0,1,6.0,5.0,0,0,1,1,,,,,,3939639
PSAJY7C,387714,2020-06-07 09:00:00-04:00,,2020-06-19 11:35:55.027000-04:00,,3,,,,,,Treatment,5058626.713,1735.71944444444,12,3.0,2.0,2.0,8.0,11,5.0,4,6.0,5.0,0,0,3,3,,,,,,3937382
PSAJY7C,387725,2020-06-07 09:00:00-04:00,,2020-08-28 22:21:34.106000-04:00,2020-09-14 10:00:01.081000-04:00,5,,,,,,Treatment,1424270.279,240.645916666667,13,7.0,3.0,2.0,12.0,20,6.0,1,6.0,4.0,0,0,0,4,,,,,,4449911
PSAJY7C,387746,2020-06-07 09:00:00-04:00,,2020-07-18 18:00:08.244000-04:00,2020-07-18 18:02:27.172000-04:00,1,,,,,,Control,134.405,44.7966666666667,3,3.0,,,3.0,3,1.0,0,2.0,0.0,0,0,0,1,,,,,,3963151
PSAJY7C,387801,2020-06-07 09:00:00-04:00,,2020-09-07 22:13:53.686000-04:00,2020-09-09 15:17:23.159000-04:00,3,,,,,,Control,148380.068,7336.5321,16,8.0,5.0,5.0,17.0,30,16.0,7,6.0,6.0,0,0,7,3,,,,,,4855574
PSAJY7C,387805,2020-06-07 09:00:00-04:00,,2020-06-17 21:39:13.977000-04:00,2020-06-18 01:22:23.220000-04:00,4,,,,,,Control,13745.618,89.6252696629213,87,27.0,19.0,19.0,61.0,128,87.0,73,6.0,6.0,0,0,58,4,,,,,,3931736
PSAJY7C,387817,2020-06-07 09:00:00-04:00,,2020-07-20 19:45:08.467000-04:00,2020-07-20 20:12:56.128000-04:00,1,,,,,,Control,1881.217,205.367714285714,7,7.0,2.0,2.0,6.0,9,3.0,0,6.0,2.0,0,0,0,1,,,,,,3964876
PSAJY7C,387913,2020-06-07 09:00:00-04:00,,2020-08-20 13:05:39.102000-04:00,,5,,,,,,Control,87489.272,14542.285,5,2.0,1.0,0.0,4.0,6,3.0,0,4.0,2.0,0,0,2,4,,,,,,4144616
PSAJY7C,387967,2020-06-07 09:00:00-04:00,,2020-07-01 12:44:06.882000-04:00,2020-07-01 13:46:11.552000-04:00,1,,,,,,Control,4082.642,160.541882352941,15,8.0,4.0,3.0,13.0,22,14.0,5,6.0,5.0,0,0,7,1,,,,,,3947968
PSAJY7C,388076,2020-06-07 09:00:00-04:00,,2020-08-18 13:55:27.939000-04:00,,1,,,,,,Treatment,13701.116,758.0835,12,4.0,2.0,2.0,7.0,12,5.0,5,6.0,5.0,0,0,3,1,,,,,,4092522
PSAJY7C,388084,2020-06-07 09:00:00-04:00,,2020-07-23 19:08:33.462000-04:00,,2,,,,,,Treatment,5100590.274,1700167.494,4,2.0,1.0,1.0,3.0,3,0.0,0,3.0,1.0,0,0,0,2,,,,,,3969585
PSAJY7C,388241,2020-06-07 09:00:00-04:00,,2020-08-26 13:14:18.122000-04:00,,1,,,,,,Control,44.734,44.729,2,1.0,,,1.0,1,0.0,0,1.0,0.0,0,0,0,1,,,,,,4314003
PSAJY7C,388374,2020-06-07 09:00:00-04:00,,2020-09-10 15:07:44.556000-04:00,,1,,,,,,Treatment,,,1,,,,,0,0.0,0,0.0,0.0,0,0,0,1,,,,,,5129309
PSAJY7C,388415,2020-06-07 09:00:00-04:00,,2020-06-09 17:18:33.816000-04:00,,3,,,,,,Treatment,1135.344,89.5498333333333,7,2.0,1.0,1.0,6.0,6,0.0,0,6.0,5.0,0,0,0,1,,,,,,3871894
PSAJY7C,388507,2020-06-07 09:00:00-04:00,,2020-07-24 12:29:58.572000-04:00,2020-07-24 12:57:10.127000-04:00,1,,,,,,Control,1625.403,541.768666666667,3,3.0,,,3.0,3,1.0,0,2.0,0.0,0,0,0,1,,,,,,3970284
PSAJY7C,388517,2020-06-07 09:00:00-04:00,,2020-08-14 21:46:00.509000-04:00,,2,,,,,,Treatment,260276.168,86657.6716666667,4,2.0,1.0,1.0,3.0,3,0.0,0,3.0,1.0,0,0,0,2,,,,,,4052901
PSAJY7C,388812,2020-06-07 09:00:00-04:00,,2020-08-06 18:29:00.987000-04:00,,3,,,,,,Treatment,5146.793,238.049571428571,8,2.0,1.0,1.0,5.0,7,1.0,0,6.0,5.0,0,0,0,3,,,,,,3989991
PSAJY7C,389047,2020-06-07 09:00:00-04:00,,2020-08-29 14:23:42.378000-04:00,2020-08-29 14:27:03.273000-04:00,1,,,,,,Control,196.666,65.5526666666667,3,3.0,,,3.0,3,1.0,0,2.0,0.0,0,0,0,1,,,,,,4451530
PSAJY7C,389062,2020-06-07 09:00:00-04:00,,2020-07-06 11:48:25.672000-04:00,2020-07-07 16:43:31.378000-04:00,2,,,,,,Control,105272.332,158.887722222222,15,11.0,7.0,7.0,16.0,26,15.0,5,6.0,6.0,0,0,3,2,,,,,,3949662
PSAJY7C,389079,2020-06-07 09:00:00-04:00,,2020-07-14 00:44:50.518000-04:00,2020-08-20 14:27:20.503000-04:00,8,,,,,,Control,6246250.648,180156.7465,18,12.0,7.0,7.0,15.0,22,17.0,7,6.0,5.0,0,0,5,6,,,,,,3956361
PSAJY7C,389156,2020-06-07 09:00:00-04:00,,2020-06-15 11:22:47.133000-04:00,2020-06-15 11:32:07.577000-04:00,1,,,,,,Control,556.172,185.386666666667,3,3.0,,,3.0,3,1.0,0,2.0,0.0,0,0,0,1,,,,,,3917053
PSAJY7C,389212,2020-06-07 09:00:00-04:00,,2020-06-26 12:27:55.684000-04:00,2020-09-10 13:19:02.838000-04:00,4,,,,,,Treatment,6569264.372,400492.387214286,16,7.0,3.0,3.0,13.0,17,9.0,4,6.0,6.0,0,0,3,4,,,,,,3945870
PSAJY7C,389308,2020-06-07 09:00:00-04:00,,2020-07-21 12:24:20.862000-04:00,2020-07-21 12:29:44.006000-04:00,1,,,,,,Treatment,321.325,107.105,3,3.0,,,3.0,3,0.0,0,2.0,0.0,0,0,0,1,,,,,,3965671
PSAJY7C,389365,2020-06-07 09:00:00-04:00,,2020-07-29 19:13:16.755000-04:00,2020-07-29 19:14:42.844000-04:00,1,,,,,,Treatment,84.451,28.1476666666667,3,3.0,,,3.0,3,0.0,0,2.0,0.0,0,0,0,1,,,,,,3977630
PSAJY7C,389445,2020-06-07 09:00:00-04:00,,2020-08-10 12:56:20.361000-04:00,2020-09-15 10:30:04.749000-04:00,11,,,,,,Treatment,3101573.587,2592.98847368421,24,10.0,5.0,5.0,14.0,27,17.0,11,6.0,5.0,0,0,9,9,,,,,,3997535
