experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAJY7C,3851,PRAV3ZU,1,,Control,2019-03-15 16:27:28.690000-04:00,2019-03-17 12:29:57.511000-04:00,2,158548.821,158548.807,WPI,True,1.0,True,1,0,0,0,0,False,False,False,225107
PSAJY7C,3851,PRAVC9Q,1,,Control,2019-03-17 12:30:00.319000-04:00,2019-03-17 13:04:00.161000-04:00,1,2039.842,854.85,-3x-10/2-x,False,0.0,True,1,0,0,1,1,False,False,False,225456
PSAJY7C,3851,PRAVC9Q,1,826515.0,Control,2019-03-17 12:44:16.425000-04:00,2019-03-17 13:03:59.933000-04:00,1,1183.736,1183.494,(3x+10)/(x-2),True,1.0,True,1,1,0,0,0,False,False,False,225475
PSAJY7C,3851,PRAVC6X,1,,Control,2019-03-17 16:20:32.829000-04:00,2019-03-17 16:22:51.987000-04:00,2,139.158,139.151,(x-1)/(4),True,1.0,True,1,1,0,1,0,False,False,False,225538
PSAJY7C,3851,PRAVC7C,1,,Control,2019-03-17 16:23:01.551000-04:00,2019-03-17 16:31:33.636000-04:00,1,512.085,142.39,(x+3)/(x+6),False,0.0,True,1,0,0,1,1,False,False,False,225539
PSAJY7C,3851,PRAVC7C,1,826434.0,Control,2019-03-17 16:25:25.248000-04:00,2019-03-17 16:31:33.266000-04:00,1,368.388,368.007,(x+12)^(1/2)-3,True,1.0,True,1,1,0,0,0,False,False,False,225540
PSAJY7C,3851,PRAVC7B,1,,Control,2019-03-17 16:31:38.002000-04:00,2019-03-17 16:35:04.195000-04:00,1,206.193,206.189,(x/4)^(1/3),True,1.0,True,1,0,0,1,0,False,False,False,225541
PSAJY7C,3851,PRAVC7J,1,,Control,2019-03-17 16:35:09.406000-04:00,2019-03-17 16:55:37.071000-04:00,1,1227.665,1039.254,(x-1^(1/2))/(3),False,0.0,True,1,0,0,1,1,False,False,False,225542
PSAJY7C,3851,PRAVC7J,1,826442.0,Control,2019-03-17 16:52:29.436000-04:00,2019-03-17 16:55:36.854000-04:00,1,187.635,187.415,x^(1/2)-1,True,1.0,True,1,1,0,0,0,False,False,False,225544
PSAJY7C,3851,PRAVC9P,1,,Control,2019-03-17 16:55:39.787000-04:00,2019-03-17 17:11:18.468000-04:00,1,938.681,938.677,(3+3x)/(4x),True,1.0,True,1,0,0,1,0,False,False,False,225546
PSAJY7C,3851,PRAUNWQ,1,,Control,2019-03-17 17:11:21.862000-04:00,2019-03-17 17:19:03.037000-04:00,1,461.175,461.165,(-2x-8)/(2-x),True,1.0,True,1,1,0,0,0,False,False,False,225549
PSAJY7C,3851,PRAUNVQ,1,,Control,2019-03-17 17:19:10.023000-04:00,2019-03-17 17:23:57.499000-04:00,1,287.476,287.469,(8+6x)/(3x),True,1.0,True,1,1,0,0,0,False,False,False,225553
PSAJY7C,3902,PRAV3ZU,1,,Control,2019-03-14 16:21:18.710000-04:00,2019-03-14 16:21:51.990000-04:00,1,33.28,33.277,WPI,True,1.0,True,1,0,0,0,0,False,False,False,220961
PSAJY7C,3902,PRAVC9Q,1,,Control,2019-03-14 16:21:54.880000-04:00,2019-03-14 16:25:02.028000-04:00,1,187.148,,,False,0.0,False,0,0,0,1,1,False,False,False,220962
PSAJY7C,3902,PRAVC9Q,1,826515.0,Control,2019-03-14 16:22:06.387000-04:00,2019-03-14 16:25:01.986000-04:00,1,175.641,167.619,(3x+10)(x-2),False,0.0,True,2,1,0,0,0,False,False,False,220963
PSAJY7C,3902,PRAVC6X,1,,Control,2019-03-14 16:25:05.799000-04:00,2019-03-14 16:38:45.971000-04:00,1,820.172,789.451,x/4+ 1/4,False,0.0,True,2,1,0,1,1,False,False,False,220966
PSAJY7C,3902,PRAVC6X,1,826416.0,Control,2019-03-14 16:38:15.650000-04:00,2019-03-14 16:38:45.933000-04:00,1,30.307,,,True,1.0,,0,1,0,0,0,False,False,False,220982
PSAJY7C,3902,PRAVC7C,1,,Control,2019-03-14 16:38:48.196000-04:00,2019-03-14 16:43:24.662000-04:00,1,276.466,,,False,0.0,False,0,0,0,1,1,False,False,False,220983
PSAJY7C,3902,PRAVC7C,1,826434.0,Control,2019-03-14 16:42:41.864000-04:00,2019-03-14 16:43:24.607000-04:00,1,42.798,42.741,(x+12)^(1/2)-3,True,1.0,True,1,1,0,0,0,False,False,False,220987
PSAJY7C,3902,PRAVC7B,1,,Control,2019-03-14 16:43:26.602000-04:00,2019-03-25 15:58:59.717000-04:00,2,947733.115,947690.306,x/4-3/4,False,0.0,True,1,0,0,1,1,False,False,False,220989
PSAJY7C,3902,PRAVC7B,1,826430.0,Control,2019-03-25 15:58:17.244000-04:00,2019-03-25 15:58:59.666000-04:00,1,42.473,42.419,(x/4)^(1/3),True,1.0,True,1,1,0,0,0,False,False,False,256544
PSAJY7C,3902,PRAVC7J,1,,Control,2019-03-25 15:59:04.275000-04:00,,1,174.795,,,,,False,0,0,0,1,1,False,False,False,256547
PSAJY7C,3902,PRAVC7J,1,826442.0,Control,2019-03-25 16:01:04.047000-04:00,,1,55.023,55.023,,False,0.0,False,0,1,0,0,0,False,False,False,256551
PSAJY7C,3908,PRAV3ZU,1,,Control,2019-03-18 21:33:00.431000-04:00,2019-03-18 21:33:30.780000-04:00,1,30.349,30.342,WPI,True,1.0,True,1,0,0,0,0,False,False,False,230332
PSAJY7C,3908,PRAVC9Q,1,,Control,2019-03-18 21:33:33.213000-04:00,2019-03-18 21:37:36.714000-04:00,1,243.501,,,False,0.0,False,0,0,0,1,1,False,False,False,230333
PSAJY7C,3908,PRAVC9Q,1,826515.0,Control,2019-03-18 21:34:56.514000-04:00,2019-03-18 21:37:36.628000-04:00,1,160.2,145.845,(3x-10)/(x-2),False,0.0,True,2,1,0,0,0,False,False,False,230336
PSAJY7C,3908,PRAVC6X,1,,Control,2019-03-18 21:37:43.997000-04:00,2019-03-18 21:40:14.236000-04:00,1,150.239,,,False,0.0,False,0,1,0,1,1,False,False,False,230342
PSAJY7C,3908,PRAVC6X,1,826416.0,Control,2019-03-18 21:39:01.812000-04:00,2019-03-18 21:40:14.154000-04:00,1,72.424,72.34,(x-1)/4,True,1.0,True,1,1,0,0,0,False,False,False,230347
PSAJY7C,3908,PRAVC7C,1,,Control,2019-03-18 21:40:17.100000-04:00,2019-03-18 21:41:05.656000-04:00,1,48.556,,,False,0.0,False,0,0,0,1,1,False,False,False,230354
PSAJY7C,3908,PRAVC7C,1,826434.0,Control,2019-03-18 21:40:29.153000-04:00,2019-03-18 21:41:05.564000-04:00,1,36.503,36.408,(x+12)^(1/2)-3,True,1.0,True,1,1,0,0,0,False,False,False,230356
PSAJY7C,3908,PRAVC7B,1,,Control,2019-03-18 21:41:26.968000-04:00,,1,,,,,,,0,0,0,1,0,False,False,False,230362
PSAJY7C,3909,PRAV3ZU,1,,Control,2019-03-15 20:40:31.641000-04:00,2019-03-15 20:41:41.680000-04:00,1,70.039,70.007,WPI,True,1.0,True,1,0,0,0,0,False,False,False,225175
PSAJY7C,3909,PRAVC9Q,1,,Control,2019-03-15 20:41:57.284000-04:00,2019-03-15 20:49:02.376000-04:00,1,425.092,232.462,12X-30,False,0.0,True,1,0,0,1,1,False,False,False,225176
PSAJY7C,3909,PRAVC9Q,1,826515.0,Control,2019-03-15 20:45:51.982000-04:00,2019-03-15 20:49:00.984000-04:00,1,190.394,166.749,(3X+10)/(X-2),False,0.0,False,1,1,0,0,0,False,False,False,225178
PSAJY7C,3909,PRAVC6X,1,,Control,2019-03-15 20:49:19.675000-04:00,2019-03-15 20:51:30.285000-04:00,1,130.61,57.385,4X,False,0.0,True,1,1,0,1,1,False,False,False,225185
PSAJY7C,3909,PRAVC6X,1,826416.0,Control,2019-03-15 20:50:19.029000-04:00,2019-03-15 20:51:28.953000-04:00,1,71.256,69.886,(X-1)/4,True,1.0,True,1,1,0,0,0,False,False,False,225187
PSAJY7C,3909,PRAVC7C,1,,Control,2019-03-15 20:51:44.401000-04:00,2019-03-15 20:57:26.779000-04:00,1,342.378,,,False,0.0,False,0,0,0,1,1,False,False,False,225191
PSAJY7C,3909,PRAVC7C,1,826434.0,Control,2019-03-15 20:55:56.024000-04:00,2019-03-15 20:57:25.255000-04:00,1,90.755,89.208,(X+12)^(1/2)-3,True,1.0,True,1,1,0,0,0,False,False,False,225196
PSAJY7C,3909,PRAVC7B,1,,Control,2019-03-15 20:57:42.214000-04:00,2019-03-30 17:30:18.130000-04:00,2,1283555.916,1283500.544,2x/2,False,0.0,True,1,0,0,1,1,False,False,False,225198
PSAJY7C,3909,PRAVC7B,1,826430.0,Control,2019-03-30 17:29:24.844000-04:00,2019-03-30 17:30:16.944000-04:00,1,53.286,52.043,(x/4)^(1/3),True,1.0,True,1,1,0,0,0,False,False,False,280471
PSAJY7C,3909,PRAVC7J,1,,Control,2019-03-30 18:15:15.142000-04:00,,2,,,,,,,0,0,0,1,0,False,False,False,280484
PSAJY7C,3910,PRAV3ZU,1,,Control,2019-03-17 22:50:44.507000-04:00,2019-03-17 22:51:42.114000-04:00,1,57.607,57.591,WPI,True,1.0,True,1,0,0,0,0,False,False,False,225631
PSAJY7C,3910,PRAVC9Q,1,,Control,2019-03-17 22:51:44.469000-04:00,2019-03-17 22:58:35.509000-04:00,2,411.04,,,False,0.0,False,0,0,0,1,1,False,False,False,225632
PSAJY7C,3910,PRAVC9Q,1,826515.0,Control,2019-03-17 22:52:12.468000-04:00,2019-03-17 22:58:35.355000-04:00,2,383.041,373.093,(3x+10) (x-2),False,0.0,True,2,1,0,0,0,False,False,False,225633
PSAJY7C,3910,PRAVC6X,1,,Control,2019-03-17 22:58:54.086000-04:00,,1,97.635,,,,,False,0,1,0,1,0,False,False,False,225634
PSAJY7C,3912,PRAV3ZU,1,,Control,2019-03-15 21:06:26.403000-04:00,2019-03-15 21:07:19.056000-04:00,1,52.653,52.603,Worcester polytechnic institute,False,0.666666666666667,True,1,0,0,0,0,False,False,False,225206
PSAJY7C,3912,PRAVC9Q,1,,Control,2019-03-15 21:07:23.718000-04:00,2019-03-15 21:10:05.667000-04:00,1,161.949,160.87,(3x+10)/(x-2),False,0.0,False,1,0,0,1,1,False,False,False,225207
PSAJY7C,3912,PRAVC9Q,1,826515.0,Control,2019-03-15 21:07:44.577000-04:00,2019-03-15 21:10:04.944000-04:00,1,140.734,6.326,,False,0.0,False,0,1,0,0,0,False,False,False,225208
PSAJY7C,3912,PRAVC6X,1,,Control,2019-03-15 21:10:10.877000-04:00,2019-03-15 21:12:45.648000-04:00,1,154.771,153.505,(X-1)/4,False,0.0,False,1,1,0,1,1,False,False,False,225210
