experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAMR8Z,109232,PRAX2WY,1,,Nonexperimental,2021-02-08 14:21:06.628000-05:00,2021-02-08 14:21:27.414000-05:00,1,20.786,20.78,WPI,False,0.0,True,1,1,0,0,0,False,False,False,100370628
PSAMR8Z,109232,PRAXVBZ,1,,Treatment 1,2021-02-08 14:21:28.787000-05:00,2021-02-08 14:22:25.642000-05:00,1,56.855,36.346,17,False,0.0,False,1,0,0,1,0,False,False,True,100371000
PSAMR8Z,109232,PRAXVB3,1,,Treatment 1,2021-02-08 14:22:26.677000-05:00,2021-02-08 14:23:33.904000-05:00,1,67.227,31.502,84,False,0.0,True,1,0,0,1,1,False,False,False,100371901
PSAMR8Z,109232,PRAXVB3,1,928719.0,Treatment 1,2021-02-08 14:22:58.552000-05:00,2021-02-08 14:23:33.726000-05:00,1,35.352,,,False,0.0,False,0,0,0,1,0,False,False,False,100372403
PSAMR8Z,109232,PRAXVB3,1,928720.0,Treatment 1,2021-02-08 14:23:06.548000-05:00,2021-02-08 14:23:33.523000-05:00,1,,,,False,0.0,False,0,0,0,1,0,False,False,False,100372522
PSAMR8Z,109232,PRAXVB3,1,928721.0,Treatment 1,2021-02-08 14:23:08.335000-05:00,2021-02-08 14:23:33.228000-05:00,1,,,,False,0.0,False,0,0,0,1,0,False,False,False,100372538
PSAMR8Z,109232,PRAXVB3,1,928722.0,Treatment 1,2021-02-08 14:23:09.261000-05:00,2021-02-08 14:23:32.992000-05:00,1,,,,False,0.0,False,0,0,0,1,0,False,False,False,100372556
PSAMR8Z,109232,PRAXVB3,1,928723.0,Treatment 1,2021-02-08 14:23:10.953000-05:00,2021-02-08 14:23:32.650000-05:00,1,,1.767,83,False,0.0,False,1,0,0,0,0,False,False,True,100372588
PSAMR8Z,109232,PRAX44U,1,,Treatment 1,2021-02-08 14:23:37.887000-05:00,2021-02-08 14:24:12.656000-05:00,1,34.769,34.766,127,True,1.0,True,1,0,0,1,0,False,False,False,100373010
PSAMR8Z,109232,PRAXVCC,1,,Treatment 1,2021-02-08 14:24:13.808000-05:00,2021-02-08 14:24:41.139000-05:00,1,27.331,27.327,113,True,1.0,True,1,1,0,0,0,False,False,False,100373564
PSAMR8Z,109232,PRABJVF,1,,Treatment 1,2021-02-08 14:24:41.688000-05:00,2021-02-08 14:25:13.170000-05:00,1,31.482,31.477,58%,True,1.0,True,1,1,0,0,0,False,False,False,100373997
PSAMR8Z,109257,PRAX2WY,1,,Nonexperimental,2021-02-08 14:28:29.077000-05:00,2021-02-08 14:29:13.938000-05:00,1,44.861,44.854,WPI,False,0.0,True,1,1,0,0,0,False,False,False,100377414
PSAMR8Z,109257,PRAXVBZ,1,,Treatment 1,2021-02-08 14:29:15.746000-05:00,2021-02-08 19:00:43.567000-05:00,1,16287.821,16287.8,17,True,1.0,True,1,0,0,1,0,False,False,False,100378106
PSAMR8Z,109257,PRAXVB3,1,,Treatment 1,2021-02-08 19:00:58.957000-05:00,2021-02-08 19:19:39.810000-05:00,1,1120.853,1120.849,83,True,1.0,True,1,0,0,1,0,False,False,False,100513139
PSAMR8Z,109257,PRAX44U,1,,Treatment 1,2021-02-08 19:29:30.106000-05:00,2021-02-08 19:38:42.960000-05:00,1,552.854,520.524,79%,False,0.0,True,1,0,0,1,1,False,False,False,100537262
PSAMR8Z,109257,PRAX44U,1,940231.0,Treatment 1,2021-02-08 19:38:10.945000-05:00,2021-02-08 19:38:42.804000-05:00,1,32.015,9.8,78%,False,0.0,True,1,0,0,1,0,False,False,False,100539023
PSAMR8Z,109257,PRAX44U,1,940232.0,Treatment 1,2021-02-08 19:38:21.066000-05:00,2021-02-08 19:38:42.610000-05:00,1,,21.541,127,True,1.0,True,1,0,0,1,0,False,False,False,100539056
PSAMR8Z,109257,PRAXVCC,1,,Treatment 1,2021-02-08 19:38:44.589000-05:00,2021-02-08 19:41:18.280000-05:00,1,153.691,36.919,112,False,0.0,True,3,1,0,0,0,False,False,False,100539146
PSAMR8Z,109257,PRABJVF,1,,Treatment 1,2021-02-08 19:41:28-05:00,2021-02-08 19:41:45.130000-05:00,1,17.13,17.126,58,True,1.0,True,1,1,0,0,0,False,False,False,100539711
PSAMR8Z,109257,PRABJVQ,1,,Treatment 1,2021-02-08 19:41:45.649000-05:00,2021-02-08 19:41:55.207000-05:00,1,9.558,9.556,4,True,1.0,True,1,0,0,0,0,False,False,False,100539777
PSAMR8Z,109257,PRABJVT,1,,Treatment 1,2021-02-08 19:41:55.985000-05:00,2021-02-08 19:42:26.704000-05:00,1,30.719,14.015,2,False,0.666666666666667,True,2,1,0,0,0,False,False,False,100539824
PSAMR8Z,109257,PRABJVE,1,,Treatment 1,2021-02-08 19:42:27.213000-05:00,2021-02-08 19:44:37.042000-05:00,1,129.829,117.363,2,False,0.666666666666667,True,2,1,0,0,0,False,False,False,100539932
PSAMR8Z,109257,PRABJVK,1,,Treatment 1,2021-02-08 19:44:38.736000-05:00,2021-02-08 19:44:46.318000-05:00,1,7.582,7.579,67,True,1.0,True,1,1,0,0,0,False,False,False,100540350
PSAMR8Z,109257,PRABJVM,1,,Treatment 1,2021-02-08 19:44:47.986000-05:00,2021-02-08 19:45:43.590000-05:00,1,55.604,24.804,116,False,0.0,True,4,1,0,0,0,False,False,False,100540380
PSAMR8Z,109257,PRABJVN,1,,Treatment 1,2021-02-08 19:45:44.242000-05:00,2021-02-08 19:45:54.479000-05:00,1,10.237,10.235,40,True,1.0,True,1,1,0,0,0,False,False,False,100540555
PSAMR8Z,109257,PRABJVP,1,,Treatment 1,2021-02-08 19:45:55.017000-05:00,2021-02-08 19:46:10.735000-05:00,1,15.718,12.247,10,False,0.666666666666667,True,2,1,0,0,0,False,False,False,100540588
PSAMR8Z,109257,PRABJVR,1,,Treatment 1,2021-02-08 19:46:13.369000-05:00,2021-02-08 19:46:39.861000-05:00,1,26.492,20.751,15,False,0.666666666666667,True,2,1,0,0,0,False,False,False,100540653
PSAMR8Z,109257,PRABJVS,1,,Treatment 1,2021-02-08 19:46:40.425000-05:00,2021-02-08 19:46:54.553000-05:00,1,14.128,14.126,180,True,1.0,True,1,1,0,0,0,False,False,False,100540742
PSAMR8Z,109257,PRABJVU,1,,Treatment 1,2021-02-08 19:46:55.780000-05:00,2021-02-08 19:47:32.320000-05:00,1,36.54,36.538,36,True,1.0,True,1,1,0,0,0,False,False,False,100540788
PSAMR8Z,109257,PRABJVV,1,,Treatment 1,2021-02-08 19:47:33.061000-05:00,2021-02-08 19:48:29.077000-05:00,1,56.016,56.012,69,True,1.0,True,1,1,0,0,0,False,False,False,100540939
PSAMR8Z,109258,PRAXWSW,1,,Nonexperimental,2021-02-08 14:11:24.833000-05:00,2021-02-08 14:15:38.334000-05:00,1,253.501,253.47,WPI,False,0.0,True,1,1,0,0,0,False,False,False,100361473
PSAMR8Z,109258,PRAXVG2,1,,Treatment 3,2021-02-08 14:15:40.821000-05:00,2021-02-12 13:59:39.254000-05:00,2,344638.433,344480.549,320,False,0.0,True,1,0,0,1,1,False,False,False,100365419
PSAMR8Z,109258,PRAXVG2,1,928937.0,Treatment 3,2021-02-12 13:57:01.835000-05:00,2021-02-12 13:59:39.057000-05:00,1,157.419,37.036,333%,False,0.0,True,1,0,0,1,0,False,False,False,102274750
PSAMR8Z,109258,PRAXVG2,1,928938.0,Treatment 3,2021-02-12 13:57:39.317000-05:00,2021-02-12 13:59:38.786000-05:00,1,,59.504,320%,False,0.0,True,1,0,0,1,0,False,False,False,102275090
PSAMR8Z,109258,PRAXVG2,1,928939.0,Treatment 3,2021-02-12 13:58:39.248000-05:00,2021-02-12 13:59:38.524000-05:00,1,,29.68,366%,False,0.0,True,1,0,0,1,0,False,False,False,102275620
PSAMR8Z,109258,PRAXVG2,1,928940.0,Treatment 3,2021-02-12 13:59:09.420000-05:00,2021-02-12 13:59:38.171000-05:00,1,,8.218,367%,False,0.0,True,1,0,0,1,0,False,False,False,102275897
PSAMR8Z,109258,PRAXVG2,1,928941.0,Treatment 3,2021-02-12 13:59:18.189000-05:00,2021-02-12 13:59:37.684000-05:00,1,,19.49,367,True,1.0,True,1,0,0,0,0,False,False,False,102275965
PSAMR8Z,109258,PRAXVG8,1,,Treatment 3,2021-02-12 13:59:42.921000-05:00,2021-02-12 14:00:50.275000-05:00,1,67.354,49.096,83.3,False,0.0,True,1,0,0,1,1,False,False,False,102276199
PSAMR8Z,109258,PRAXVG8,1,928950.0,Treatment 3,2021-02-12 14:00:32.468000-05:00,2021-02-12 14:00:50.070000-05:00,1,17.807,9.63,83.3%,False,0.0,True,1,0,0,1,0,False,False,False,102276566
PSAMR8Z,109258,PRAXVG8,1,928951.0,Treatment 3,2021-02-12 14:00:42.564000-05:00,2021-02-12 14:00:49.790000-05:00,1,,7.223,83,True,1.0,True,1,0,0,1,0,False,False,False,102276646
PSAMR8Z,109258,PRAXVG9,1,,Treatment 3,2021-02-12 14:00:55.501000-05:00,2021-02-12 14:02:51.570000-05:00,2,116.069,116.06,127,True,1.0,True,1,0,0,1,0,False,False,False,102276756
PSAMR8Z,109258,PRABJVH,1,,Treatment 3,2021-02-12 14:02:52.372000-05:00,,1,,,,,,,0,1,0,0,0,False,False,False,102277723
PSAMR8Z,109311,PRAXWSW,1,,Nonexperimental,2021-02-08 14:33:28.406000-05:00,2021-02-08 14:33:51.812000-05:00,1,23.406,23.389,WPI,False,0.0,True,1,1,0,0,0,False,False,False,100382017
PSAMR8Z,109311,PRAXVG2,1,,Treatment 3,2021-02-08 14:33:56.220000-05:00,2021-02-08 14:35:59.357000-05:00,1,123.137,85.892,27,False,0.0,True,3,0,0,1,1,False,False,False,100382488
PSAMR8Z,109311,PRAXVG2,1,928937.0,Treatment 3,2021-02-08 14:35:22.559000-05:00,2021-02-08 14:35:59.177000-05:00,1,7.859,,,True,1.0,,0,0,0,1,0,False,False,False,100383936
PSAMR8Z,109311,PRAXVG8,1,,Treatment 3,2021-02-08 14:36:02.129000-05:00,2021-02-08 14:36:57.396000-05:00,1,55.267,55.262,83,True,1.0,True,1,0,0,1,0,False,False,False,100384621
PSAMR8Z,109311,PRAXVG9,1,,Treatment 3,2021-02-08 14:36:58.261000-05:00,2021-02-08 14:37:54.932000-05:00,1,56.671,56.665,127,True,1.0,True,1,0,0,1,0,False,False,False,100385532
PSAMR8Z,109311,PRABJVH,1,,Treatment 3,2021-02-08 14:37:56.173000-05:00,2021-02-08 14:39:22.653000-05:00,1,86.48,18.299,88,False,0.0,True,5,1,3,0,0,False,False,False,100386476
PSAMR8Z,109311,PRABJVF,1,,Treatment 3,2021-02-08 14:39:25.014000-05:00,2021-02-08 14:40:25.261000-05:00,1,60.247,60.237,58,True,1.0,True,1,1,0,0,0,False,False,False,100387841
PSAMR8Z,109311,PRAXWBT,1,,Treatment 3,2021-02-08 14:40:26.310000-05:00,2021-02-08 14:44:47.915000-05:00,1,261.605,29.926,25,False,0.666666666666667,True,2,1,0,0,0,False,False,False,100388827
PSAMR8Z,109311,PRABJVT,1,,Treatment 3,2021-02-08 14:44:50.240000-05:00,2021-02-08 14:45:55.203000-05:00,1,64.963,31.012,180,False,0.0,True,3,1,3,0,0,False,False,False,100501638
PSAMR8Z,109311,PRABJVE,1,,Treatment 3,2021-02-08 14:45:55.976000-05:00,2021-02-08 14:47:20.709000-05:00,1,84.733,84.729,50,True,1.0,True,1,1,0,0,0,False,False,False,100501928
PSAMR8Z,109311,PRABJVK,1,,Treatment 3,2021-02-08 14:47:21.647000-05:00,2021-02-08 14:48:09.050000-05:00,1,47.403,42.963,66.67,False,0.666666666666667,True,2,1,0,0,0,False,False,False,100502349
PSAMR8Z,109311,PRABJVM,1,,Treatment 3,2021-02-08 14:48:12.411000-05:00,2021-02-08 14:48:46.143000-05:00,1,33.732,18.251,86,False,0.0,True,3,1,3,0,0,False,False,True,100502579
PSAMR8Z,109311,PRABJVN,1,,Treatment 3,2021-02-08 14:48:48.198000-05:00,2021-02-08 14:52:52.511000-05:00,1,244.313,244.306,40,True,1.0,True,1,1,0,0,0,False,False,False,100502737
PSAMR8Z,109311,PRABJVP,1,,Treatment 3,2021-02-08 14:52:54.445000-05:00,2021-02-08 14:53:19.403000-05:00,1,24.958,24.954,100,True,1.0,True,1,1,0,0,0,False,False,False,100503939
PSAMR8Z,109311,PRABJVR,1,,Treatment 3,2021-02-08 14:53:21.510000-05:00,2021-02-08 14:53:53.469000-05:00,1,31.959,31.952,150,True,1.0,True,1,1,0,0,0,False,False,False,100504080
