experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSAMR8Z,202121,0,0,26,24,115,20.167,25.693,0.37681159420289856,1.7043478260869565,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,202390,0,0,29,27,131,35.1,43.764,0.5466666666666666,1.4580152671755724,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,203638,0,0,20,19,100,23.2335,25.9085,0.7586206896551724,1.19,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,204909,0,0,20,17,82,36.455,40.9575,0.6458333333333334,1.353658536585366,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,206909,0,0,25,19,101,45.063,72.638,0.32786885245901637,1.8217821782178218,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,207607,0,0,18,14,85,32.879,51.105,0.13725490196078433,1.4941176470588236,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,217878,0,0,19,13,46,62.896,81.9015,0.4,1.4130434782608696,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,291951,0,0,10,4,16,56.0885,75.326,0.0,1.625,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,376830,0,0,5,3,18,116.05,151.314,0.3333333333333333,1.4444444444444444,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,339301,0,0,0,0,0,,,,,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,200884,0,0,27,27,127,39.351,59.453,0.32857142857142857,1.6614173228346456,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,200939,0,0,17,7,34,19.461,28.7615,0.2916666666666667,1.647058823529412,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,201442,0,0,27,27,125,22.167,28.303,0.5072463768115942,1.376,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,201503,0,0,29,28,128,66.0505,86.861,0.5211267605633803,1.5234375,17814,2020-04-03 10:20:18.491000-04:00,22,0,43,0.0,0.0,39.7463002114165,81.1170212765958,1483,46.171,34.331,0.43568945538818077,1.5151719487525288,200763,2020-04-03 14:15:45.205000+00:00,650.0,New York,No,None
PSAMR8Z,324539,7,4,0,0,17,28.619,45.075,0.7647058823529411,1.5294117647058825,24454,2020-04-20 15:58:09.938000-04:00,8,9,0,36.1111111111111,61.5384615384615,0.0,0.0,96,41.8305,35.9385,0.6770833333333334,1.7083333333333333,239480,2020-04-08 19:54:31.171000+00:00,1953.0,Pennsylvania,No,None
PSAMR8Z,355098,2,1,0,0,3,5.756,5.758,1.0,1.0,24454,2020-04-20 15:58:09.938000-04:00,8,9,0,36.1111111111111,61.5384615384615,0.0,0.0,96,41.8305,35.9385,0.6770833333333334,1.7083333333333333,239480,2020-04-08 19:54:31.171000+00:00,1953.0,Pennsylvania,No,None
PSAMR8Z,324903,4,4,0,0,16,22.459,22.4655,0.8125,1.25,24454,2020-04-20 15:58:09.938000-04:00,8,9,0,36.1111111111111,61.5384615384615,0.0,0.0,96,41.8305,35.9385,0.6770833333333334,1.7083333333333333,239480,2020-04-08 19:54:31.171000+00:00,1953.0,Pennsylvania,No,None
