experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAQJFP,250,2020-10-23 13:45:12.392000-04:00,2020-10-30 13:47:00-04:00,2020-10-23 13:46:58.768000-04:00,,1,,,,,,Treatment 4,,,1.0,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,8463237
PSAQJFP,999,2020-09-17 08:20:00-04:00,2020-09-22 08:30:00-04:00,2020-09-17 09:25:19.172000-04:00,2020-09-17 09:28:15.914000-04:00,1,,,,,,Treatment 1,166.256,24.1126,5.0,4.0,1.0,,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,5643656
PSAQJFP,2344,2020-09-17 08:20:00-04:00,2020-09-22 08:30:00-04:00,2020-09-17 08:25:58.079000-04:00,2020-09-17 08:26:32.014000-04:00,1,,,,,,Treatment 4,31.649,10.5483333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,5635254
PSAQJFP,2634,2019-04-24 10:45:02.817000-04:00,,2019-04-25 10:18:55.467000-04:00,,1,,,,,,Treatment 2,791.126,63.4611,10.0,0.0,0.0,,4.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,,,,,,59778
PSAQJFP,2649,2020-09-17 08:20:00-04:00,2020-09-22 08:30:00-04:00,2020-09-22 09:16:22.932000-04:00,2020-09-22 09:17:06.983000-04:00,1,,,,,,Treatment 4,32.436,10.797,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,6012569
PSAQJFP,4295,2019-05-02 08:00:00-04:00,2019-05-02 15:00:00-04:00,2019-05-02 08:49:13.190000-04:00,2019-05-02 08:50:01.192000-04:00,1,,,,,,Treatment 3,42.705,14.2313333333333,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,64796
PSAQJFP,4433,2019-05-02 08:00:00-04:00,2019-05-02 15:00:00-04:00,2019-05-02 08:41:55.114000-04:00,2019-05-02 08:43:51.992000-04:00,1,,,,,,Treatment 3,110.667,22.15625,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,64751
PSAQJFP,4434,2019-05-02 08:00:00-04:00,2019-05-02 15:00:00-04:00,2019-05-02 08:39:38.745000-04:00,2019-05-02 08:42:18.465000-04:00,1,,,,,,Treatment 3,148.391,17.0353333333333,6.0,5.0,1.0,,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,64721
PSAQJFP,4435,2019-05-02 08:00:00-04:00,2019-05-02 15:00:00-04:00,2019-05-02 08:46:13.177000-04:00,2019-05-02 08:47:09.569000-04:00,1,,,,,,Treatment 4,51.682,17.2236666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,64783
PSAQJFP,4437,2019-05-02 08:00:00-04:00,2019-05-02 15:00:00-04:00,2019-05-02 08:38:39.153000-04:00,2019-05-02 08:46:02.016000-04:00,1,,,,,,Treatment 3,437.181,38.1712,10.0,7.0,3.0,,10.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,64716
PSAQJFP,4438,2019-05-02 08:00:00-04:00,2019-05-02 15:00:00-04:00,2019-05-02 08:41:07.711000-04:00,2019-05-02 08:42:17.833000-04:00,1,,,,,,Treatment 2,64.906,21.631,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,64740
