experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAQJFP,250,PRA3RVX,1,,Treatment 4,2020-10-23 13:46:59.116000-04:00,,1,,,,,,,0,1,0,0,0,False,False,False,64873828
PSAQJFP,999,PRA3RVW,1,,Treatment 1,2020-09-17 09:25:19.897000-04:00,2020-09-17 09:26:14.941000-04:00,1,55.044,55.036,34,True,1.0,True,1,1,0,0,0,False,False,False,44262487
PSAQJFP,999,PRA3RVZ,1,,Treatment 1,2020-09-17 09:26:17.750000-04:00,2020-09-17 09:27:10.918000-04:00,1,53.168,7.499,-4,False,0.666666666666667,True,2,1,0,0,0,False,False,False,44263602
PSAQJFP,999,PRA3RV4,1,,Treatment 1,2020-09-17 09:27:13.154000-04:00,2020-09-17 09:27:43.399000-04:00,1,30.245,30.24,24,True,1.0,True,1,1,0,0,0,False,False,False,44264723
PSAQJFP,999,PRA3RV7,1,,Treatment 1,2020-09-17 09:27:45.990000-04:00,2020-09-17 09:27:55.328000-04:00,1,9.338,9.334,13,True,1.0,True,1,1,0,0,0,False,False,False,44265410
PSAQJFP,999,PRA3RWA,1,,Treatment 1,2020-09-17 09:27:57.327000-04:00,2020-09-17 09:28:15.788000-04:00,1,18.461,18.454,54,True,1.0,True,1,1,0,0,0,False,False,False,44265673
PSAQJFP,2344,PRA3RVX,1,,Treatment 4,2020-09-17 08:25:58.331000-04:00,2020-09-17 08:26:16.890000-04:00,1,18.559,18.557,34,True,1.0,True,1,1,0,0,0,False,False,False,44217584
PSAQJFP,2344,PRA3RV2,1,,Treatment 4,2020-09-17 08:26:17.940000-04:00,2020-09-17 08:26:23.709000-04:00,1,5.769,5.768,4,True,1.0,True,1,1,0,0,0,False,False,False,44217712
PSAQJFP,2344,PRA3RV5,1,,Treatment 4,2020-09-17 08:26:24.675000-04:00,2020-09-17 08:26:31.996000-04:00,1,7.321,7.32,24,True,1.0,True,1,1,0,0,0,False,False,False,44217762
PSAQJFP,2634,PRA3RVY,1,,Treatment 2,2019-04-25 10:18:56-04:00,2019-04-25 10:22:18.714000-04:00,1,202.714,192.706,1*07,False,0.0,True,2,1,0,0,0,False,False,True,394724
PSAQJFP,2634,PRA3RV3,1,,Treatment 2,2019-04-25 10:22:21.163000-04:00,2019-04-25 10:23:33.256000-04:00,1,72.093,44.487,-38,False,0.0,True,2,1,0,0,0,False,False,True,394767
PSAQJFP,2634,PRA3RV6,1,,Treatment 2,2019-04-25 10:23:34.458000-04:00,2019-04-25 10:24:46.647000-04:00,1,72.189,6.914,1,False,0.0,True,3,1,0,0,0,False,False,True,394770
PSAQJFP,2634,PRA3RV9,1,,Treatment 2,2019-04-25 10:24:47.822000-04:00,2019-04-25 10:25:02.584000-04:00,1,14.762,7.993,13,False,0.0,False,1,1,0,0,0,False,False,True,394777
PSAQJFP,2634,PRA3RWC,1,,Treatment 2,2019-04-25 10:25:03.627000-04:00,2019-04-25 10:26:13.214000-04:00,1,69.587,63.097,54,False,0.0,False,1,1,0,0,0,False,False,True,394778
PSAQJFP,2634,PRA3RWF,1,,Treatment 2,2019-04-25 10:26:14.342000-04:00,2019-04-25 10:27:03.584000-04:00,1,49.242,40.992,14,False,0.0,False,1,1,0,0,0,False,False,True,394781
PSAQJFP,2634,PRA3RWJ,1,,Treatment 2,2019-04-25 10:27:04.811000-04:00,2019-04-25 10:29:08.844000-04:00,1,124.033,110.367,34,False,0.0,False,1,1,0,0,0,False,False,True,394783
