experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAQJFP,250,,,,,assignment_started,2020-10-23 13:46:58.768000-04:00,381131649
PSAQJFP,250,PRA3RVX,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Inconsistent [treatment4],problem_started,2020-10-23 13:46:59.116000-04:00,381131652
PSAQJFP,999,,,,,assignment_started,2020-09-17 09:25:19.172000-04:00,258215234
PSAQJFP,999,PRA3RVW,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],problem_started,2020-09-17 09:25:19.897000-04:00,258215237
PSAQJFP,999,PRA3RVW,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],correct_response,2020-09-17 09:26:14.933000-04:00,258221224
PSAQJFP,999,PRA3RVW,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],problem_finished,2020-09-17 09:26:14.941000-04:00,258221572
PSAQJFP,999,,,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],continue_selected,2020-09-17 09:26:17.611000-04:00,258221573
PSAQJFP,999,PRA3RVZ,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],problem_started,2020-09-17 09:26:17.750000-04:00,258221574
PSAQJFP,999,PRA3RVZ,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],wrong_response,2020-09-17 09:26:25.249000-04:00,258222465
PSAQJFP,999,PRA3RVZ,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],correct_response,2020-09-17 09:27:10.912000-04:00,258228157
PSAQJFP,999,PRA3RVZ,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],problem_finished,2020-09-17 09:27:10.918000-04:00,258228158
PSAQJFP,999,,,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],continue_selected,2020-09-17 09:27:13.027000-04:00,258228159
PSAQJFP,999,PRA3RV4,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],problem_started,2020-09-17 09:27:13.154000-04:00,258228160
PSAQJFP,999,PRA3RV4,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],correct_response,2020-09-17 09:27:43.394000-04:00,258231873
PSAQJFP,999,PRA3RV4,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],problem_finished,2020-09-17 09:27:43.399000-04:00,258232127
PSAQJFP,999,,,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],continue_selected,2020-09-17 09:27:45.841000-04:00,258232129
PSAQJFP,999,PRA3RV7,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],problem_started,2020-09-17 09:27:45.990000-04:00,258232130
PSAQJFP,999,PRA3RV7,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],correct_response,2020-09-17 09:27:55.324000-04:00,258233287
PSAQJFP,999,PRA3RV7,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],problem_finished,2020-09-17 09:27:55.328000-04:00,258233583
PSAQJFP,999,,,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],continue_selected,2020-09-17 09:27:57.189000-04:00,258233584
PSAQJFP,999,PRA3RWA,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],problem_started,2020-09-17 09:27:57.327000-04:00,258233585
PSAQJFP,999,PRA3RWA,1.0,,Order of Operations no exponents 7.NS.A.3. EX/Consistent [treatment1],correct_response,2020-09-17 09:28:15.781000-04:00,258235709
