experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAR5JG,84686,PRA44FG,1,,Unknown,2020-04-22 11:37:59.390000-04:00,2020-04-22 11:38:39.797000-04:00,1,40.407,40.397,I am ready to start the problem set now,True,1.0,True,1,0,0,0,0,False,False,False,17586904
PSAR5JG,84686,PRA44FH,1,,Control,2020-04-22 11:38:42.686000-04:00,,1,,,,,,,0,1,0,0,0,False,False,False,17587632
PSAR5JG,84689,PRA44FG,1,,Unknown,2020-04-21 14:26:03.057000-04:00,2020-04-21 14:26:16.996000-04:00,1,13.939,13.931,I am ready to start the problem set now,True,1.0,True,1,0,0,0,0,False,False,False,17174672
PSAR5JG,84689,PRA3VGT,1,,Treatment 2,2020-04-21 14:26:25.665000-04:00,2020-04-21 14:30:49.528000-04:00,1,263.863,,,False,0.0,False,0,0,0,2,2,False,False,False,17175085
PSAR5JG,84689,PRA3VGT,1,1089477.0,Treatment 2,2020-04-21 14:27:59.873000-04:00,2020-04-21 14:28:17.348000-04:00,1,20.32,8.3,C),False,0.0,True,3,0,0,0,0,False,False,False,17176953
PSAR5JG,84689,PRA3VGT,1,1089478.0,Treatment 2,2020-04-21 14:28:20.280000-04:00,2020-04-21 14:30:49.403000-04:00,1,149.248,13.257,10,False,0.0,False,3,1,0,0,0,False,False,True,17177152
PSAR5JG,84689,PRA3VTC,1,,Treatment 2,2020-04-21 14:30:53.877000-04:00,2020-04-21 14:34:24.896000-04:00,1,211.019,164.245,50,False,0.0,False,1,0,0,2,2,False,False,False,17180027
PSAR5JG,84689,PRA3VTC,1,1089821.0,Treatment 2,2020-04-21 14:33:33.176000-04:00,2020-04-21 14:34:03.211000-04:00,1,27.365,9.314,D),False,0.0,True,5,0,0,0,0,False,False,False,17183087
PSAR5JG,84689,PRA3VTC,1,1089822.0,Treatment 2,2020-04-21 14:34:05.010000-04:00,2020-04-21 14:34:24.750000-04:00,1,19.886,7.683,50,False,0.0,False,3,1,0,0,0,False,False,True,17183675
PSAR5JG,84689,PRA3SJP,1,,Treatment 2,2020-04-21 14:34:27.613000-04:00,2020-04-21 14:35:08.132000-04:00,1,40.519,3.897,44,False,0.0,True,1,0,0,2,2,False,False,False,17184130
PSAR5JG,84689,PRA3SJP,1,1086319.0,Treatment 2,2020-04-21 14:34:31.779000-04:00,2020-04-21 14:34:46.607000-04:00,1,15.897,5.239,C),False,0.0,True,4,0,0,0,0,False,False,False,17184212
PSAR5JG,84689,PRA3SJP,1,1086320.0,Treatment 2,2020-04-21 14:34:47.759000-04:00,2020-04-21 14:35:07.988000-04:00,1,20.373,2.125,67,False,0.0,False,3,1,0,0,0,False,False,True,17184510
PSAR5JG,84689,PRA38E7,1,,Unknown,2020-04-21 14:35:12.147000-04:00,2020-04-21 14:38:24.728000-04:00,1,192.581,188.582,3,False,0.0,False,1,1,0,0,0,False,False,True,17184987
PSAR5JG,84689,PRA38FF,1,,Unknown,2020-04-21 14:38:28.144000-04:00,2020-04-21 14:39:01.826000-04:00,1,33.682,30.202,4,False,0.0,False,1,1,0,0,0,False,False,True,17188596
PSAR5JG,84689,PRA38FG,1,,Unknown,2020-04-21 14:39:03.339000-04:00,2020-04-21 14:39:08.910000-04:00,1,5.571,2.54,144,False,0.0,False,1,1,0,0,0,False,False,True,17189168
PSAR5JG,84689,PRA38FQ,1,,Unknown,2020-04-21 14:39:10.303000-04:00,2020-04-21 14:39:19.433000-04:00,1,9.13,1.817,1 1/2,False,0.0,False,1,1,0,0,0,False,False,True,17189294
PSAR5JG,84689,PRA38F8,1,,Unknown,2020-04-21 14:39:21.418000-04:00,2020-04-21 14:39:29.480000-04:00,1,8.062,3.128,3/10,False,0.0,False,1,1,0,0,0,False,False,True,17189491
PSAR5JG,84689,PRA4NGV,1,,Unknown,2020-04-21 14:39:30.568000-04:00,2020-04-21 14:39:35.052000-04:00,1,4.484,4.479,4. Pizza problem (3/4 of a pizza divided into 1/4 parts),False,0.0,True,1,0,0,0,0,False,False,False,17189644
PSAR5JG,84692,PRA44FG,1,,Unknown,2020-04-13 20:52:14.198000-04:00,2020-04-13 20:52:35.373000-04:00,1,21.175,21.158,I am ready to start the problem set now,True,1.0,True,1,0,0,0,0,False,False,False,14206151
PSAR5JG,84692,PRA3VGT,1,,Treatment 2,2020-04-13 20:52:38.550000-04:00,2020-04-13 20:55:18.565000-04:00,1,160.015,95.521,0.25,False,0.0,True,1,0,0,2,2,False,False,False,14206229
PSAR5JG,84692,PRA3VGT,1,1089477.0,Treatment 2,2020-04-13 20:54:14.550000-04:00,2020-04-13 20:54:36.253000-04:00,1,23.112,13.449,C),False,0.0,True,3,0,0,0,0,False,False,False,14206492
PSAR5JG,84692,PRA3VGT,1,1089478.0,Treatment 2,2020-04-13 20:54:37.818000-04:00,2020-04-13 20:55:18.313000-04:00,1,40.747,40.485,3/8,True,1.0,True,1,1,0,0,0,False,False,False,14206552
PSAR5JG,84692,PRA3VTC,1,,Treatment 2,2020-04-13 20:55:18.994000-04:00,,1,,,,,,,0,0,0,2,0,False,False,False,14206679
PSAR5JG,84697,PRA44FG,1,,Unknown,2020-04-09 14:56:49.952000-04:00,2020-04-09 14:59:14.113000-04:00,1,144.161,144.15,I am ready to start the problem set now,True,1.0,True,1,0,0,0,0,False,False,False,13466224
PSAR5JG,84697,PRA3VGT,1,,Treatment 2,2020-04-09 14:59:17.053000-04:00,2020-04-09 15:05:40.419000-04:00,1,383.366,383.267,3/8,True,1.0,True,1,0,0,2,0,False,False,False,13467532
PSAR5JG,84697,PRA3VTC,1,,Treatment 2,2020-04-09 15:05:41.592000-04:00,2020-04-09 15:06:59.058000-04:00,1,77.466,77.454,5,True,1.0,True,1,0,0,2,0,False,False,False,13470886
PSAR5JG,84697,PRA3SJP,1,,Treatment 2,2020-04-09 15:06:59.472000-04:00,2020-04-09 15:07:19.641000-04:00,1,20.169,20.163,4 1/2,True,1.0,True,1,0,0,2,0,False,False,False,13471465
PSAR5JG,84697,PRA38E7,1,,Unknown,2020-04-09 15:07:20.249000-04:00,2020-04-09 15:07:56.154000-04:00,1,35.905,35.898,3,True,1.0,True,1,1,0,0,0,False,False,False,13471627
PSAR5JG,84697,PRA38FF,1,,Unknown,2020-04-09 15:07:56.548000-04:00,2020-04-09 15:08:46.751000-04:00,1,50.203,21.975,1/4,False,0.0,True,3,1,0,0,0,False,False,True,13471949
PSAR5JG,84697,PRA38FG,1,,Unknown,2020-04-09 15:08:47.193000-04:00,2020-04-09 15:13:00.974000-04:00,1,253.781,241.049,1 7/9,False,0.666666666666667,True,2,1,0,0,0,False,False,False,13472385
