experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSAS25R,359750,PRAV3ZU,1,,Unknown,2020-05-13 10:17:22.680000-04:00,2020-05-13 10:17:52.891000-04:00,1,30.211,30.207,WPI,True,1.0,True,1,0,0,0,0,False,False,False,25558264
PSAS25R,359750,PRAVPH6,1,,Control,2020-05-13 10:17:54.504000-04:00,2020-05-13 10:19:06.907000-04:00,1,72.403,51.992,0.87,False,0.333333333333333,True,3,1,0,0,0,False,False,False,25558672
PSAS25R,359750,PRAVPJV,1,,Control,2020-05-13 10:19:07.735000-04:00,2020-05-13 10:19:53.871000-04:00,1,46.136,46.134,1.7319,True,1.0,True,1,1,0,0,0,False,False,False,25559636
PSAS25R,359750,PRAVPJ8,1,,Control,2020-05-13 10:19:54.626000-04:00,2020-05-13 10:20:22.612000-04:00,1,27.986,27.984,0.7072,True,1.0,True,1,1,0,0,0,False,False,False,25560208
PSAS25R,359750,PRAVPKK,1,,Control,2020-05-13 10:20:23.143000-04:00,2020-05-13 10:20:51.027000-04:00,1,27.884,27.882,0.7072,True,1.0,True,1,1,0,0,0,False,False,False,25560586
PSAS25R,360239,PRAV3ZU,1,,Unknown,2020-05-14 03:26:41.309000-04:00,2020-05-14 03:27:17.114000-04:00,1,35.805,35.8,WPI,True,1.0,True,1,0,0,0,0,False,False,False,25953368
PSAS25R,360239,PRAVPNK,1,,Treatment,2020-05-14 03:27:19.318000-04:00,2020-05-14 03:29:33.887000-04:00,1,134.569,134.565,0.8660,True,1.0,True,1,1,0,0,0,False,False,False,25953385
PSAS25R,360239,PRAVPNM,1,,Treatment,2020-05-14 03:29:35.602000-04:00,2020-05-14 03:30:41.851000-04:00,1,66.249,66.246,1.7320,True,1.0,True,1,1,0,0,0,False,False,False,25953429
PSAS25R,360239,PRAVPNN,1,,Treatment,2020-05-14 03:30:43.366000-04:00,2020-05-14 03:32:01.089000-04:00,1,77.723,77.72,0.7072,True,1.0,True,1,1,0,0,0,False,False,False,25953456
PSAS25R,360250,PRAV3ZU,1,,Unknown,2020-05-14 12:42:04.219000-04:00,2020-05-14 12:42:36.518000-04:00,1,32.299,32.292,WPI,True,1.0,True,1,0,0,0,0,False,False,False,26154925
PSAS25R,360250,PRAVPH6,1,,Control,2020-05-14 12:42:40.385000-04:00,2020-05-18 12:10:53.645000-04:00,2,343693.26,343693.247,0.8660,True,1.0,True,1,1,0,0,0,False,False,False,26155490
PSAS25R,360250,PRAVPJV,1,,Control,2020-05-18 12:10:55.729000-04:00,2020-05-18 12:13:36.380000-04:00,1,160.651,160.644,1.7320,True,1.0,True,1,1,0,0,0,False,False,False,26924214
PSAS25R,360250,PRAVPJ8,1,,Control,2020-05-18 12:13:37.149000-04:00,2020-05-18 12:15:32.470000-04:00,1,115.321,115.315,0.7072,True,1.0,True,1,1,0,0,0,False,False,False,26926348
PSAS25R,360352,PRAV3ZU,1,,Unknown,2020-05-13 12:54:46.886000-04:00,2020-05-13 12:55:23.119000-04:00,1,36.233,36.224,WPI,True,1.0,True,1,0,0,0,0,False,False,False,25692186
