experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAS25R,359750,,,,,assignment_started,2020-05-13 10:17:22.259000-04:00,148306365
PSAS25R,359750,PRAV3ZU,1.0,,Trigonometric Ratios G-SRT.C.8 EX,problem_started,2020-05-13 10:17:22.680000-04:00,148306367
PSAS25R,359750,PRAV3ZU,1.0,,Trigonometric Ratios G-SRT.C.8 EX,correct_response,2020-05-13 10:17:52.887000-04:00,148308622
PSAS25R,359750,PRAV3ZU,1.0,,Trigonometric Ratios G-SRT.C.8 EX,problem_finished,2020-05-13 10:17:52.891000-04:00,148308754
PSAS25R,359750,,,,Trigonometric Ratios G-SRT.C.8 EX,continue_selected,2020-05-13 10:17:53.956000-04:00,148308755
PSAS25R,359750,PRAVPH6,1.0,,Trigonometric Ratios G-SRT.C.8 EX/Choose/Con [control],problem_started,2020-05-13 10:17:54.504000-04:00,148308758
PSAS25R,359750,PRAVPH6,1.0,,Trigonometric Ratios G-SRT.C.8 EX/Choose/Con [control],wrong_response,2020-05-13 10:18:46.496000-04:00,148312765
PSAS25R,359750,PRAVPH6,1.0,,Trigonometric Ratios G-SRT.C.8 EX/Choose/Con [control],wrong_response,2020-05-13 10:18:57.568000-04:00,148314248
PSAS25R,359750,PRAVPH6,1.0,,Trigonometric Ratios G-SRT.C.8 EX/Choose/Con [control],correct_response,2020-05-13 10:19:06.904000-04:00,148314371
PSAS25R,359750,PRAVPH6,1.0,,Trigonometric Ratios G-SRT.C.8 EX/Choose/Con [control],problem_finished,2020-05-13 10:19:06.907000-04:00,148314372
PSAS25R,359750,,,,Trigonometric Ratios G-SRT.C.8 EX/Choose/Con [control],continue_selected,2020-05-13 10:19:07.683000-04:00,148314373
PSAS25R,359750,PRAVPJV,1.0,,Trigonometric Ratios G-SRT.C.8 EX/Choose/Con [control],problem_started,2020-05-13 10:19:07.735000-04:00,148314374
PSAS25R,359750,PRAVPJV,1.0,,Trigonometric Ratios G-SRT.C.8 EX/Choose/Con [control],correct_response,2020-05-13 10:19:53.869000-04:00,148317628
PSAS25R,359750,PRAVPJV,1.0,,Trigonometric Ratios G-SRT.C.8 EX/Choose/Con [control],problem_finished,2020-05-13 10:19:53.871000-04:00,148317713
