experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSASA4B,225594,0,0,42,33,430,23.52,27.142,0.7480106100795756,1.2,9219,2020-03-16 10:12:01.410000-04:00,16,0,84,0.0,0.0,36.0119047619048,76.6528925619835,5233,28.201,23.601,0.7649901164067647,1.2728836231607108,116416,2020-03-16 10:11:48.291000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,217400,3,3,44,30,406,25.5595,30.496,0.8365122615803815,1.2733990147783252,9219,2020-03-16 10:12:01.410000-04:00,16,0,84,0.0,0.0,36.0119047619048,76.6528925619835,5233,28.201,23.601,0.7649901164067647,1.2728836231607108,116416,2020-03-16 10:11:48.291000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,247096,3,3,30,15,208,44.5405,52.2975,0.7309941520467836,1.2932692307692308,9219,2020-03-16 10:12:01.410000-04:00,16,0,84,0.0,0.0,36.0119047619048,76.6528925619835,5233,28.201,23.601,0.7649901164067647,1.2728836231607108,116416,2020-03-16 10:11:48.291000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,167312,0,0,11,8,130,32.4625,38.501,0.5867768595041323,1.6153846153846154,9219,2020-03-16 10:12:01.410000-04:00,16,0,84,0.0,0.0,36.0119047619048,76.6528925619835,5233,28.201,23.601,0.7649901164067647,1.2728836231607108,116416,2020-03-16 10:11:48.291000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,367340,0,0,25,14,168,52.7945,74.465,0.7142857142857143,1.625,9219,2020-03-16 10:12:01.410000-04:00,16,0,84,0.0,0.0,36.0119047619048,76.6528925619835,5233,28.201,23.601,0.7649901164067647,1.2728836231607108,116416,2020-03-16 10:11:48.291000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,119404,0,0,67,62,787,17.217,19.646,0.8660578386605784,1.1613722998729352,9219,2020-03-16 10:12:01.410000-04:00,16,0,84,0.0,0.0,36.0119047619048,76.6528925619835,5233,28.201,23.601,0.7649901164067647,1.2728836231607108,116416,2020-03-16 10:11:48.291000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,122810,0,0,63,61,770,19.7785,21.8965,0.8892307692307693,1.1142857142857143,9219,2020-03-16 10:12:01.410000-04:00,16,0,84,0.0,0.0,36.0119047619048,76.6528925619835,5233,28.201,23.601,0.7649901164067647,1.2728836231607108,116416,2020-03-16 10:11:48.291000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,158596,3,3,20,14,238,64.2975,86.3775,0.6650943396226415,1.5336134453781514,9219,2020-03-16 10:12:01.410000-04:00,16,0,84,0.0,0.0,36.0119047619048,76.6528925619835,5233,28.201,23.601,0.7649901164067647,1.2728836231607108,116416,2020-03-16 10:11:48.291000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,341449,0,0,63,33,558,20.3205,28.171,0.6313645621181263,1.331541218637993,9219,2020-03-16 10:12:01.410000-04:00,16,0,84,0.0,0.0,36.0119047619048,76.6528925619835,5233,28.201,23.601,0.7649901164067647,1.2728836231607108,116416,2020-03-16 10:11:48.291000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,123611,2,2,35,26,255,19.354,23.422,0.7916666666666666,1.2,9707,2020-03-17 11:06:01.250000-04:00,18,3,71,75.9259259259259,90.2439024390244,37.8716744913928,82.6446280991736,3730,43.941,34.94,0.6923828125,1.3018766756032172,120349,2020-03-17 10:28:43.533000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,124611,2,2,49,44,418,38.495,46.17,0.8470588235294118,1.1435406698564592,9707,2020-03-17 11:06:01.250000-04:00,18,3,71,75.9259259259259,90.2439024390244,37.8716744913928,82.6446280991736,3730,43.941,34.94,0.6923828125,1.3018766756032172,120349,2020-03-17 10:28:43.533000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,165152,0,0,18,13,117,36.886,39.577,0.8383838383838383,1.1452991452991452,9707,2020-03-17 11:06:01.250000-04:00,18,3,71,75.9259259259259,90.2439024390244,37.8716744913928,82.6446280991736,3730,43.941,34.94,0.6923828125,1.3018766756032172,120349,2020-03-17 10:28:43.533000-04:00,2302.0,New Jersey,Yes,None
PSASA4B,118155,3,3,50,50,471,42.624,50.235,0.8851174934725848,1.1146496815286624,9707,2020-03-17 11:06:01.250000-04:00,18,3,71,75.9259259259259,90.2439024390244,37.8716744913928,82.6446280991736,3730,43.941,34.94,0.6923828125,1.3018766756032172,120349,2020-03-17 10:28:43.533000-04:00,2302.0,New Jersey,Yes,None
