experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSASA67,98151,,,,,assignment_started,2020-10-28 12:24:19.170000-04:00,393031120
PSASA67,98151,PRA4MUZ,1.0,,Elapsed time  2.MD.C.7 EX/Study,problem_started,2020-10-28 12:24:19.653000-04:00,393031123
PSASA67,98151,PRA4MUZ,1.0,,Elapsed time  2.MD.C.7 EX/Study,correct_response,2020-10-28 12:24:36.926000-04:00,393033542
PSASA67,98151,PRA4MUZ,1.0,,Elapsed time  2.MD.C.7 EX/Study,problem_finished,2020-10-28 12:24:36.930000-04:00,393033811
PSASA67,98151,,,,Elapsed time  2.MD.C.7 EX/Study,continue_selected,2020-10-28 12:24:38.453000-04:00,393033812
PSASA67,98151,PRA33CK,1.0,,Elapsed time  2.MD.C.7 EX/Study/True/TextFB [ignore],problem_started,2020-10-28 12:24:38.874000-04:00,393033815
PSASA67,98151,PRA33CK,1.0,,Elapsed time  2.MD.C.7 EX/Study/True/TextFB [ignore],correct_response,2020-10-28 12:25:17.735000-04:00,393038883
PSASA67,98151,PRA33CK,1.0,,Elapsed time  2.MD.C.7 EX/Study/True/TextFB [ignore],problem_finished,2020-10-28 12:25:17.739000-04:00,393039109
PSASA67,98151,,,,Elapsed time  2.MD.C.7 EX/Study/True/TextFB [ignore],continue_selected,2020-10-28 12:25:18.611000-04:00,393039110
PSASA67,98151,PRA47EY,1.0,,Elapsed time  2.MD.C.7 EX/Study/True/TextFB [ignore]/If right [control1],problem_started,2020-10-28 12:25:19.148000-04:00,393039114
PSASA67,98151,PRA47EY,1.0,,Elapsed time  2.MD.C.7 EX/Study/True/TextFB [ignore]/If right [control1],correct_response,2020-10-28 12:26:15.316000-04:00,393045681
PSASA67,98151,PRA47EY,1.0,,Elapsed time  2.MD.C.7 EX/Study/True/TextFB [ignore]/If right [control1],problem_finished,2020-10-28 12:26:15.319000-04:00,393045805
PSASA67,98151,,,,Elapsed time  2.MD.C.7 EX/Study/True/TextFB [ignore]/If right [control1],continue_selected,2020-10-28 12:26:16.313000-04:00,393045806
PSASA67,98151,PRA39T8,1.0,,Elapsed time  2.MD.C.7 EX/Study/True/TextFB [ignore]/If right [control1],problem_started,2020-10-28 12:26:16.559000-04:00,393045807
