experiment_id,student_id,student_prior_started_skill_builder_count,student_prior_completed_skill_builder_count,student_prior_started_problem_set_count,student_prior_completed_problem_set_count,student_prior_completed_problem_count,student_prior_median_first_response_time,student_prior_median_time_on_task,student_prior_average_correctness,student_prior_average_attempt_count,class_id,class_creation_date,class_student_count,class_prior_skill_builder_count,class_prior_problem_set_count,class_prior_skill_builder_percent_started,class_prior_skill_builder_percent_completed,class_prior_problem_set_percent_started,class_prior_problem_set_percent_completed,class_prior_completed_problem_count,class_prior_median_time_on_task,class_prior_median_first_response_time,class_prior_average_correctness,class_prior_average_attempt_count,teacher_id,teacher_account_creation_date,district_id,location,opportunity_zone,locale_description
PSASDZY,166871,3,1,24,23,207,51.733,60.95,0.5588235294117647,1.4202898550724639,3577,2019-09-17 19:16:14.966000-04:00,15,3,35,73.3333333333333,93.9393939393939,61.3333333333333,92.5465838509317,2778,59.47,51.0275,0.7652136383254208,1.316414686825054,45717,2019-09-17 19:16:00.491000-04:00,285.0,North Carolina,No,None
PSASDZY,174437,3,3,25,25,228,49.707,60.3,0.7958115183246073,1.3070175438596492,3577,2019-09-17 19:16:14.966000-04:00,15,3,35,73.3333333333333,93.9393939393939,61.3333333333333,92.5465838509317,2778,59.47,51.0275,0.7652136383254208,1.316414686825054,45717,2019-09-17 19:16:00.491000-04:00,285.0,North Carolina,No,None
PSASDZY,47201,3,3,24,24,217,33.248,37.1,0.8277777777777777,1.2119815668202765,3577,2019-09-17 19:16:14.966000-04:00,15,3,35,73.3333333333333,93.9393939393939,61.3333333333333,92.5465838509317,2778,59.47,51.0275,0.7652136383254208,1.316414686825054,45717,2019-09-17 19:16:00.491000-04:00,285.0,North Carolina,No,None
PSASDZY,161652,3,3,25,25,228,63.9845,70.879,0.8795811518324608,1.293859649122807,3577,2019-09-17 19:16:14.966000-04:00,15,3,35,73.3333333333333,93.9393939393939,61.3333333333333,92.5465838509317,2778,59.47,51.0275,0.7652136383254208,1.316414686825054,45717,2019-09-17 19:16:00.491000-04:00,285.0,North Carolina,No,None
PSASDZY,158053,3,3,24,24,209,68.119,70.013,0.8914285714285715,1.1100478468899522,3577,2019-09-17 19:16:14.966000-04:00,15,3,35,73.3333333333333,93.9393939393939,61.3333333333333,92.5465838509317,2778,59.47,51.0275,0.7652136383254208,1.316414686825054,45717,2019-09-17 19:16:00.491000-04:00,285.0,North Carolina,No,None
PSASDZY,195682,3,3,25,24,226,50.418,63.4005,0.631578947368421,1.5442477876106195,3577,2019-09-17 19:16:14.966000-04:00,15,3,35,73.3333333333333,93.9393939393939,61.3333333333333,92.5465838509317,2778,59.47,51.0275,0.7652136383254208,1.316414686825054,45717,2019-09-17 19:16:00.491000-04:00,285.0,North Carolina,No,None
PSASDZY,154652,3,3,25,25,235,52.577,58.023,0.7575757575757576,1.3063829787234043,3577,2019-09-17 19:16:14.966000-04:00,15,3,35,73.3333333333333,93.9393939393939,61.3333333333333,92.5465838509317,2778,59.47,51.0275,0.7652136383254208,1.316414686825054,45717,2019-09-17 19:16:00.491000-04:00,285.0,North Carolina,No,None
PSASDZY,192515,3,3,25,24,219,39.624,45.052,0.8315789473684211,1.360730593607306,3577,2019-09-17 19:16:14.966000-04:00,15,3,35,73.3333333333333,93.9393939393939,61.3333333333333,92.5465838509317,2778,59.47,51.0275,0.7652136383254208,1.316414686825054,45717,2019-09-17 19:16:00.491000-04:00,285.0,North Carolina,No,None
PSASDZY,180981,3,3,25,25,232,39.7445,41.8105,0.8615384615384616,1.1767241379310345,3577,2019-09-17 19:16:14.966000-04:00,15,3,35,73.3333333333333,93.9393939393939,61.3333333333333,92.5465838509317,2778,59.47,51.0275,0.7652136383254208,1.316414686825054,45717,2019-09-17 19:16:00.491000-04:00,285.0,North Carolina,No,None
PSASDZY,240678,1,1,14,8,106,73.6355,101.914,0.7108433734939759,1.4433962264150944,3577,2019-09-17 19:16:14.966000-04:00,15,3,35,73.3333333333333,93.9393939393939,61.3333333333333,92.5465838509317,2778,59.47,51.0275,0.7652136383254208,1.316414686825054,45717,2019-09-17 19:16:00.491000-04:00,285.0,North Carolina,No,None
