experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSASRKH,9841,PRA5EW7,1,,Unknown,2020-05-18 13:13:20.520000-04:00,,1,,,,,,,0,0,0,0,0,False,False,False,26978326
PSASRKH,35949,PRA5EW7,1,,Unknown,2020-05-07 13:32:01.858000-04:00,2020-05-07 13:33:19.997000-04:00,1,78.139,78.126,1,True,1.0,True,1,0,0,0,0,False,False,False,23767200
PSASRKH,35949,PRA446U,1,,Control 1,2020-05-07 13:33:22.132000-04:00,2020-05-07 13:37:36.672000-04:00,1,254.54,22.018,16,False,0.0,True,4,1,0,0,0,False,False,True,23768641
PSASRKH,35949,PRA448E,1,,Control 1,2020-05-07 13:37:38.043000-04:00,2020-05-07 18:59:20.136000-04:00,2,19302.093,19302.059,430,True,1.0,True,1,1,0,0,0,False,False,False,23772988
PSASRKH,35949,PRA448Z,1,,Control 1,2020-05-07 18:59:21.594000-04:00,2020-05-07 19:06:12.596000-04:00,1,411.002,410.993,5,True,1.0,True,1,1,0,0,0,False,False,False,23948967
PSASRKH,35949,PRA446X,1,,Control 1,2020-05-07 19:06:20.438000-04:00,2020-05-07 19:14:42.802000-04:00,1,502.364,502.356,57,True,1.0,True,1,1,0,0,0,False,False,False,23950838
PSASRKH,35962,PRA5EW7,1,,Unknown,2020-05-07 09:22:47.771000-04:00,2020-05-07 09:23:01.928000-04:00,1,14.157,14.144,1,True,1.0,True,1,0,0,0,0,False,False,False,23532784
PSASRKH,35962,PRA4YZ4,1,,Treatment 2,2020-05-07 09:23:04.614000-04:00,2020-05-07 09:25:23.843000-04:00,1,139.229,42.326,36,False,0.0,True,1,0,0,3,3,False,False,False,23532950
PSASRKH,35962,PRA4YZ4,1,1131430.0,Treatment 2,2020-05-07 09:23:48.973000-04:00,2020-05-07 09:24:45.349000-04:00,1,58.958,33.349,20,False,0.0,True,2,1,0,0,0,False,False,False,23533370
PSASRKH,35962,PRA4YZ4,1,1131431.0,Treatment 2,2020-05-07 09:24:48.828000-04:00,2020-05-07 09:25:00.321000-04:00,1,13.205,11.484,6,True,1.0,True,1,1,0,0,0,False,False,False,23533959
PSASRKH,35962,PRA4YZ4,1,1131432.0,Treatment 2,2020-05-07 09:25:03.011000-04:00,2020-05-07 09:25:21.617000-04:00,1,20.832,18.598,26,True,1.0,True,1,1,0,0,0,False,False,False,23534096
PSASRKH,35962,PRA432V,1,,Treatment 2,2020-05-07 09:25:45.133000-04:00,2020-05-07 09:28:33.130000-04:00,1,167.997,58.648,130,False,0.0,True,1,0,0,3,3,False,False,False,23534526
PSASRKH,35962,PRA432V,1,1136683.0,Treatment 2,2020-05-07 09:26:47.990000-04:00,2020-05-07 09:27:50.433000-04:00,1,65.451,62.425,280,True,1.0,True,1,1,0,0,0,False,False,False,23535187
PSASRKH,35962,PRA432V,1,1136684.0,Treatment 2,2020-05-07 09:27:54.752000-04:00,2020-05-07 09:28:09.599000-04:00,1,18.037,14.833,150,True,1.0,True,1,1,0,0,0,False,False,False,23535923
PSASRKH,35962,PRA432V,1,1136685.0,Treatment 2,2020-05-07 09:28:14.312000-04:00,2020-05-07 09:28:29.880000-04:00,1,18.818,15.555,430,True,1.0,True,1,1,0,0,0,False,False,False,23536163
PSASRKH,35962,PRA4339,1,,Treatment 2,2020-05-07 09:28:38.926000-04:00,2020-05-07 09:29:04.625000-04:00,1,25.699,25.686,5,True,1.0,True,1,0,0,3,0,False,False,False,23536444
PSASRKH,35962,PRA4Y2M,1,,Treatment 2,2020-05-07 09:29:08.091000-04:00,2020-05-07 09:30:50.608000-04:00,1,102.517,40.091,42,False,0.0,True,1,0,0,3,3,False,False,False,23536746
PSASRKH,35962,PRA4Y2M,1,1131476.0,Treatment 2,2020-05-07 09:29:53.527000-04:00,2020-05-07 09:30:07.159000-04:00,1,16.319,7.473,60,False,0.0,True,2,1,0,0,0,False,False,False,23537229
PSASRKH,35962,PRA4Y2M,1,1131477.0,Treatment 2,2020-05-07 09:30:11.296000-04:00,2020-05-07 09:30:21.636000-04:00,1,12.973,10.327,15,True,1.0,True,1,1,0,0,0,False,False,False,23537503
PSASRKH,35962,PRA4Y2M,1,1131478.0,Treatment 2,2020-05-07 09:30:25.654000-04:00,2020-05-07 09:30:47.098000-04:00,1,24.954,21.432,57,True,1.0,True,1,1,0,0,0,False,False,False,23537552
PSASRKH,35962,PRA432X,1,,Treatment 2,2020-05-07 09:30:55.206000-04:00,2020-05-07 09:32:32.739000-04:00,1,97.533,97.523,272,True,1.0,True,1,0,0,3,0,False,False,False,23537882
PSASRKH,35962,PRA434A,1,,Treatment 2,2020-05-07 09:32:35.940000-04:00,2020-05-07 09:33:06.794000-04:00,1,30.854,30.846,9,True,1.0,True,1,0,0,3,0,False,False,False,23539031
PSASRKH,35962,PRA43VD,1,,Treatment 2,2020-05-07 09:33:10.861000-04:00,2020-05-07 09:33:25.279000-04:00,1,14.418,14.399,40,True,1.0,True,1,0,0,3,0,False,False,False,23539441
PSASRKH,35968,PRA5EW7,1,,Unknown,2020-05-07 08:03:19.883000-04:00,2020-05-07 08:03:47.057000-04:00,1,27.174,27.164,0,False,0.0,True,1,0,0,0,0,False,False,False,23503791
PSASRKH,35968,PRA4JDC,1,,Nonexperimental,2020-05-07 08:03:48.364000-04:00,2020-05-07 08:06:27.097000-04:00,1,158.733,41.038,200,False,0.0,True,4,1,0,0,0,False,False,True,23503860
PSASRKH,35968,PRA4JDX,1,,Nonexperimental,2020-05-07 08:06:30.277000-04:00,2020-05-07 08:10:01.508000-04:00,2,211.231,72.137,48,False,0.0,True,4,1,0,0,0,False,False,True,23504320
