experiment_id,student_id,problem_id,problem_part,scaffold_id,problem_condition,start_time,end_time,session_count,time_on_task,first_response_or_request_time,first_answer,correct,reported_score,answer_before_tutoring,attempt_count,hints_available,hints_given,scaffold_problems_available,scaffold_problems_given,explanation_available,explanation_given,answer_given,assistments_reference_problem_log_id
PSATP2Z,28951,PRA5K4M,1,,Unknown,2021-02-15 13:33:28.647000-05:00,2021-02-15 13:33:33.816000-05:00,1,5.169,5.16,I am ready to work until I get three right in a row.,True,1.0,True,1,0,0,0,0,False,False,False,102462843
PSATP2Z,28951,PRA4MUZ,1,,Unknown,2021-02-15 13:33:35.369000-05:00,2021-02-15 13:34:30.926000-05:00,1,55.557,55.55,WPI,True,1.0,True,1,0,0,0,0,False,False,False,102462857
PSATP2Z,28951,PRA5GH8,1,,Unknown,2021-02-15 13:34:34.480000-05:00,2021-02-15 13:37:21.263000-05:00,1,166.783,40.219,3/3,False,0.0,True,5,1,1,0,0,False,False,True,102462987
PSATP2Z,28951,PRA5GH4,1,,Unknown,2021-02-15 13:37:23.074000-05:00,2021-02-15 13:42:01.005000-05:00,1,277.931,41.05,1,False,0.0,False,10,1,1,0,0,False,False,True,102463367
PSATP2Z,28951,PRA5GJC,1,,Unknown,2021-02-15 13:42:01.982000-05:00,,1,91.611,65.207,5/6,False,0.0,True,2,1,1,0,0,False,False,True,102463931
PSATP2Z,29344,PRA5K4M,1,,Unknown,2021-02-15 13:21:57.131000-05:00,2021-02-15 13:22:02.135000-05:00,1,5.004,4.996,I am ready to work until I get three right in a row.,True,1.0,True,1,0,0,0,0,False,False,False,102461221
PSATP2Z,29344,PRA4MUZ,1,,Unknown,2021-02-15 13:22:04.236000-05:00,2021-02-15 13:23:30.423000-05:00,1,86.187,86.178,wpi,True,1.0,True,1,0,0,0,0,False,False,False,102461248
PSATP2Z,29344,PRA5GJA,1,,Unknown,2021-02-15 13:23:33.636000-05:00,2021-02-15 13:25:11.421000-05:00,1,97.785,20.675,13/11,False,0.0,True,3,1,1,0,0,False,False,True,102461483
PSATP2Z,29344,PRA5GJB,1,,Unknown,2021-02-15 13:25:13.235000-05:00,2021-02-15 13:25:27.464000-05:00,1,14.229,7.187,2/6,False,0.666666666666667,True,2,1,0,0,0,False,False,False,102461702
PSATP2Z,29344,PRA5GJC,1,,Unknown,2021-02-15 13:25:28.513000-05:00,2021-02-15 13:26:22.888000-05:00,1,54.375,54.37,1 7/11,True,1.0,True,1,1,0,0,0,False,False,False,102461732
PSATP2Z,29344,PRA4RDP,1,,Unknown,2021-02-15 13:26:24.200000-05:00,2021-02-15 13:28:25.510000-05:00,1,121.31,106.063,2/6,False,0.0,True,2,1,1,0,0,False,False,True,102461860
PSATP2Z,29344,PRA4RDG,1,,Unknown,2021-02-15 13:28:26.613000-05:00,2021-02-15 13:28:35.059000-05:00,1,8.446,8.429,1,True,1.0,True,1,1,0,0,0,False,False,False,102462111
PSATP2Z,29344,PRA4REG,1,,Unknown,2021-02-15 13:28:37.072000-05:00,2021-02-15 13:28:52.511000-05:00,1,15.439,15.435,1 1/7,True,1.0,True,1,1,0,0,0,False,False,False,102462138
PSATP2Z,29344,PRA4RD6,1,,Unknown,2021-02-15 13:28:53.793000-05:00,2021-02-15 13:29:14.682000-05:00,1,20.889,20.881,1 1/7,True,1.0,True,1,1,0,0,0,False,False,False,102462176
PSATP2Z,29344,PRA5K23,1,,Unknown,2021-02-15 13:29:16.563000-05:00,2021-02-15 13:29:24.307000-05:00,1,7.744,7.738,Okay,True,1.0,True,1,0,0,0,0,False,False,False,102462232
PSATP2Z,29344,PRA4REQ,1,,Posttest,2021-02-15 13:29:26.069000-05:00,2021-02-15 13:29:56.223000-05:00,1,30.154,30.15,1 1/7,True,1.0,True,1,0,0,1,0,False,False,False,102462257
PSATP2Z,29344,PRA4RES,1,,Posttest,2021-02-15 13:29:57.440000-05:00,2021-02-15 13:30:11.379000-05:00,1,13.939,13.933,1/4,True,1.0,True,1,0,0,1,0,False,False,False,102462344
PSATP2Z,29344,PRA4RDD,1,,Posttest,2021-02-15 13:30:12.590000-05:00,2021-02-15 13:30:37.422000-05:00,1,24.832,,,False,0.0,False,0,0,0,1,1,False,False,False,102462390
PSATP2Z,29344,PRA4RDD,1,1160660.0,Posttest,2021-02-15 13:30:30.766000-05:00,2021-02-15 13:30:37.203000-05:00,1,6.656,6.429,Okay,True,1.0,True,1,0,0,0,0,False,False,False,102462432
PSATP2Z,29346,PRA5K4M,1,,Unknown,2021-02-15 10:25:45.014000-05:00,2021-02-15 10:26:07.268000-05:00,1,22.254,22.246,I am ready to work until I get three right in a row.,True,1.0,True,1,0,0,0,0,False,False,False,102436247
PSATP2Z,29346,PRA4MUZ,1,,Unknown,2021-02-15 10:26:11.877000-05:00,2021-02-15 10:27:38.221000-05:00,1,86.344,86.336,wpi,True,1.0,True,1,0,0,0,0,False,False,False,102436313
PSATP2Z,29346,PRA4RDF,1,,Unknown,2021-02-15 10:27:46.961000-05:00,2021-02-15 10:29:29.810000-05:00,1,102.849,17.751,2/10,False,0.666666666666667,True,2,1,0,0,0,False,False,False,102436584
PSATP2Z,29346,PRA4RDG,1,,Unknown,2021-02-15 10:30:07.064000-05:00,2021-02-15 10:30:30.706000-05:00,1,23.642,17.408,1/2,False,0.666666666666667,True,2,1,0,0,0,False,False,False,102436975
