experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSATZEJ,28406,,,,,assignment_started,2020-09-30 13:01:22.629000-04:00,308079961
PSATZEJ,28406,PRA4MUZ,1.0,,Multiplying Fractions 5.NF.B.4a EX ,problem_started,2020-09-30 13:01:22.966000-04:00,308079963
PSATZEJ,28406,PRA4MUZ,1.0,,Multiplying Fractions 5.NF.B.4a EX ,correct_response,2020-09-30 13:01:39.734000-04:00,308082311
PSATZEJ,28406,PRA4MUZ,1.0,,Multiplying Fractions 5.NF.B.4a EX ,problem_finished,2020-09-30 13:01:39.744000-04:00,308082521
PSATZEJ,28406,,,,Multiplying Fractions 5.NF.B.4a EX ,continue_selected,2020-09-30 13:01:40.556000-04:00,308082522
PSATZEJ,28406,PRA5K5P,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C,problem_started,2020-09-30 13:01:41.090000-04:00,308082525
PSATZEJ,28406,PRA5K5P,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C,wrong_response,2020-09-30 13:01:50.540000-04:00,308083763
PSATZEJ,28406,PRA5K5P,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C,problem_finished,2020-09-30 13:01:50.545000-04:00,308084063
PSATZEJ,28406,,,,Multiplying Fractions 5.NF.B.4a EX /Study/C,continue_selected,2020-09-30 13:01:52.047000-04:00,308084064
PSATZEJ,28406,PRAX5A4,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C/C - Text [treatment2],problem_started,2020-09-30 13:01:52.563000-04:00,308084068
PSATZEJ,28406,PRAX5A4,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C/C - Text [treatment2],correct_response,2020-09-30 13:02:22.536000-04:00,308088039
PSATZEJ,28406,PRAX5A4,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C/C - Text [treatment2],problem_finished,2020-09-30 13:02:22.541000-04:00,308088138
PSATZEJ,28406,,,,Multiplying Fractions 5.NF.B.4a EX /Study/C/C - Text [treatment2],continue_selected,2020-09-30 13:02:23.016000-04:00,308088139
PSATZEJ,28406,PRAX5A5,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C/C - Text [treatment2],problem_started,2020-09-30 13:02:23.162000-04:00,308088140
PSATZEJ,28406,PRAX5A5,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C/C - Text [treatment2],correct_response,2020-09-30 13:02:34.164000-04:00,308089716
PSATZEJ,28406,PRAX5A5,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C/C - Text [treatment2],problem_finished,2020-09-30 13:02:34.168000-04:00,308089812
PSATZEJ,28406,,,,Multiplying Fractions 5.NF.B.4a EX /Study/C/C - Text [treatment2],continue_selected,2020-09-30 13:02:34.618000-04:00,308089813
PSATZEJ,28406,PRAX5A6,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C/C - Text [treatment2],problem_started,2020-09-30 13:02:34.742000-04:00,308089814
PSATZEJ,28406,PRAX5A6,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C/C - Text [treatment2],correct_response,2020-09-30 13:02:51.830000-04:00,308092198
PSATZEJ,28406,PRAX5A6,1.0,,Multiplying Fractions 5.NF.B.4a EX /Study/C/C - Text [treatment2],problem_finished,2020-09-30 13:02:51.834000-04:00,308092217
PSATZEJ,28406,,,,,assignment_finished,2020-09-30 13:02:52.088000-04:00,308092231
PSATZEJ,29147,,,,,assignment_started,2020-10-01 09:59:52.925000-04:00,311518631
PSATZEJ,29147,PRA4MUZ,1.0,,Multiplying Fractions 5.NF.B.4a EX ,problem_started,2020-10-01 09:59:53.626000-04:00,311518633
PSATZEJ,29147,PRA4MUZ,1.0,,Multiplying Fractions 5.NF.B.4a EX ,correct_response,2020-10-01 10:00:28.899000-04:00,311522780
PSATZEJ,29147,PRA4MUZ,1.0,,Multiplying Fractions 5.NF.B.4a EX ,problem_finished,2020-10-01 10:00:28.908000-04:00,311522885
PSATZEJ,29147,,,,Multiplying Fractions 5.NF.B.4a EX ,continue_selected,2020-10-01 10:00:29.165000-04:00,311522886
