experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAU4JD,16,,,,,assignment_started,2021-02-17 10:45:21.866000-05:00,605578706
PSAU4JD,16,PRA4MW7,1.0,,Fluently divide within 100  3.OA.C.7 EX,problem_started,2021-02-17 10:45:21.979000-05:00,605578708
PSAU4JD,16,PRA4MW7,1.0,,Fluently divide within 100  3.OA.C.7 EX,wrong_response,2021-02-17 10:45:34.425000-05:00,605579490
PSAU4JD,16,PRA4MW7,1.0,,Fluently divide within 100  3.OA.C.7 EX,problem_finished,2021-02-17 10:45:34.427000-05:00,605579607
PSAU4JD,16,,,,Fluently divide within 100  3.OA.C.7 EX,continue_selected,2021-02-17 10:45:36.108000-05:00,605579608
PSAU4JD,16,PRA4PVV,1.0,,Fluently divide within 100  3.OA.C.7 EX,problem_started,2021-02-17 10:45:36.134000-05:00,605579609
PSAU4JD,16,PRA4PVV,1.0,,Fluently divide within 100  3.OA.C.7 EX,correct_response,2021-02-17 10:45:42.727000-05:00,605580031
PSAU4JD,16,PRA4PVV,1.0,,Fluently divide within 100  3.OA.C.7 EX,problem_finished,2021-02-17 10:45:42.728000-05:00,605580156
PSAU4JD,16,,,,Fluently divide within 100  3.OA.C.7 EX,continue_selected,2021-02-17 10:45:44.437000-05:00,605580157
PSAU4JD,16,PRA36M5,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_started,2021-02-17 10:45:44.601000-05:00,605580159
PSAU4JD,16,PRA36M5,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,correct_response,2021-02-17 10:45:49.241000-05:00,605580443
PSAU4JD,16,PRA36M5,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_finished,2021-02-17 10:45:49.243000-05:00,605580530
PSAU4JD,16,,,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,continue_selected,2021-02-17 10:45:50.784000-05:00,605580531
PSAU4JD,16,PRA36K2,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_started,2021-02-17 10:45:50.812000-05:00,605580532
PSAU4JD,16,PRA36K2,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,correct_response,2021-02-17 10:45:57.867000-05:00,605580971
PSAU4JD,16,PRA36K2,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_finished,2021-02-17 10:45:57.870000-05:00,605581046
PSAU4JD,16,,,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,continue_selected,2021-02-17 10:45:59.103000-05:00,605581047
PSAU4JD,16,PRA36KX,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_started,2021-02-17 10:45:59.134000-05:00,605581048
PSAU4JD,16,PRA36KX,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,wrong_response,2021-02-17 10:46:03.255000-05:00,605581336
PSAU4JD,16,PRA36KX,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,correct_response,2021-02-17 10:46:07.168000-05:00,605581811
PSAU4JD,16,PRA36KX,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_finished,2021-02-17 10:46:07.171000-05:00,605581812
PSAU4JD,16,,,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,continue_selected,2021-02-17 10:46:09.595000-05:00,605581813
PSAU4JD,16,PRA36MP,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_started,2021-02-17 10:46:09.624000-05:00,605581814
PSAU4JD,16,PRA36MP,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,correct_response,2021-02-17 10:46:13.011000-05:00,605581995
PSAU4JD,16,PRA36MP,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_finished,2021-02-17 10:46:13.013000-05:00,605582102
PSAU4JD,16,,,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,continue_selected,2021-02-17 10:46:14.318000-05:00,605582103
PSAU4JD,16,PRA36MQ,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_started,2021-02-17 10:46:14.352000-05:00,605582104
PSAU4JD,16,PRA36MQ,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,correct_response,2021-02-17 10:46:17.799000-05:00,605582339
PSAU4JD,16,PRA36MQ,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_finished,2021-02-17 10:46:17.800000-05:00,605582498
PSAU4JD,16,,,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,continue_selected,2021-02-17 10:46:19.933000-05:00,605582499
PSAU4JD,16,PRA36MT,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_started,2021-02-17 10:46:19.961000-05:00,605582500
PSAU4JD,16,PRA36MT,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,correct_response,2021-02-17 10:46:23.198000-05:00,605582701
PSAU4JD,16,PRA36MT,1.0,,Fluently divide within 100  3.OA.C.7 EX/Base Skill Builder,problem_finished,2021-02-17 10:46:23.199000-05:00,605582821
PSAU4JD,16,,,,Fluently divide within 100  3.OA.C.7 EX,continue_selected,2021-02-17 10:46:24.561000-05:00,605582823
PSAU4JD,16,PRA4Q2A,1.0,,Fluently divide within 100  3.OA.C.7 EX/Choice or No Choice/No Choice,problem_started,2021-02-17 10:46:24.717000-05:00,605582826
PSAU4JD,16,PRA4Q2A,1.0,,Fluently divide within 100  3.OA.C.7 EX/Choice or No Choice/No Choice,correct_response,2021-02-17 10:46:27.327000-05:00,605583004
PSAU4JD,16,PRA4Q2A,1.0,,Fluently divide within 100  3.OA.C.7 EX/Choice or No Choice/No Choice,problem_finished,2021-02-17 10:46:27.328000-05:00,605583154
