experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAU6Y4,17372,2020-05-04 12:34:55.388000-04:00,2020-05-09 00:59:00-04:00,2020-05-09 11:56:26.280000-04:00,,1,,,,,,Treatment 4,,,1.0,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,3060309
PSAU6Y4,17379,2020-05-04 12:34:55.388000-04:00,2020-05-09 00:59:00-04:00,2020-05-06 15:13:48.178000-04:00,,1,,,,,,Not Assigned,,,,,,,,,,,,,,,,,,,,,,2939065
PSAU6Y4,17552,2021-01-25 08:45:00-05:00,2021-01-26 08:00:00-05:00,2021-01-25 15:58:48.961000-05:00,2021-01-25 16:02:48.251000-05:00,1,,,,,,Control 2,230.017,76.6686666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,12562752
PSAU6Y4,17612,2021-01-25 08:45:00-05:00,2021-01-26 08:00:00-05:00,2021-01-25 16:38:55.977000-05:00,2021-01-25 16:44:07.132000-05:00,1,,,,,,Control 1,296.011,23.3896666666667,6.0,4.0,2.0,,6.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,12565360
PSAU6Y4,17615,2021-01-25 08:45:00-05:00,2021-01-26 08:00:00-05:00,2021-01-25 16:46:35.213000-05:00,2021-01-25 17:03:28.236000-05:00,1,,,,,,Control 1,999.499,188.0128,5.0,3.0,1.0,,5.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,12565770
PSAU6Y4,17651,2021-01-25 08:45:00-05:00,2021-01-26 08:00:00-05:00,2021-01-25 14:58:44.513000-05:00,2021-01-25 15:04:05.998000-05:00,1,,,,,,Control 1,307.785,69.1645,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,12557050
PSAU6Y4,17669,2021-01-25 08:45:00-05:00,2021-01-26 08:00:00-05:00,2021-01-25 18:53:30.186000-05:00,2021-01-25 18:56:28.676000-05:00,1,,,,,,Control 1,165.879,32.1565,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,12570880
PSAU6Y4,17676,2021-01-25 08:45:00-05:00,2021-01-26 08:00:00-05:00,2021-01-25 15:05:37.982000-05:00,2021-01-25 18:25:21.242000-05:00,3,,,,,,Control 2,11976.633,2990.53825,4.0,3.0,1.0,,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,12557878
PSAU6Y4,17715,2021-01-25 08:45:00-05:00,2021-01-26 08:00:00-05:00,2021-01-25 15:00:52.335000-05:00,2021-01-25 15:04:08.742000-05:00,1,,,,,,Control 3,85.689,28.5596666666667,3.0,3.0,,,3.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,,,,,,12557319
PSAU6Y4,18642,2020-05-04 12:34:55.387000-04:00,2020-05-09 00:59:00-04:00,2020-05-05 12:25:55.268000-04:00,,1,,,,,,Treatment 4,,,1.0,,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,2858035
