experiment_id,student_id,release_date,due_date,start_time,end_time,assignment_session_count,pretest_problem_count,pretest_correct,pretest_time_on_task,pretest_average_first_response_time,pretest_session_count,assigned_condition,condition_time_on_task,condition_average_first_response_or_request_time,condition_problem_count,condition_total_correct,condition_total_correct_after_wrong_response,condition_total_correct_after_tutoring,condition_total_answers_before_tutoring,condition_total_attempt_count,condition_total_hints_available,condition_total_hints_given,condition_total_scaffold_problems_available,condition_total_scaffold_problems_given,condition_total_explanations_available,condition_total_explanations_given,condition_total_answers_given,condition_session_count,posttest_problem_count,posttest_correct,posttest_time_on_task,posttest_average_first_response_time,posttest_session_count,assistments_reference_assignment_log_id
PSAU85Y,10408,2021-03-24 08:45:07.943000-04:00,,2021-03-24 12:41:46.393000-04:00,,3,,,,,,Treatment 2,595.56,263.5675,3.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,14992174
PSAU85Y,16495,2021-03-24 08:45:07.938000-04:00,,2021-03-24 11:02:57.028000-04:00,2021-03-24 11:16:33.397000-04:00,1,,,,,,Treatment 1,617.732,92.4803333333333,6.0,4.0,1.0,,6.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,14982856
PSAU85Y,97934,2021-04-26 09:11:02.567000-04:00,2021-05-21 15:00:00-04:00,2021-05-19 12:09:13.296000-04:00,2021-05-19 12:10:32.319000-04:00,1,,,,,,Treatment 2,29.894,9.96166666666667,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,16502708
PSAU85Y,131595,2020-05-07 04:30:00-04:00,2020-05-10 05:59:00-04:00,2020-05-09 06:01:39.566000-04:00,2020-05-09 06:56:58.704000-04:00,1,,,,,,Treatment 3,3096.74,732.92575,5.0,3.0,1.0,1.0,4.0,4.0,0.0,0.0,15.0,6.0,0.0,0.0,0.0,1.0,,,,,,3059511
PSAU85Y,131619,2020-05-07 04:30:00-04:00,2020-05-10 05:59:00-04:00,2020-05-07 10:20:21.648000-04:00,2020-05-07 10:58:32.653000-04:00,1,,,,,,Treatment 2,517.06,172.35,3.0,3.0,,,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,2969124
PSAU85Y,131653,2020-05-07 04:30:00-04:00,2020-05-10 05:59:00-04:00,2020-05-08 04:53:48.441000-04:00,2020-05-09 06:30:59.682000-04:00,3,,,,,,Treatment 2,3226.723,134.918785714286,14.0,10.0,4.0,1.0,14.0,19.0,14.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,,,,,,3020063
PSAU85Y,131670,2020-05-07 04:30:00-04:00,2020-05-10 05:59:00-04:00,2020-05-11 13:21:14.836000-04:00,2020-05-11 13:27:51.538000-04:00,1,,,,,,Treatment 3,137.11,45.6966666666667,3.0,3.0,,,3.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,,,,,,3104442
PSAU85Y,131673,2020-05-07 04:30:00-04:00,2020-05-10 05:59:00-04:00,2020-05-11 13:23:20.594000-04:00,2020-05-11 13:31:40.182000-04:00,2,,,,,,Treatment 3,308.43,102.799666666667,3.0,3.0,,,3.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,,,,,,3104709
PSAU85Y,131701,2020-05-07 04:30:00-04:00,2020-05-10 05:59:00-04:00,2020-05-07 07:51:29.841000-04:00,2020-05-12 06:07:55.427000-04:00,5,,,,,,Control 3,443366.398,5675.55061538462,19.0,20.0,10.0,5.0,38.0,69.0,15.0,0.0,54.0,25.0,0.0,0.0,4.0,4.0,,,,,,2958218
PSAU85Y,131710,2020-05-07 04:30:00-04:00,2020-05-10 05:59:00-04:00,2020-05-09 16:31:40.289000-04:00,2020-05-09 16:40:49.643000-04:00,1,,,,,,Treatment 4,221.924,73.9713333333333,3.0,3.0,,,3.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,,,,,,3062266
