experiment_id,student_id,problem_id,problem_part,scaffold_id,experiment_tag_path,action,timestamp,assistments_reference_action_log_id
PSAU85Y,10408,,,,,assignment_started,2021-03-24 12:41:46.393000-04:00,669417322
PSAU85Y,10408,PRA5EW7,1.0,,"Finding the whole, part or percent 6.RP.C.3 EX/IfThenElse",problem_started,2021-03-24 12:41:47.437000-04:00,669417325
PSAU85Y,10408,PRA5EW7,1.0,,"Finding the whole, part or percent 6.RP.C.3 EX/IfThenElse",correct_response,2021-03-24 12:42:03.665000-04:00,669418287
PSAU85Y,10408,PRA5EW7,1.0,,"Finding the whole, part or percent 6.RP.C.3 EX/IfThenElse",problem_finished,2021-03-24 12:42:03.675000-04:00,669418492
PSAU85Y,10408,,,,"Finding the whole, part or percent 6.RP.C.3 EX/IfThenElse",continue_selected,2021-03-24 12:42:05.295000-04:00,669418493
PSAU85Y,10408,PRA49JR,1.0,,"Finding the whole, part or percent 6.RP.C.3 EX/IfThenElse/Study/HO [treatment2]/HO3",problem_started,2021-03-24 12:42:06.517000-04:00,669418497
PSAU85Y,10408,PRA49JR,1.0,,"Finding the whole, part or percent 6.RP.C.3 EX/IfThenElse/Study/HO [treatment2]/HO3",wrong_response,2021-03-24 12:47:34.661000-04:00,669438293
PSAU85Y,10408,PRA49JR,1.0,,"Finding the whole, part or percent 6.RP.C.3 EX/IfThenElse/Study/HO [treatment2]/HO3",hint_requested,2021-03-24 12:47:39.174000-04:00,669438952
PSAU85Y,10408,PRA49JR,1.0,,"Finding the whole, part or percent 6.RP.C.3 EX/IfThenElse/Study/HO [treatment2]/HO3",hint_requested,2021-03-24 12:47:56.672000-04:00,669440176
PSAU85Y,10408,PRA49JR,1.0,,"Finding the whole, part or percent 6.RP.C.3 EX/IfThenElse/Study/HO [treatment2]/HO3",wrong_response,2021-03-24 12:48:10.083000-04:00,669440752
